#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10006kf8
#time = 2016-09-05 02:37:38.900000
#location = 15km NNW of Perry, Oklahoma
#latitude = 36.4198
#longitude = -97.3616
#depth = 7.7
#magnitude = 2.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10006kf8
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
ZD.RH11.EHZ.--,0.189427,147.304,Pg,2016-09-05 02:37:42.880,manual,0.1,3.36
ZD.KNG1.EHZ.--,0.393851,223.339,Pg,2016-09-05 02:37:46.750,manual,0.2,2.56
OK.CROK.HHZ.--,0.508371,279.779,Pg,2016-09-05 02:37:48.820,manual,0.1,2.26
GS.OK030.HHZ.00,0.677961,136.233,Pg,2016-09-05 02:37:52.030,manual,0.1,1.92
OK.CHOK.HHZ.--,0.890835,164.046,Pg,2016-09-05 02:37:55.700,manual,-0.3,1.62
OK.DEOK.HHZ.--,0.905593,129.235,Pg,2016-09-05 02:37:56.120,manual,-0.2,1.6
OK.OKCSW.EHZ.--,1.01406,183.529,Pg,2016-09-05 02:37:57.760,manual,-0.6,1.49
GS.OK025.HHZ.00,0.837164,178.677,Pg,2016-09-05 02:37:54.860,manual,-0.1,1.69
OK.HTCH.HHZ.--,0.882137,243.186,Pg,2016-09-05 02:37:55.460,manual,-0.4,1.63
OK.GC02.EHZ.--,0.588294,317.235,Pg,2016-09-05 02:37:50.210,manual,0.0,2.09
OK.FNO.HHZ.01,1.16037,181.6,Pg,2016-09-05 02:38:00.390,manual,-0.8,1.35
ZD.RH03.EHZ.--,0.896414,148.438,Pg,2016-09-05 02:37:55.800,manual,-0.3,1.62
N4.T35B.BHZ.--,0.843907,53.7976,Pg,2016-09-05 02:37:55.050,manual,-0.1,1.68
TA.TUL1.BHZ.--,1.36813,111.347,Pn,2016-09-05 02:38:04.330,manual,0.1,1.22
OK.BLOK.HHZ.--,0.360017,19.0881,Pg,2016-09-05 02:37:46.250,manual,0.3,2.66
ZD.RH11.EHE.--,0.189427,147.304,Sg,2016-09-05 02:37:45.840,manual,0.5,1.33
OK.BLOK.HHE.--,0.360017,19.0881,Sg,2016-09-05 02:37:51.340,manual,0.6,1.24
ZD.KNG1.EHN.--,0.393851,223.339,Sg,2016-09-05 02:37:52.070,manual,0.3,1.22
OK.CROK.HHN.--,0.508371,279.779,Sg,2016-09-05 02:37:55.820,manual,0.4,1.17
ZD.RH07.EHE.--,0.527261,159.066,Sg,2016-09-05 02:37:56.520,manual,0.5,1.16
ZD.RH07.EHZ.--,0.527261,159.066,Pg,2016-09-05 02:37:49.240,manual,0.1,2.22
OK.GC02.EHN.--,0.588294,317.235,Sg,2016-09-05 02:37:58.270,manual,0.3,1.14
GS.KAN13.HHE.01,0.599272,351.072,Sg,2016-09-05 02:37:59.110,manual,0.8,1.13
GS.KAN13.HHZ.01,0.599272,351.072,Pg,2016-09-05 02:37:50.430,manual,0.0,2.07
OK.QUOK.HHN.--,0.583317,114.956,Sg,2016-09-05 02:37:58.000,manual,0.2,1.14
OK.QUOK.HHZ.--,0.583317,114.956,Pg,2016-09-05 02:37:50.240,manual,0.1,2.1
GS.OK029.HH2.00,0.626482,186.954,Sg,2016-09-05 02:37:59.470,manual,0.3,1.12
GS.OK029.HHZ.00,0.626482,186.954,Pg,2016-09-05 02:37:50.920,manual,-0.1,2.01
GS.OK031.HH2.00,0.628954,137.62,Sg,2016-09-05 02:37:59.520,manual,0.3,1.12
GS.OK031.HHZ.00,0.628954,137.62,Pg,2016-09-05 02:37:51.080,manual,0.1,2.01
NQ.OK914.HNE.01,0.635316,134.688,Sg,2016-09-05 02:37:59.820,manual,0.4,1.12
NQ.OK914.HNZ.01,0.635316,134.688,Pg,2016-09-05 02:37:51.360,manual,0.2,2.0
ZD.RH09.EHE.--,0.687565,227.682,Sg,2016-09-05 02:38:01.220,manual,0.1,1.1
ZD.RH09.EHZ.--,0.687565,227.682,Pg,2016-09-05 02:37:51.910,manual,-0.2,1.91
GS.OK034.HH2.00,0.664853,127.746,Sg,2016-09-05 02:38:00.510,manual,0.1,1.11
GS.OK034.HHZ.00,0.664853,127.746,Pg,2016-09-05 02:37:51.780,manual,0.1,1.95
GS.KAN17.HHN.01,0.702258,332.653,Sg,2016-09-05 02:38:01.660,manual,0.1,1.09
GS.KAN17.HHZ.01,0.702258,332.653,Pg,2016-09-05 02:37:52.230,manual,-0.2,1.88
GS.OK030.HH2.00,0.677961,136.233,Sg,2016-09-05 02:38:01.150,manual,0.4,1.1
GS.KAN09.HHZ.01,0.744039,343.996,Pg,2016-09-05 02:37:52.870,manual,-0.4,1.82
GS.OK032.HHZ.00,0.78313,299.552,Pg,2016-09-05 02:37:53.680,manual,-0.3,1.76
GS.OK032.HH2.00,0.78313,299.552,Sg,2016-09-05 02:38:04.340,manual,0.2,1.06
GS.KAN01.HHZ.01,0.798676,336.575,Pg,2016-09-05 02:37:53.990,manual,-0.3,1.74
GS.KAN01.HHE.01,0.798676,336.575,Sg,2016-09-05 02:38:04.830,manual,0.2,1.06
OK.BCOK.HHZ.--,0.787526,194.842,Pg,2016-09-05 02:37:53.720,manual,-0.3,1.76
OK.BCOK.HHE.--,0.787526,194.842,Sg,2016-09-05 02:38:04.520,manual,0.2,1.06
GS.OK025.HH2.00,0.837164,178.677,Sg,2016-09-05 02:38:06.330,manual,0.4,1.05
N4.T35B.BHN.--,0.843907,53.7976,Sg,2016-09-05 02:38:06.160,manual,0.1,1.04
OK.HTCH.HHN.--,0.882137,243.186,Sg,2016-09-05 02:38:07.540,manual,0.2,1.03
GS.KS21.HNZ.20,0.898194,344.476,Pg,2016-09-05 02:37:55.620,manual,-0.5,1.61
OK.CHOK.HHN.--,0.890835,164.046,Sg,2016-09-05 02:38:07.950,manual,0.4,1.03
GS.KAN06.HHZ.01,0.917763,334.397,Pg,2016-09-05 02:37:56.120,manual,-0.4,1.59
ZD.RH03.EHN.--,0.896414,148.438,Sg,2016-09-05 02:38:08.050,manual,0.3,1.03
OK.DEOK.HHN.--,0.905593,129.235,Sg,2016-09-05 02:38:08.280,manual,0.2,1.02
GS.KAN08.HHN.01,0.942138,328.922,Sg,2016-09-05 02:38:09.560,manual,0.3,1.01
GS.KAN08.HHZ.01,0.942138,328.922,Pg,2016-09-05 02:37:56.980,manual,0.0,1.56
GS.KAN16.HHZ.01,0.982404,325.161,Pg,2016-09-05 02:37:57.560,manual,-0.2,1.52
GS.KAN16.HHN.01,0.982404,325.161,Sg,2016-09-05 02:38:10.870,manual,0.3,1.0
GS.KAN12.HHZ.01,1.01379,329.96,Pg,2016-09-05 02:37:57.860,manual,-0.5,1.49
GS.KAN12.HHN.01,1.01379,329.96,Sg,2016-09-05 02:38:11.390,manual,-0.1,0.99
ZD.RH08.EHZ.--,1.02033,223.268,Pg,2016-09-05 02:37:58.030,manual,-0.5,1.48
ZD.RH08.EHN.--,1.02033,223.268,Sg,2016-09-05 02:38:12.160,manual,0.4,0.99
OK.OKCSW.EHN.--,1.01406,183.529,Sg,2016-09-05 02:38:12.210,manual,0.7,0.99
GS.OK040.HHZ.00,1.06008,273.795,Pg,2016-09-05 02:37:58.440,manual,-0.8,1.44
OK.CCOK.HHZ.--,1.08737,192.791,Pg,2016-09-05 02:37:59.210,manual,-0.6,1.42
OK.CCOK.HHE.--,1.08737,192.791,Sg,2016-09-05 02:38:14.020,manual,0.1,0.97
GS.OK038.HHZ.00,1.11468,273.407,Pg,2016-09-05 02:37:59.260,manual,-1.0,1.39
GS.OK043.HHZ.00,1.11637,271.107,Pg,2016-09-05 02:37:59.440,manual,-0.9,1.39
GS.OK035.HHZ.00,1.12286,285.254,Pg,2016-09-05 02:37:59.780,manual,-0.7,1.39
