#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10006kk7
#time = 2016-09-05 11:00:55.500000
#location = 13km NW of Pawnee, Oklahoma
#latitude = 36.4203
#longitude = -96.9153
#depth = 5.2
#magnitude = 2.9
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10006kk7
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
ZD.RH11.EHZ.--,0.303684,238.306,Pg,2016-09-05 11:01:01.750,manual,0.4,2.86
GS.OK031.HHZ.00,0.470299,172.446,Pg,2016-09-05 11:01:04.960,manual,0.4,2.35
OK.QUOK.HHZ.--,0.299577,145.951,Pg,2016-09-05 11:01:01.780,manual,0.5,2.87
GS.OK030.HHZ.00,0.502873,167.746,Pg,2016-09-05 11:01:05.620,manual,0.4,2.27
ZD.KNG1.EHZ.--,0.692874,245.724,Pg,2016-09-05 11:01:08.950,manual,0.1,1.9
OK.DEOK.HHZ.--,0.667983,149.521,Pg,2016-09-05 11:01:08.640,manual,0.3,1.94
GS.OK029.HHZ.00,0.760475,215.23,Pg,2016-09-05 11:01:10.270,manual,0.2,1.79
OK.BCOK.HHZ.--,0.947117,216.638,Pg,2016-09-05 11:01:13.630,manual,0.0,1.56
GS.OK025.HHZ.00,0.904838,202.379,Pg,2016-09-05 11:01:12.960,manual,0.1,1.61
GS.KAN17.HHZ.01,0.923774,312.627,Pg,2016-09-05 11:01:13.280,manual,0.1,1.58
OK.GC02.EHZ.--,0.872994,299.817,Pg,2016-09-05 11:01:12.030,manual,-0.2,1.64
GS.KAN14.HHZ.01,0.997956,302.761,Pg,2016-09-05 11:01:14.580,manual,-0.1,1.5
GS.KAN01.HHZ.01,0.997055,317.462,Pg,2016-09-05 11:01:14.600,manual,0.0,1.5
ZD.RH09.EHZ.--,0.984673,242.135,Pg,2016-09-05 11:01:14.270,manual,-0.1,1.52
