#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10006n67
#time = 2016-09-08 21:29:29
#location = 19km W of Perry, Oklahoma
#latitude = 36.2860
#longitude = -97.5077
#depth = 5.1
#magnitude = 3.3
#magtype = mwr
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10006n67
#us_Mwr_mrr = -7400000000000
#us_Mwr_mtt = 93000000000000
#us_Mwr_mpp = -85600000000000
#us_Mwr_mrt = -20900000000000
#us_Mwr_mrp = 37400000000000
#us_Mwr_mtp = -19500000000000
#us_Mwr_np1_strike = 140
#us_Mwr_np1_dip = 85
#us_Mwr_np1_rake = -25
#us_Mwr_np2_strike = 232
#us_Mwr_np2_dip = 65
#us_Mwr_np2_rake = -174
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
ZD.KNG1.EHZ.--,0.215862,224.775,Pg,2016-09-08 21:29:33.510,manual,0.3,3.23
ZD.RH11.EHZ.--,0.221888,96.635,Pg,2016-09-08 21:29:33.780,manual,0.4,3.2
GS.OK046.HHZ.00,0.497217,76.9253,Pg,2016-09-08 21:29:38.900,manual,0.3,2.28
ZD.RH09.EHZ.--,0.510806,229.749,Pg,2016-09-08 21:29:38.820,manual,0.0,2.25
OK.CROK.HHZ.--,0.441532,299.766,Pg,2016-09-08 21:29:37.790,manual,0.3,2.42
GS.OK033.HHZ.00,0.520096,117.45,Pg,2016-09-08 21:29:39.320,manual,0.3,2.23
GS.OK044.HHZ.00,0.580943,81.2239,Pg,2016-09-08 21:29:40.340,manual,0.2,2.1
GS.OK029.HHZ.00,0.49025,174.977,Pg,2016-09-08 21:29:38.610,manual,0.2,2.3
GS.OK045.HHZ.00,0.497227,70.8889,Pg,2016-09-08 21:29:38.900,manual,0.3,2.28
OK.BLOK.HHZ.--,0.5291,26.3758,Pg,2016-09-08 21:29:39.520,manual,0.3,2.21
OK.BCOK.HHZ.--,0.633363,187.507,Pg,2016-09-08 21:29:41.170,manual,0.0,2.0
OK.QUOK.HHZ.--,0.656631,99.794,Pg,2016-09-08 21:29:41.870,manual,0.3,1.96
GS.OK031.HHZ.00,0.635146,121.34,Pg,2016-09-08 21:29:41.350,manual,0.1,2.0
OK.HTCH.HHZ.--,0.719611,248.349,Pg,2016-09-08 21:29:42.570,manual,-0.2,1.86
GS.OK034.HHZ.00,0.699467,112.937,Pg,2016-09-08 21:29:42.560,manual,0.1,1.89
GS.OK030.HHZ.00,0.686598,121.16,Pg,2016-09-08 21:29:42.400,manual,0.2,1.91
GS.OK047.HHZ.00,0.658582,73.677,Pg,2016-09-08 21:29:41.840,manual,0.2,1.96
GS.OK032.HHZ.00,0.766342,312.612,Pg,2016-09-08 21:29:43.700,automatic,0.0,1.79
OK.CHOK.HHZ.--,0.809035,153.263,Pg,2016-09-08 21:29:44.470,manual,-0.1,1.73
OK.GC02.EHZ.--,0.631499,333.45,Pg,2016-09-08 21:29:41.170,manual,0.0,2.01
GS.OK025.HHZ.00,0.716783,168.866,Pg,2016-09-08 21:29:42.830,manual,0.1,1.86
GS.KAN13.HHZ.01,0.725884,1.88942,Pg,2016-09-08 21:29:43.070,manual,0.1,1.85
GS.KAN14.HHZ.01,0.763138,331.452,Pg,2016-09-08 21:29:43.600,manual,-0.1,1.79
N4.Z38B.BHZ.--,3.6638,144.751,Pn,2016-09-08 21:30:26.360,manual,0.2,0.96
GS.KAN17.HHZ.01,0.784359,344.795,Pg,2016-09-08 21:29:43.930,manual,-0.1,1.76
OK.DEOK.HHZ.--,0.929816,118.111,Pg,2016-09-08 21:29:46.640,manual,-0.2,1.58
NQ.KAN15.HNZ.01,1.0132,357.067,Pg,2016-09-08 21:29:48.380,manual,-0.1,1.49
GS.OK043.HHZ.00,1.01008,278.741,Pg,2016-09-08 21:29:47.920,automatic,-0.5,1.49
OK.OKCSW.EHZ.--,0.88045,176.292,Pg,2016-09-08 21:29:45.670,manual,-0.2,1.63
OK.FNO.HHZ.01,1.03004,175.146,Pg,2016-09-08 21:29:48.300,manual,-0.5,1.47
GS.OK038.HHZ.00,1.01451,281.264,Pg,2016-09-08 21:29:48.020,automatic,-0.4,1.49
ZD.RH07.EHZ.--,0.472005,139.433,Pg,2016-09-08 21:29:38.410,manual,0.3,2.35
