#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10006n6h
#time = 2016-09-08 21:38:43.400000
#location = 5km N of Stillwater, Oklahoma
#latitude = 36.1683
#longitude = -97.0480
#depth = 6.0
#magnitude = 3.1
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10006n6h
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.QUOK.HHZ.--,0.275126,89.2559,Pg,2016-09-08 21:38:49.320,manual,0.5,2.97
GS.OK031.HHZ.00,0.273438,141.695,Pg,2016-09-08 21:38:49.280,manual,0.5,2.97
GS.OK034.HHZ.00,0.313732,120.093,Pg,2016-09-08 21:38:50.020,manual,0.5,2.82
GS.OK045.HHZ.00,0.296003,19.5741,Pg,2016-09-08 21:38:49.730,manual,0.6,2.89
GS.OK030.HHZ.00,0.321623,138.186,Pg,2016-09-08 21:38:50.190,manual,0.5,2.79
ZD.RH11.EHZ.--,0.176762,301.234,Pg,2016-09-08 21:38:47.360,manual,0.4,3.42
OK.DEOK.HHZ.--,0.55157,125.93,Pg,2016-09-08 21:38:54.390,manual,0.4,2.16
GS.OK025.HHZ.00,0.631488,201.976,Pg,2016-09-08 21:38:55.710,manual,0.2,2.01
GS.OK046.HHZ.00,0.255123,26.3992,Pg,2016-09-08 21:38:48.970,manual,0.6,3.05
ZD.KNG1.EHZ.--,0.525291,266.269,Pg,2016-09-08 21:38:53.640,manual,0.1,2.22
OK.BLOK.HHZ.--,0.606257,347.22,Pg,2016-09-08 21:38:55.230,manual,0.2,2.05
GS.OK029.HHZ.00,0.496487,221.781,Pg,2016-09-08 21:38:53.230,manual,0.3,2.29
ZD.RH09.EHZ.--,0.791173,254.617,Pg,2016-09-08 21:38:58.570,automatic,0.0,1.75
NQ.KAN15.HNZ.01,1.20541,339.689,Pg,2016-09-08 21:39:05.950,manual,-0.6,1.32
