#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10006nv4
#time = 2016-09-11 15:18:49.200000
#location = 32km NW of Fairview, Oklahoma
#latitude = 36.4766
#longitude = -98.7424
#depth = 7.7
#magnitude = 2.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10006nv4
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.U32A.BHZ.--,0.23027,245.19,Pg,2016-09-11 15:18:54.200,manual,0.4,3.16
GS.OK035.HHZ.00,0.232637,6.48567,Pg,2016-09-11 15:18:53.950,manual,0.1,3.15
OK.HTCH.HHZ.--,0.565652,144.041,Pg,2016-09-11 15:19:00.110,manual,0.0,2.13
GS.OK038.HHZ.00,0.0,0.0,Pg,2016-09-11 15:18:50.860,manual,0.3,4.7
ZD.KNG1.EHZ.--,0.91279,111.802,Pg,2016-09-11 15:19:06.240,manual,-0.5,1.6
ZD.RH09.EHZ.--,0.802291,130.294,Pg,2016-09-11 15:19:04.450,manual,-0.2,1.74
OK.GC02.EHZ.--,0.802408,61.9419,Pg,2016-09-11 15:19:04.350,manual,-0.3,1.74
OK.ELIS.HHZ.--,0.683046,233.264,Pg,2016-09-11 15:19:02.620,manual,0.3,1.92
GS.OK032.HHZ.00,0.538267,52.4911,Pg,2016-09-11 15:18:59.600,manual,0.0,2.19
OK.CROK.HHZ.--,0.612289,87.1492,Pg,2016-09-11 15:19:00.820,manual,-0.2,2.04
OK.CHOK.HHZ.--,1.6407,123.339,Pn,2016-09-11 15:19:18.590,manual,0.3,1.18
GS.OK029.HHZ.00,1.24365,122.688,Pn,2016-09-11 15:19:12.330,manual,-0.5,1.24
ZD.RH05.EHZ.--,1.36814,156.467,Pn,2016-09-11 15:19:14.540,manual,0.0,1.22
US.WMOK.BHZ.10,1.73519,181.042,Pn,2016-09-11 15:19:19.420,manual,-0.2,1.17
