#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10006q9w
#time = 2016-09-16 23:02:23.400000
#location = 13km NW of Pawnee, Oklahoma
#latitude = 36.4319
#longitude = -96.8994
#depth = 3.6
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10006q9w
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK051.HHZ.00,0.0892372,34.9197,Pg,2016-09-16 23:02:25.720,manual,0.0,3.96
GS.OK047.HHZ.00,0.146471,75.346,Pg,2016-09-16 23:02:26.790,manual,0.0,3.59
OK.QUOK.HHZ.--,0.302475,149.203,Pg,2016-09-16 23:02:29.810,manual,-0.1,2.86
OK.BLOK.HHZ.--,0.414883,322.347,Pg,2016-09-16 23:02:31.720,manual,-0.4,3.13
GS.OK030.HHZ.00,0.511685,169.434,Pg,2016-09-16 23:02:33.700,manual,-0.1,2.93
GS.OK050.HHZ.00,0.0762292,240.708,Pg,2016-09-16 23:02:25.490,manual,0.1,4.05
GS.OK045.HHZ.00,0.0259798,307.378,Pg,2016-09-16 23:02:24.540,manual,0.1,4.47
GS.OK034.HHZ.00,0.44696,160.259,Pg,2016-09-16 23:02:32.530,manual,-0.1,3.06
GS.OK031.HHZ.00,0.480303,174.154,Pg,2016-09-16 23:02:33.140,manual,-0.1,2.99
GS.OK049.HHZ.00,0.32762,265.752,Pg,2016-09-16 23:02:30.180,manual,-0.2,2.77
GS.OK033.HHZ.00,0.38798,184.649,Pg,2016-09-16 23:02:31.420,manual,-0.2,3.19
GS.OK048.HHZ.00,0.0390179,246.334,Pg,2016-09-16 23:02:24.810,manual,0.1,4.35
OK.DEOK.HHZ.--,0.671671,150.974,Pg,2016-09-16 23:02:36.690,manual,0.1,2.65
OK.CHOK.HHZ.--,0.878838,188.639,Pg,2016-09-16 23:02:40.160,manual,-0.1,2.35
