#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10006qng
#time = 2016-09-18 14:07:41.900000
#location = 8km WSW of Medford, Oklahoma
#latitude = 36.7754
#longitude = -97.8220
#depth = 5.6
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10006qng
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.KAN01.HHZ.01,0.380651,7.59814,Pg,2016-09-18 14:07:49.710,manual,0.4,2.6
OK.BLOK.HHZ.--,0.487638,91.5539,Pg,2016-09-18 14:07:51.510,manual,0.2,2.31
GS.OK034.HHZ.00,1.17624,130.154,Pg,2016-09-18 14:08:04.020,manual,-0.4,1.34
OK.CHOK.HHZ.--,1.35916,152.847,Pn,2016-09-18 14:08:07.170,manual,-0.2,1.22
OK.GC02.EHZ.--,0.081731,338.347,Pg,2016-09-18 14:07:44.170,manual,0.4,4.01
GS.KAN14.HHZ.01,0.213465,328.056,Pg,2016-09-18 14:07:46.570,manual,0.5,3.24
GS.PW05.CHZ.--,0.845554,112.716,Pg,2016-09-18 14:07:58.260,manual,0.1,1.68
OK.CROK.HHZ.--,0.29974,205.712,Pg,2016-09-18 14:07:48.040,manual,0.3,2.87
GS.OK032.HHZ.00,0.313083,275.311,Pg,2016-09-18 14:07:48.330,manual,0.3,2.82
GS.OK049.HHZ.00,0.555691,131.286,Pg,2016-09-18 14:07:52.830,manual,0.2,2.15
GS.KAN06.HHZ.01,0.472629,356.457,Pg,2016-09-18 14:07:51.480,manual,0.5,2.34
GS.KAN10.HHZ.01,0.410591,327.884,Pg,2016-09-18 14:07:50.240,manual,0.4,2.51
GS.KAN13.HHZ.01,0.363779,49.2313,Pg,2016-09-18 14:07:49.220,manual,0.3,2.65
GS.KAN09.HHZ.01,0.395274,24.3195,Pg,2016-09-18 14:07:50.090,manual,0.5,2.55
ZD.KNG1.EHZ.--,0.649867,170.934,Pg,2016-09-18 14:07:54.240,manual,-0.2,1.97
GS.KAN12.HHZ.01,0.539729,344.927,Pg,2016-09-18 14:07:52.740,manual,0.4,2.19
GS.KAN08.HHZ.01,0.465963,345.222,Pg,2016-09-18 14:07:51.410,manual,0.5,2.36
GS.KAN16.HHZ.01,0.489567,336.69,Pg,2016-09-18 14:07:51.810,manual,0.5,2.3
GS.OK051.HHZ.00,0.837642,108.486,Pg,2016-09-18 14:07:57.790,manual,-0.2,1.69
GS.OK038.HHZ.00,0.79747,248.439,Pg,2016-09-18 14:07:57.120,manual,-0.1,1.74
GS.OK030.HHZ.00,1.19078,134.955,Pg,2016-09-18 14:08:04.070,manual,-0.7,1.33
ZD.RH07.EHZ.--,1.01534,146.386,Pg,2016-09-18 14:08:01.030,manual,-0.3,1.49
OK.BCOK.HHZ.--,1.12958,171.178,Pg,2016-09-18 14:08:02.960,manual,-0.6,1.38
GS.OK031.HHZ.00,1.14142,135.677,Pg,2016-09-18 14:08:03.290,manual,-0.5,1.37
GS.OK025.HHZ.00,1.25455,161.665,Pn,2016-09-18 14:08:05.310,manual,-0.7,1.24
OK.OKCSW.EHZ.--,1.40199,167.069,Pn,2016-09-18 14:08:07.830,manual,-0.2,1.22
OK.ELIS.HHZ.--,1.46945,241.642,Pn,2016-09-18 14:08:09.120,manual,0.2,1.21
OK.FNO.HHZ.01,1.55276,167.184,Pn,2016-09-18 14:08:10.220,manual,0.2,1.2
ZD.RH05.EHZ.--,1.56795,187.602,Pn,2016-09-18 14:08:10.540,manual,0.3,1.19
GS.OK047.HHZ.00,0.935102,108.766,Pg,2016-09-18 14:07:59.630,manual,-0.2,1.57
US.WMOK.BHZ.10,2.17749,201.265,Pn,2016-09-18 14:08:18.760,manual,0.1,0.0
N4.T35B.BHZ.--,1.06028,81.991,Pg,2016-09-18 14:08:01.880,manual,-0.4,1.44
ZD.RH03.EHZ.--,1.39899,142.884,Pn,2016-09-18 14:08:07.600,manual,-0.3,1.22
ZD.RH09.EHZ.--,0.830353,189.346,Pg,2016-09-18 14:07:57.630,manual,-0.2,1.7
GS.KAN17.HHZ.01,0.272085,9.68302,Pg,2016-09-18 14:07:47.750,manual,0.5,2.98
GS.OK035.HHZ.00,0.716201,264.892,Pg,2016-09-18 14:07:55.760,manual,0.1,1.86
GS.OK048.HHZ.00,0.792538,116.631,Pg,2016-09-18 14:07:56.940,manual,-0.2,1.75
GS.OK045.HHZ.00,0.792372,114.11,Pg,2016-09-18 14:07:57.040,manual,-0.1,1.75
GS.PW02.CHZ.--,0.812219,114.444,Pg,2016-09-18 14:07:57.400,manual,-0.1,1.72
GS.OK046.HHZ.00,0.827256,116.874,Pg,2016-09-18 14:07:57.650,manual,-0.1,1.7
GS.OK050.HHZ.00,0.775784,119.091,Pg,2016-09-18 14:07:57.140,manual,0.3,1.77
OK.HTCH.HHZ.--,0.861678,208.719,Pg,2016-09-18 14:07:58.140,manual,-0.3,1.66
OK.NOKA.HHZ.--,0.902943,261.385,Pg,2016-09-18 14:07:59.030,manual,-0.2,1.61
GS.OK044.HHZ.00,0.918295,115.649,Pg,2016-09-18 14:07:59.400,manual,-0.1,1.59
OK.U32A.BHZ.--,1.02831,247.756,Pg,2016-09-18 14:08:01.190,manual,-0.4,1.47
OK.QUOK.HHZ.--,1.08148,123.543,Pg,2016-09-18 14:08:02.300,manual,-0.3,1.42
OK.CSTR.HHZ.--,1.32767,212.131,Pn,2016-09-18 14:08:06.850,manual,-0.1,1.23
OK.DEOK.HHZ.--,1.41756,130.649,Pn,2016-09-18 14:08:07.930,manual,-0.3,1.21
OK.RLOK.HHZ.--,2.33321,104.235,Pn,2016-09-18 14:08:20.930,manual,0.2,0.0
N4.U38B.BHZ.--,2.78513,95.8882,Pn,2016-09-18 14:08:27.250,manual,0.3,0.0
OK.LOOK.HHZ.--,2.82589,169.115,Pn,2016-09-18 14:08:27.680,manual,0.2,0.0
AG.HHAR.HHZ.00,3.16512,97.7906,Pn,2016-09-18 14:08:32.760,manual,0.6,0.0
OK.X37A.BHZ.--,2.95601,136.833,Pn,2016-09-18 14:08:29.710,manual,0.4,0.0
TA.BGNE.BHZ.--,4.63347,356.943,Pn,2016-09-18 14:08:52.900,manual,0.5,0.0
N4.R40B.BHZ.--,4.66602,69.4068,Pn,2016-09-18 14:08:52.690,manual,-0.1,0.0
TA.MSTX.BHZ.--,4.91864,236.77,Pn,2016-09-18 14:08:56.570,manual,0.2,0.0
GS.OK033.HHZ.00,1.02005,135.396,Pg,2016-09-18 14:08:01.030,manual,-0.4,1.48
GS.OK029.HHZ.00,1.02085,163.001,Pg,2016-09-18 14:08:01.090,manual,-0.4,1.48
NQ.OK916.HNZ.01,0.0676832,61.9145,Pg,2016-09-18 14:07:43.990,manual,0.4,4.12
NQ.OK916.HNN.01,0.0676832,61.9145,Sg,2016-09-18 14:07:45.400,manual,0.7,1.4
GS.KAN14.HHE.01,0.213465,328.056,Sg,2016-09-18 14:07:49.650,manual,0.7,1.32
OK.CROK.HHE.--,0.29974,205.712,Sg,2016-09-18 14:07:52.110,manual,0.4,1.27
GS.KAN01.HHE.01,0.380651,7.59814,Sg,2016-09-18 14:07:54.690,manual,0.4,1.23
