#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10006qpk
#time = 2016-09-18 18:30:34.600000
#location = 20km W of Perry, Oklahoma
#latitude = 36.2810
#longitude = -97.5116
#depth = 6.9
#magnitude = 3.2
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10006qpk
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
ZD.KNG1.EHZ.--,0.210104,225.121,Pg,2016-09-18 18:30:39.050,manual,0.2,3.25
GS.OK046.HHZ.00,0.501431,76.4489,Pg,2016-09-18 18:30:44.490,manual,0.2,2.27
GS.OK045.HHZ.00,0.501851,70.466,Pg,2016-09-18 18:30:44.560,manual,0.3,2.27
OK.BLOK.HHZ.--,0.534971,26.4383,Pg,2016-09-18 18:30:45.200,manual,0.3,2.2
OK.CROK.HHZ.--,0.441315,300.53,Pg,2016-09-18 18:30:43.350,manual,0.2,2.43
GS.OK050.HHZ.00,0.44252,75.0118,Pg,2016-09-18 18:30:43.380,manual,0.2,0.0
ZD.RH07.EHZ.--,0.470296,138.744,Pg,2016-09-18 18:30:43.950,manual,0.3,2.35
GS.OK033.HHZ.00,0.520624,116.8,Pg,2016-09-18 18:30:44.900,manual,0.2,2.23
GS.OK048.HHZ.00,0.477914,73.4327,Pg,2016-09-18 18:30:44.050,manual,0.2,2.33
GS.OK025.HHZ.00,0.712506,168.538,Pg,2016-09-18 18:30:48.380,manual,0.1,1.87
GS.OK029.HHZ.00,0.485567,174.553,Pg,2016-09-18 18:30:44.170,manual,0.2,2.31
OK.BCOK.HHZ.--,0.628008,187.279,Pg,2016-09-18 18:30:46.720,manual,0.0,2.01
GS.OK031.HHZ.00,0.635268,120.805,Pg,2016-09-18 18:30:46.990,manual,0.2,2.0
OK.QUOK.HHZ.--,0.658909,99.3175,Pg,2016-09-18 18:30:47.400,manual,0.1,1.96
OK.HTCH.HHZ.--,0.71485,248.625,Pg,2016-09-18 18:30:48.210,manual,-0.1,1.86
GS.OK051.HHZ.00,0.589248,67.4832,Pg,2016-09-18 18:30:46.080,manual,0.1,2.09
GS.OK044.HHZ.00,0.584834,80.7855,Pg,2016-09-18 18:30:46.000,manual,0.1,2.09
GS.KAN13.HHZ.01,0.730982,2.12098,Pg,2016-09-18 18:30:48.730,manual,0.1,1.84
GS.KAN14.HHZ.01,0.766033,331.835,Pg,2016-09-18 18:30:49.230,manual,-0.1,1.79
OK.CHOK.HHZ.--,0.806011,152.901,Pg,2016-09-18 18:30:50.040,manual,-0.1,1.73
GS.OK047.HHZ.00,0.663019,73.3373,Pg,2016-09-18 18:30:47.430,manual,0.1,1.95
OK.GC02.EHZ.--,0.634575,333.904,Pg,2016-09-18 18:30:46.850,manual,0.0,2.0
OK.OKCSW.EHZ.--,0.87568,176.063,Pg,2016-09-18 18:30:51.230,manual,-0.2,1.64
GS.OK034.HHZ.00,0.700447,112.458,Pg,2016-09-18 18:30:48.160,manual,0.1,1.89
GS.KAN17.HHZ.01,0.788361,345.109,Pg,2016-09-18 18:30:49.690,manual,-0.1,1.75
GS.KAN09.HHZ.01,0.857744,354.294,Pg,2016-09-18 18:30:50.950,manual,-0.1,1.66
OK.DEOK.HHZ.--,0.930261,117.747,Pg,2016-09-18 18:30:52.110,manual,-0.4,1.58
OK.FNO.HHZ.01,1.02534,174.944,Pg,2016-09-18 18:30:53.860,manual,-0.4,1.48
GS.KAN06.HHZ.01,1.00456,344.0,Pg,2016-09-18 18:30:53.620,manual,-0.3,1.5
GS.KAN12.HHZ.01,1.087,339.093,Pg,2016-09-18 18:30:55.050,manual,-0.4,1.42
GS.KS21.HNZ.20,1.01091,353.139,Pg,2016-09-18 18:30:53.690,manual,-0.3,1.49
GS.OK038.HHZ.00,1.01241,281.574,Pg,2016-09-18 18:30:53.520,manual,-0.5,1.49
OK.CSTR.HHZ.--,1.1464,236.768,Pg,2016-09-18 18:30:56.000,manual,-0.6,1.37
OK.U32A.BHZ.--,1.20703,275.113,Pg,2016-09-18 18:30:56.880,manual,-0.9,1.32
GS.KS20.HHZ.00,0.947494,357.938,Pg,2016-09-18 18:30:52.550,manual,-0.2,1.56
GS.OK035.HHZ.00,1.05539,294.182,Pg,2016-09-18 18:30:54.370,manual,-0.5,1.45
GS.KAN08.HHZ.01,1.0134,338.791,Pg,2016-09-18 18:30:53.730,manual,-0.3,1.49
OK.NOKA.HHZ.--,1.19821,287.555,Pg,2016-09-18 18:30:56.820,manual,-0.8,1.32
GS.KAN16.HHZ.01,1.04219,334.936,Pg,2016-09-18 18:30:54.300,manual,-0.3,1.46
ZD.RH05.EHZ.--,1.15585,203.538,Pg,2016-09-18 18:30:56.340,manual,-0.4,1.36
OK.ELIS.HHZ.--,1.55743,262.619,Pn,2016-09-18 18:31:03.270,manual,0.6,1.19
