#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10006v2k
#time = 2016-09-03 12:36:18
#location = 11km NW of Pawnee, Oklahoma
#latitude = 36.4055
#longitude = -96.8966
#depth = 6.9
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10006v2k
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.QUOK.HHZ.--,0.278925,146.831,Pg,2016-09-03 12:36:24.040,manual,0.6,2.95
ZD.RH11.EHZ.--,0.309439,242.114,Pg,2016-09-03 12:36:23.910,manual,-0.1,2.84
GS.OK033.HHZ.00,0.361928,185.345,Pg,2016-09-03 12:36:24.260,manual,-0.8,2.66
GS.OK034.HHZ.00,0.421451,159.34,Pg,2016-09-03 12:36:26.020,manual,-0.2,2.48
OK.BLOK.HHZ.--,0.437357,324.223,Pg,2016-09-03 12:36:26.110,manual,-0.4,2.44
GS.OK031.HHZ.00,0.453861,174.1,Pg,2016-09-03 12:36:26.850,manual,0.1,2.39
GS.OK030.HHZ.00,0.485376,169.128,Pg,2016-09-03 12:36:27.240,manual,-0.1,2.31
N4.T35B.BHZ.--,0.596227,31.1382,Pg,2016-09-03 12:36:28.920,manual,-0.6,2.07
OK.DEOK.HHZ.--,0.647626,150.019,Pg,2016-09-03 12:36:30.320,manual,-0.1,1.98
ZD.RH03.EHZ.--,0.756308,173.129,Pg,2016-09-03 12:36:32.830,manual,0.3,1.8
GS.OK029.HHZ.00,0.757399,216.818,Pg,2016-09-03 12:36:32.200,manual,-0.4,1.8
OK.CHOK.HHZ.--,0.85315,189.057,Pg,2016-09-03 12:36:34.680,manual,0.3,1.67
OK.CROK.HHZ.--,0.881775,276.769,Pg,2016-09-03 12:36:34.580,manual,-0.4,1.63
OK.GC02.EHZ.--,0.893442,300.169,Pg,2016-09-03 12:36:34.590,manual,-0.6,1.62
GS.OK025.HHZ.00,0.897137,203.64,Pg,2016-09-03 12:36:35.730,manual,0.5,1.61
OK.BCOK.HHZ.--,0.944499,217.918,Pg,2016-09-03 12:36:35.780,manual,-0.4,1.56
GS.OK032.HHZ.00,1.12945,290.998,Pg,2016-09-03 12:36:39.320,manual,-0.4,1.38
OK.HTCH.HHZ.--,1.22437,251.97,Pg,2016-09-03 12:36:40.320,manual,-1.2,1.3
OK.CSTR.HHZ.--,1.63884,242.968,Pn,2016-09-03 12:36:47.090,manual,-0.1,1.18
OK.X34A.HHZ.--,1.95576,203.258,Pn,2016-09-03 12:36:50.800,manual,-0.7,1.14
OK.U32A.BHZ.--,1.69847,269.749,Pn,2016-09-03 12:36:47.050,manual,-1.0,1.17
OK.NOKA.HHZ.--,1.65539,278.547,Pn,2016-09-03 12:36:47.100,manual,-0.3,1.18
OK.QUOK.HHN.--,0.278925,146.831,Sg,2016-09-03 12:36:28.260,manual,1.1,1.28
ZD.RH11.EHN.--,0.309439,242.114,Sg,2016-09-03 12:36:29.050,manual,0.9,1.27
GS.OK033.HH2.00,0.361928,185.345,Sg,2016-09-03 12:36:29.830,manual,0.0,1.24
GS.OK034.HH2.00,0.421451,159.34,Sg,2016-09-03 12:36:32.240,manual,0.5,1.21
GS.OK031.HH2.00,0.453861,174.1,Sg,2016-09-03 12:36:32.640,manual,-0.1,1.2
