#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us100072p0
#time = 2016-10-28 15:50:39.600000
#location = 26km E of Cherokee, Oklahoma
#latitude = 36.7584
#longitude = -98.0587
#depth = 7.4
#magnitude = 3.0
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us100072p0
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.260349,166.524,Pg,2016-10-28 15:50:44.960,manual,0.4,3.03
OK.GORE.HHZ.--,0.0936326,73.113,Pg,2016-10-28 15:50:41.560,manual,-0.2,3.93
OK.GC02.EHZ.--,0.184855,59.7627,Pg,2016-10-28 15:50:43.730,manual,0.4,3.38
GS.KAN14.HHZ.01,0.212378,21.1591,Pg,2016-10-28 15:50:44.340,manual,0.6,3.24
GS.KAN17.HHZ.01,0.369891,39.4741,Pg,2016-10-28 15:50:47.140,manual,0.6,2.63
GS.OK038.HHZ.00,0.616926,243.248,Pg,2016-10-28 15:50:50.510,manual,-0.5,2.48
GS.KAN12.HHZ.01,0.540185,5.14106,Pg,2016-10-28 15:50:50.270,manual,0.6,2.19
OK.BLOK.HHZ.--,0.67756,89.5618,Pg,2016-10-28 15:50:52.560,manual,0.5,2.4
GS.KAN08.HHZ.01,0.472679,8.52625,Pg,2016-10-28 15:50:49.120,manual,0.7,2.34
ZD.KNG1.EHZ.--,0.690072,154.78,Pg,2016-10-28 15:50:52.740,manual,0.5,2.38
GS.KAN13.HHZ.01,0.530513,61.2177,Pg,2016-10-28 15:50:49.910,manual,0.4,2.21
GS.OK049.HHZ.00,0.701204,119.794,Pg,2016-10-28 15:50:52.910,manual,0.5,2.37
GS.KAN16.HHZ.01,0.466351,359.412,Pg,2016-10-28 15:50:48.970,manual,0.7,2.36
Y7.PW15.EHZ.--,0.889145,108.671,Pg,2016-10-28 15:50:56.570,manual,0.9,2.15
