#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us100073hq
#time = 2016-11-01 14:47:27.200000
#location = 2km E of Luther, Oklahoma
#latitude = 35.6658
#longitude = -97.1666
#depth = 5.5
#magnitude = 2.9
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us100073hq
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CHOK.HHZ.--,0.135187,140.574,Pg,2016-11-01 14:47:30.480,manual,0.5,3.66
GS.OK025.HHZ.00,0.163151,238.851,Pg,2016-11-01 14:47:30.800,manual,0.3,3.5
GS.OK033.HHZ.00,0.4209,26.0898,Pg,2016-11-01 14:47:35.730,manual,0.4,2.48
OK.BCOK.HHZ.--,0.360613,268.686,Pg,2016-11-01 14:47:34.440,manual,0.3,2.66
OK.FNO.HHZ.01,0.450252,205.24,Pg,2016-11-01 14:47:36.130,manual,0.2,2.4
GS.OK029.HHZ.00,0.268434,299.177,Pg,2016-11-01 14:47:32.810,manual,0.4,3.0
GS.OK031.HHZ.00,0.391217,42.7821,Pg,2016-11-01 14:47:35.150,manual,0.4,2.57
GS.OK034.HHZ.00,0.503814,46.8568,Pg,2016-11-01 14:47:37.080,manual,0.2,2.27
Y7.PW14.EHZ.--,0.697754,14.7412,Pg,2016-11-01 14:47:40.550,manual,-0.1,1.89
OK.DEOK.HHZ.--,0.571531,71.8144,Pg,2016-11-01 14:47:38.300,manual,0.1,2.12
OK.QUOK.HHZ.--,0.626997,36.2864,Pg,2016-11-01 14:47:39.390,manual,0.1,2.01
ZD.KNG1.EHZ.--,0.633329,317.464,Pg,2016-11-01 14:47:39.570,manual,0.2,2.0
GS.OK044.HHZ.00,0.766642,22.9438,Pg,2016-11-01 14:47:41.650,manual,-0.3,1.79
Y7.PW15.EHZ.--,0.810655,8.74514,Pg,2016-11-01 14:47:42.370,manual,-0.4,1.72
GS.OK046.HHZ.00,0.759514,15.9826,Pg,2016-11-01 14:47:41.560,manual,-0.2,1.8
GS.OK048.HHZ.00,0.770318,13.4977,Pg,2016-11-01 14:47:41.510,manual,-0.5,1.78
OK.CROK.HHZ.--,1.06703,321.92,Pg,2016-11-01 14:47:47.290,manual,-0.4,1.44
OK.HTCH.HHZ.--,1.01022,290.645,Pg,2016-11-01 14:47:46.160,manual,-0.4,1.49
OK.X34A.HHZ.--,1.19439,207.388,Pg,2016-11-01 14:47:49.850,manual,-0.3,1.33
GS.OK032.HHZ.00,1.41487,323.692,Pn,2016-11-01 14:47:53.120,manual,-0.4,1.22
GS.OK045.HHZ.00,0.804459,14.0137,Pg,2016-11-01 14:47:42.310,manual,-0.3,1.73
US.WMOK.BHZ.10,1.61377,235.461,Pn,2016-11-01 14:47:56.270,manual,0.0,1.19
OK.GC02.EHZ.--,1.30915,334.874,Pn,2016-11-01 14:47:51.340,manual,-0.7,1.23
GS.KAN14.HHZ.01,1.44002,333.704,Pn,2016-11-01 14:47:53.510,manual,-0.3,1.21
GS.OK038.HHZ.00,1.51213,302.882,Pn,2016-11-01 14:47:53.860,manual,-1.0,1.2
OK.X37A.BHZ.--,1.82185,125.607,Pn,2016-11-01 14:47:59.500,manual,0.4,1.16
GS.OK050.HHZ.00,0.74245,11.5859,Pg,2016-11-01 14:47:41.320,manual,-0.1,1.82
