#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us100073r2
#time = 2016-11-02 15:34:53.200000
#location = 19km SE of Medford, Oklahoma
#latitude = 36.7054
#longitude = -97.5543
#depth = 8.0
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us100073r2
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.BLOK.HHZ.--,0.278091,78.4714,Pg,2016-11-02 15:34:58.930,manual,0.4,2.96
OK.GC02.EHZ.--,0.285213,300.84,Pg,2016-11-02 15:34:58.960,manual,0.3,2.95
Y7.PW15.EHZ.--,0.495145,118.348,Pg,2016-11-02 15:35:02.780,manual,0.3,2.29
GS.OK032.HHZ.00,0.536009,280.754,Pg,2016-11-02 15:35:03.480,manual,0.3,2.2
GS.KAN13.HHZ.01,0.312991,11.282,Pg,2016-11-02 15:34:59.690,manual,0.5,2.82
ZD.KNG1.EHZ.--,0.58318,191.304,Pg,2016-11-02 15:35:04.400,manual,0.4,2.51
ZD.RH07.EHZ.--,0.850032,156.069,Pg,2016-11-02 15:35:09.000,manual,0.4,2.18
YW.518.HHZ.01,0.125625,210.573,Pg,2016-11-02 15:34:55.880,manual,0.0,3.72
OK.FNO.HHZ.01,1.45029,175.043,Pg,2016-11-02 15:35:19.650,manual,0.7,1.68
YW.512.HHZ.01,0.116663,232.201,Pg,2016-11-02 15:34:55.740,manual,0.0,3.77
YW.508.HHZ.01,0.153611,234.124,Pg,2016-11-02 15:34:56.360,manual,0.0,3.55
GS.OK049.HHZ.00,0.359498,145.89,Pg,2016-11-02 15:35:00.200,manual,0.2,2.67
OK.CROK.HHZ.--,0.39918,240.009,Pg,2016-11-02 15:35:00.900,manual,0.2,2.54
GS.KAN14.HHZ.01,0.412901,307.546,Pg,2016-11-02 15:35:01.350,manual,0.4,2.5
GS.KAN09.HHZ.01,0.432938,353.215,Pg,2016-11-02 15:35:01.800,manual,0.5,2.45
GS.KAN01.HHZ.01,0.476293,339.917,Pg,2016-11-02 15:35:02.570,manual,0.5,2.34
GS.OK048.HHZ.00,0.570076,120.236,Pg,2016-11-02 15:35:04.240,manual,0.5,2.53
GS.OK045.HHZ.00,0.568114,116.73,Pg,2016-11-02 15:35:04.170,manual,0.5,2.53
GS.KS20.HHZ.00,0.523315,0.0,Pg,2016-11-02 15:35:03.420,manual,0.5,2.22
GS.PW02.CHZ.--,0.588144,117.108,Pg,2016-11-02 15:35:04.510,manual,0.5,2.5
GS.OK046.HHZ.00,0.604935,120.369,Pg,2016-11-02 15:35:04.910,manual,0.6,2.48
Y7.PW14.EHZ.--,0.609279,126.373,Pg,2016-11-02 15:35:04.770,manual,0.4,2.47
GS.KS21.HNZ.20,0.586506,351.499,Pg,2016-11-02 15:35:04.570,manual,0.5,2.5
GS.KAN06.HHZ.01,0.593882,335.866,Pg,2016-11-02 15:35:04.740,manual,0.6,2.49
GS.OK051.HHZ.00,0.611556,108.855,Pg,2016-11-02 15:35:04.980,manual,0.5,2.47
GS.KAN08.HHZ.01,0.618116,327.454,Pg,2016-11-02 15:35:05.210,manual,0.6,2.46
GS.OK044.HHZ.00,0.694915,118.317,Pg,2016-11-02 15:35:06.510,manual,0.6,2.36
GS.KAN12.HHZ.01,0.689441,329.122,Pg,2016-11-02 15:35:06.390,manual,0.6,2.37
ZD.RH09.EHZ.--,0.827425,205.182,Pg,2016-11-02 15:35:08.780,manual,0.6,2.2
GS.OK033.HHZ.00,0.826066,142.81,Pg,2016-11-02 15:35:08.930,manual,0.8,2.2
OK.QUOK.HHZ.--,0.86588,127.735,Pg,2016-11-02 15:35:09.320,manual,0.5,2.16
N4.T35B.BHZ.--,0.862615,75.5709,Pg,2016-11-02 15:35:09.660,manual,0.8,2.16
GS.OK029.HHZ.00,0.910498,174.908,Pg,2016-11-02 15:35:10.280,manual,0.6,2.11
OK.HTCH.HHZ.--,0.930924,222.68,Pg,2016-11-02 15:35:10.650,manual,0.7,2.09
GS.OK031.HHZ.00,0.947207,142.219,Pg,2016-11-02 15:35:11.080,manual,0.8,2.08
NQ.OK914.HNZ.01,0.950616,140.239,Pg,2016-11-02 15:35:11.290,manual,1.0,2.07
GS.OK034.HHZ.00,0.970729,135.37,Pg,2016-11-02 15:35:11.210,manual,0.5,2.06
GS.OK038.HHZ.00,0.982556,257.012,Pg,2016-11-02 15:35:10.440,manual,-0.4,2.04
OK.BCOK.HHZ.--,1.04749,182.451,Pg,2016-11-02 15:35:12.810,manual,0.8,1.98
OK.NOKA.HHZ.--,1.10983,266.766,Pg,2016-11-02 15:35:13.800,manual,0.7,1.93
OK.CHOK.HHZ.--,1.20966,160.59,Pg,2016-11-02 15:35:15.560,manual,0.7,1.85
OK.DEOK.HHZ.--,1.21217,134.941,Pg,2016-11-02 15:35:15.230,manual,0.4,1.85
OK.U32A.BHZ.--,1.20991,254.837,Pg,2016-11-02 15:35:15.240,manual,0.4,1.85
ZD.RH03.EHZ.--,1.2206,149.136,Pg,2016-11-02 15:35:15.460,manual,0.5,1.84
ZD.RH04.EHZ.--,1.6195,149.443,Pn,2016-11-02 15:35:22.180,manual,0.3,1.18
TA.TUL1.BHZ.--,1.62967,118.608,Pn,2016-11-02 15:35:22.710,manual,0.7,1.18
N4.R32B.BHZ.--,1.94499,332.147,Pn,2016-11-02 15:35:28.040,manual,1.8,1.14
OK.X34A.HHZ.--,2.11202,186.242,Pn,2016-11-02 15:35:29.790,manual,1.3,1.12
US.WMOK.BHZ.10,2.20227,207.305,Pn,2016-11-02 15:35:30.490,manual,0.7,1.11
