#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us100074ec
#time = 2016-11-06 03:20:43.700000
#location = 7km SE of Perry, Oklahoma
#latitude = 36.2505
#longitude = -97.2196
#depth = 7.9
#magnitude = 3.4
#magtype = mwr
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us100074ec
#us_Mwr_mrr = 38300000000000
#us_Mwr_mtt = 19400000000000
#us_Mwr_mpp = -57800000000000
#us_Mwr_mrt = -107000000000000
#us_Mwr_mrp = 8500000000000
#us_Mwr_mtp = 105000000000000
#us_Mwr_np1_strike = 285
#us_Mwr_np1_dip = 80
#us_Mwr_np1_rake = 45
#us_Mwr_np2_strike = 185
#us_Mwr_np2_dip = 46
#us_Mwr_np2_rake = 166
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
Y7.PW14.EHZ.--,0.238548,67.464,Pg,2016-11-06 03:20:48.890,manual,0.4,3.12
Y7.PW15.EHZ.--,0.27386,37.303,Pg,2016-11-06 03:20:49.540,manual,0.4,2.97
GS.OK048.HHZ.00,0.277444,53.3323,Pg,2016-11-06 03:20:49.620,manual,0.4,2.96
GS.OK045.HHZ.00,0.308698,50.305,Pg,2016-11-06 03:20:50.220,manual,0.4,2.84
GS.OK033.HHZ.00,0.30688,132.001,Pg,2016-11-06 03:20:50.130,manual,0.4,2.85
ZD.KNG1.EHZ.--,0.402641,253.106,Pg,2016-11-06 03:20:51.550,manual,0.0,2.53
OK.BLOK.HHZ.--,0.509104,0.415791,Pg,2016-11-06 03:20:53.750,manual,0.2,2.26
GS.OK031.HHZ.00,0.427823,133.812,Pg,2016-11-06 03:20:52.330,manual,0.3,2.46
GS.OK034.HHZ.00,0.474939,120.176,Pg,2016-11-06 03:20:53.220,manual,0.3,2.34
GS.OK044.HHZ.00,0.362993,70.2435,Pg,2016-11-06 03:20:51.190,manual,0.4,2.65
OK.CROK.HHZ.--,0.666565,292.597,Pg,2016-11-06 03:20:56.520,manual,0.0,1.94
GS.OK029.HHZ.00,0.491477,202.906,Pg,2016-11-06 03:20:53.310,manual,0.1,2.3
GS.OK025.HHZ.00,0.674852,188.216,Pg,2016-11-06 03:20:56.770,manual,0.1,1.93
N4.N49A.BHZ.--,11.2164,61.4824,Pn,2016-11-06 03:23:23.340,manual,-0.6,0.78
OK.CHOK.HHZ.--,0.699842,169.372,Pg,2016-11-06 03:20:57.020,manual,-0.2,1.89
OK.GC02.EHZ.--,0.790796,319.522,Pg,2016-11-06 03:20:58.790,manual,-0.1,1.75
OK.DEOK.HHZ.--,0.71225,124.632,Pg,2016-11-06 03:20:57.560,manual,0.1,1.87
GS.KAN13.HHZ.01,0.788749,344.81,Pg,2016-11-06 03:20:58.850,manual,0.0,1.75
GS.OK032.HHZ.00,0.970483,304.974,Pg,2016-11-06 03:21:01.870,manual,-0.5,1.53
GS.OK050.HHZ.00,0.239862,53.1215,Pg,2016-11-06 03:20:48.950,manual,0.5,3.12
GS.KAN17.HHZ.01,0.905319,331.194,Pg,2016-11-06 03:21:00.880,manual,-0.2,1.61
OK.BCOK.HHZ.--,0.671631,208.199,Pg,2016-11-06 03:20:56.540,manual,-0.1,1.93
N4.G40A.BHZ.--,10.4586,28.3758,Pn,2016-11-06 03:23:14.550,manual,0.9,0.85
N4.F36B.BHZ.--,9.99764,15.0324,Pn,2016-11-06 03:23:07.690,manual,0.4,0.9
OK.FNO.HHZ.01,1.00191,188.531,Pg,2016-11-06 03:21:02.430,manual,-0.5,1.5
N4.P48A.BHZ.--,9.86105,67.4906,Pn,2016-11-06 03:23:06.120,manual,0.7,0.92
IW.RWWY.BHZ.00,9.48424,307.96,Pn,2016-11-06 03:23:00.280,manual,-0.3,0.96
OK.HTCH.HHZ.--,0.930694,255.836,Pg,2016-11-06 03:21:01.180,manual,-0.4,1.58
GS.OK046.HHZ.00,0.291546,59.7639,Pg,2016-11-06 03:20:49.910,manual,0.5,2.9
GS.OK035.HHZ.00,1.2849,291.266,Pn,2016-11-06 03:21:07.610,manual,-0.3,1.23
N4.U49A.BHZ.--,9.23018,84.9804,Pn,2016-11-06 03:22:56.670,manual,-0.1,0.98
N4.Y49A.BHZ.--,9.17688,101.914,Pn,2016-11-06 03:22:56.200,manual,0.1,0.97
TA.SFIN.BHZ.--,8.95875,59.5532,Pn,2016-11-06 03:22:53.760,manual,0.7,0.96
IU.WCI.BHZ.10,8.93439,73.9643,Pn,2016-11-06 03:22:52.890,manual,0.1,0.96
IM.TXAR.SHZ.F0,8.77363,220.011,Pn,2016-11-06 03:22:52.090,manual,1.4,0.95
IM.TX32.BHZ.--,8.77363,220.011,Pn,2016-11-06 03:22:51.290,manual,0.6,0.95
N4.P46A.BHZ.--,8.59503,63.9656,Pn,2016-11-06 03:22:49.300,manual,1.2,0.94
OK.CSTR.HHZ.--,1.3363,243.579,Pn,2016-11-06 03:21:08.400,manual,-0.2,1.22
US.JFWS.BHZ.10,8.5559,36.8154,Pn,2016-11-06 03:22:49.290,manual,1.7,0.94
SC.SBY.EHZ.--,8.47155,257.374,Pn,2016-11-06 03:22:46.880,manual,0.1,0.93
US.WMOK.BHZ.10,1.97494,220.621,Pn,2016-11-06 03:21:18.200,manual,0.8,0.0
OK.RLOK.HHZ.--,1.77532,92.0229,Pn,2016-11-06 03:21:15.770,manual,1.1,1.16
IW.SMCO.BHZ.00,8.26377,293.634,Pn,2016-11-06 03:22:45.390,manual,1.4,0.92
GS.OK049.HHZ.00,0.170444,336.337,Pg,2016-11-06 03:20:47.520,manual,0.3,3.46
OK.X37A.BHZ.--,2.2419,137.136,Pn,2016-11-06 03:21:22.170,manual,1.1,1.1
OK.LOOK.HHZ.--,2.25317,179.163,Pn,2016-11-06 03:21:22.660,manual,1.5,0.0
TA.TUL1.BHZ.--,1.20529,105.934,Pg,2016-11-06 03:21:05.890,manual,-0.9,1.32
N4.T47A.BHZ.--,8.16645,81.8224,Pn,2016-11-06 03:22:42.620,manual,0.4,0.92
N4.Z47B.BHZ.--,8.12394,109.34,Pn,2016-11-06 03:22:43.340,manual,1.7,0.92
US.MIAR.BHZ.00,3.42788,118.688,Pn,2016-11-06 03:21:37.500,manual,0.2,0.98
US.CBKS.BHZ.00,3.24852,322.729,Pn,2016-11-06 03:21:34.960,manual,0.1,1.0
TA.833A.BHZ.--,8.11498,193.71,Pn,2016-11-06 03:22:42.290,manual,0.7,0.92
US.AMTX.BHZ.00,3.88391,250.753,Pn,2016-11-06 03:21:44.410,manual,0.7,0.94
TA.S22A.BHZ.--,7.83316,283.852,Pn,2016-11-06 03:22:38.410,manual,0.4,0.9
NM.MGMO.BHZ.--,4.07926,75.7583,Pn,2016-11-06 03:21:47.560,manual,1.3,0.92
NM.OLIL.BHZ.--,7.66219,68.3929,Pn,2016-11-06 03:22:35.710,manual,0.4,0.89
IU.ANMO.BHZ.10,0.0,85.5327,Pn,2016-11-06 03:22:36.230,manual,1.0,0.89
IU.CCM.BHZ.10,5.10136,67.5335,Pn,2016-11-06 03:22:00.810,manual,0.5,0.85
AG.FCAR.HHZ.00,4.14347,93.4763,Pn,2016-11-06 03:21:47.640,manual,0.5,0.92
IU.WVT.BHZ.10,7.59369,88.1311,Pn,2016-11-06 03:22:36.090,manual,1.7,0.89
N4.K38B.BHZ.--,7.25504,26.9416,Pn,2016-11-06 03:22:30.370,manual,0.6,0.87
SC.GDL2.EHZ.00,7.16308,237.741,Pn,2016-11-06 03:22:29.460,manual,0.8,0.87
XU.LS01.EHZ.--,7.12605,306.678,Pn,2016-11-06 03:22:28.210,manual,0.0,0.87
YW.512.HHZ.01,0.526799,316.682,Pg,2016-11-06 03:20:53.760,manual,-0.1,2.22
SC.SSS.EHZ.00,6.42122,234.553,Pn,2016-11-06 03:22:19.270,manual,0.8,0.84
US.SDCO.BHZ.00,6.79354,285.158,Pn,2016-11-06 03:22:24.680,manual,0.9,0.85
TA.435B.BHZ.--,5.46193,183.306,Pn,2016-11-06 03:22:05.350,manual,0.1,0.82
TA.BGNE.BHZ.--,5.20124,352.256,Pn,2016-11-06 03:22:01.320,manual,-0.4,0.84
TA.MSTX.BHZ.--,5.08842,245.058,Pn,2016-11-06 03:22:00.960,manual,0.8,0.85
ZW.AZDA.EHZ.01,3.28153,184.936,Pn,2016-11-06 03:21:35.110,manual,-0.2,0.99
US.ECSD.BHZ.10,7.48872,3.36882,Pn,2016-11-06 03:22:32.480,manual,-0.5,0.89
US.OGNE.BHZ.00,6.01433,322.658,Pn,2016-11-06 03:22:13.500,manual,0.6,0.0
US.HDIL.BHZ.00,7.56164,52.9647,Pn,2016-11-06 03:22:34.600,manual,0.6,0.89
N4.Q44B.BHZ.--,0.0,85.5327,Pn,2016-11-06 03:22:28.380,manual,1.7,0.86
TA.KSCO.BHZ.--,5.10032,304.327,Pn,2016-11-06 03:22:01.180,manual,0.8,0.85
TA.Q24A.BHZ.--,6.85229,295.662,Pn,2016-11-06 03:22:25.230,manual,0.7,0.86
N4.N41A.BHZ.--,6.68666,46.3549,Pn,2016-11-06 03:22:23.110,manual,1.1,0.85
SC.CL7.EHZ.00,6.65937,236.824,Pn,2016-11-06 03:22:22.540,manual,0.8,0.85
IU.RSSD.BHZ.10,9.43009,328.561,Pn,2016-11-06 03:23:00.110,manual,0.3,0.97
N4.P43A.BHZ.--,6.9604,58.5899,Pn,2016-11-06 03:22:25.550,manual,-0.2,0.86
TA.T25A.BHZ.--,5.84604,280.86,Pn,2016-11-06 03:22:10.860,manual,0.2,0.81
TA.K22A.BHZ.--,9.61998,314.468,Pn,2016-11-06 03:23:02.570,manual,0.3,0.94
TA.N23A.BHZ.--,8.25599,306.807,Pn,2016-11-06 03:22:44.510,manual,0.8,0.92
SC.HTMS.EHZ.00,6.50605,236.464,Pn,2016-11-06 03:22:20.440,manual,0.8,0.84
ZD.RH07.EHZ.--,0.331849,167.27,Pg,2016-11-06 03:20:50.410,manual,0.2,2.76
N4.K31B.BHZ.--,6.47376,349.902,Pn,2016-11-06 03:22:19.590,manual,0.5,0.84
GS.OK049.HH2.00,0.170444,336.337,Sg,2016-11-06 03:20:50.130,manual,0.5,1.34
