#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us100075y8
#time = 2016-11-07 01:44:24.500000
#location = 3km W of Cushing, Oklahoma
#latitude = 35.9907
#longitude = -96.8030
#depth = 4.4
#magnitude = 5.0
#magtype = mww
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us100075y8
#us_Mww_mrr = -7020000000000000
#us_Mww_mtt = 35030000000000000
#us_Mww_mpp = -28020000000000000
#us_Mww_mrt = 13070000000000000
#us_Mww_mrp = -4530000000000000
#us_Mww_mtp = -18730000000000000
#us_Mww_np1_strike = 151
#us_Mww_np1_dip = 81
#us_Mww_np1_rake = 12
#us_Mww_np2_strike = 59
#us_Mww_np2_dip = 78
#us_Mww_np2_rake = 171
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.QUOK.HHZ.--,0.196058,23.0833,Pg,2016-11-07 01:44:28.860,manual,0.6,3.32
ZD.RH04.EHZ.--,0.716421,163.06,Pg,2016-11-07 01:44:37.880,manual,0.2,1.86
GS.OK051.HHZ.00,0.514143,357.036,Pg,2016-11-07 01:44:34.580,manual,0.6,2.25
OK.BLOK.HHZ.--,0.837208,336.722,Pg,2016-11-07 01:44:40.590,manual,0.8,2.33
OK.CROK.HHZ.--,1.08331,298.61,Pg,2016-11-07 01:44:44.970,manual,0.9,2.06
GS.OK034.HHZ.00,0.0753712,75.011,Pg,2016-11-07 01:44:26.580,manual,0.4,4.06
GS.OK045.HHZ.00,0.466615,347.83,Pg,2016-11-07 01:44:33.800,manual,0.6,2.36
OK.GC02.EHZ.--,1.21007,315.542,Pg,2016-11-07 01:44:47.320,manual,1.0,1.94
OK.HTCH.HHZ.--,1.24062,271.666,Pg,2016-11-07 01:44:47.430,manual,0.6,1.92
GS.OK033.HHZ.00,0.122006,296.094,Pg,2016-11-07 01:44:27.240,manual,0.3,3.74
GS.OK046.HHZ.00,0.414365,348.271,Pg,2016-11-07 01:44:32.870,manual,0.7,2.5
OK.RLOK.HHZ.--,1.44963,82.4829,Pg,2016-11-07 01:44:50.840,manual,0.4,1.76
GS.KAN14.HHZ.01,1.34305,316.224,Pg,2016-11-07 01:44:49.520,manual,0.9,1.84
GS.KAN17.HHZ.01,1.30597,323.896,Pg,2016-11-07 01:44:49.010,manual,1.0,1.87
GS.KAN01.HHZ.01,1.3924,326.731,Pg,2016-11-07 01:44:50.360,manual,0.9,1.8
GS.KS20.HHZ.00,1.37641,334.171,Pg,2016-11-07 01:44:50.140,manual,1.0,1.81
OK.X37A.BHZ.--,1.82399,139.636,Pn,2016-11-07 01:44:57.180,manual,0.9,0.0
TA.TUL1.BHZ.--,0.824299,95.2816,Pg,2016-11-07 01:44:40.040,manual,0.4,1.71
US.WMOK.BHZ.10,2.04326,232.86,Pn,2016-11-07 01:44:59.840,manual,0.6,0.0
US.MIAR.BHZ.00,3.00808,117.704,Pn,2016-11-07 01:45:13.540,manual,1.2,0.0
GS.OK032.HHZ.00,1.39564,305.967,Pg,2016-11-07 01:44:50.150,manual,0.6,1.8
TA.ABTX.BHZ.--,4.09917,215.802,Pn,2016-11-07 01:45:26.920,manual,-0.2,0.0
IU.WVT.BHZ.10,7.26935,86.2648,Pn,2016-11-07 01:46:09.520,manual,-0.4,0.0
US.HDIL.BHZ.00,7.4588,50.078,Pn,2016-11-07 01:46:13.480,manual,1.0,0.0
N4.143B.BHZ.--,0.0,85.8069,Pn,2016-11-07 01:45:46.060,manual,-0.5,0.0
TA.BGNE.BHZ.--,5.51109,349.39,Pn,2016-11-07 01:45:46.520,manual,0.3,0.0
IU.WCI.BHZ.10,8.68769,71.9729,Pn,2016-11-07 01:46:30.750,manual,1.7,0.0
US.AAM.BHZ.00,11.9883,54.3073,Pn,2016-11-07 01:47:14.480,manual,1.0,0.0
US.GLMI.BHZ.00,12.797,42.6854,Pn,2016-11-07 01:47:24.220,manual,-0.2,0.0
N4.M44A.BHZ.--,8.71234,49.147,Pn,2016-11-07 01:46:30.140,manual,0.8,0.0
NQ.OK914.HNZ.01,0.0199131,184.206,Pg,2016-11-07 01:44:25.550,manual,0.2,4.52
N4.E38A.BHZ.--,11.3124,18.7498,Pn,2016-11-07 01:47:04.160,manual,-0.2,0.0
GS.OK005.HNZ.01,0.460175,223.381,Pg,2016-11-07 01:44:33.630,manual,0.6,2.38
IM.PDAR.SHZ.F0,11.9589,308.329,Pn,2016-11-07 01:47:13.910,manual,0.6,0.0
GS.OK009.HNZ.01,0.648783,231.155,Pg,2016-11-07 01:44:37.130,manual,0.7,1.97
N4.B35B.BHZ.--,12.5682,9.46565,Pn,2016-11-07 01:47:20.350,manual,-0.9,0.0
N4.N53A.BHZ.--,13.4099,64.1762,Pn,2016-11-07 01:47:33.050,manual,0.4,0.0
ZD.RH07.EHZ.--,0.272624,256.419,Pg,2016-11-07 01:44:30.080,manual,0.4,2.98
GS.OK050.HHZ.00,0.428141,340.309,Pg,2016-11-07 01:44:32.890,manual,0.4,2.46
