#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us100075yh
#time = 2016-11-07 02:23:22.500000
#location = 2km NNW of Cushing, Oklahoma
#latitude = 36.0047
#longitude = -96.7760
#depth = 5.2
#magnitude = 2.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us100075yh
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK033.HHZ.00,0.137325,286.815,Pg,2016-11-07 02:23:25.680,manual,0.4,3.65
GS.OK031.HHZ.00,0.0726032,224.845,Pg,2016-11-07 02:23:24.520,manual,0.4,4.08
OK.QUOK.HHZ.--,0.175234,18.2998,Pg,2016-11-07 02:23:26.510,manual,0.6,3.45
OK.DEOK.HHZ.--,0.277378,125.567,Pg,2016-11-07 02:23:28.260,manual,0.5,2.96
GS.OK045.HHZ.00,0.458218,344.8,Pg,2016-11-07 02:23:31.730,manual,0.7,2.38
GS.OK050.HHZ.00,0.42312,336.894,Pg,2016-11-07 02:23:31.040,manual,0.7,2.47
Y7.PW14.EHZ.--,0.363657,337.729,Pg,2016-11-07 02:23:29.970,manual,0.7,2.65
GS.OK051.HHZ.00,0.501829,354.472,Pg,2016-11-07 02:23:32.510,manual,0.7,2.27
GS.OK046.HHZ.00,0.40586,344.858,Pg,2016-11-07 02:23:30.710,manual,0.6,2.52
GS.OK034.HHZ.00,0.0512121,83.8283,Pg,2016-11-07 02:23:24.280,manual,0.4,4.25
GS.OK029.HHZ.00,0.589018,249.556,Pg,2016-11-07 02:23:34.080,manual,0.7,2.09
OK.CHOK.HHZ.--,0.499751,207.741,Pg,2016-11-07 02:23:32.230,manual,0.5,2.28
N4.U38B.BHZ.--,1.98087,76.6455,Pn,2016-11-07 02:23:57.470,manual,1.1,1.14
N4.T35B.BHZ.--,0.934266,13.0944,Pg,2016-11-07 02:23:40.340,manual,0.9,2.18
NQ.OK915.HNZ.01,0.0510653,176.901,Pg,2016-11-07 02:23:24.130,manual,0.3,4.25
NQ.OK914.HNZ.01,0.0411105,214.631,Pg,2016-11-07 02:23:23.970,manual,0.3,4.34
ZD.RH07.EHZ.--,0.297306,254.807,Pg,2016-11-07 02:23:28.670,manual,0.6,2.88
ZD.RH03.EHZ.--,0.351035,181.263,Pg,2016-11-07 02:23:29.680,manual,0.6,2.69
GS.OK044.HHZ.00,0.367612,357.445,Pg,2016-11-07 02:23:29.970,manual,0.6,2.64
GS.OK048.HHZ.00,0.432473,341.773,Pg,2016-11-07 02:23:31.220,manual,0.7,2.45
GS.PW02.CHZ.--,0.442025,346.378,Pg,2016-11-07 02:23:31.360,manual,0.6,2.42
GS.OK025.HHZ.00,0.622374,227.387,Pg,2016-11-07 02:23:34.500,manual,0.5,2.02
ZD.RH04.EHZ.--,0.723842,165.056,Pg,2016-11-07 02:23:36.160,manual,0.3,1.85
TA.TUL1.BHZ.--,0.803944,96.4327,Pg,2016-11-07 02:23:37.700,manual,0.5,2.34
ZD.KNG1.EHZ.--,0.755772,279.97,Pg,2016-11-07 02:23:37.070,manual,0.7,1.8
OK.BLOK.HHZ.--,0.833418,334.975,Pg,2016-11-07 02:23:38.380,manual,0.6,2.3
OK.FNO.HHZ.01,0.903002,214.516,Pg,2016-11-07 02:23:39.250,manual,0.3,2.22
YW.518.HHZ.01,0.910733,310.722,Pg,2016-11-07 02:23:40.060,manual,1.0,2.21
YW.512.HHZ.01,0.956058,311.303,Pg,2016-11-07 02:23:40.760,manual,0.9,2.16
YW.508.HHZ.01,0.969008,309.226,Pg,2016-11-07 02:23:41.110,manual,1.0,2.15
OK.CROK.HHZ.--,1.09607,297.437,Pg,2016-11-07 02:23:43.180,manual,0.9,2.02
GS.KAN13.HHZ.01,1.15418,330.875,Pg,2016-11-07 02:23:44.250,manual,1.0,1.97
OK.GC02.EHZ.--,1.21569,314.361,Pg,2016-11-07 02:23:45.390,manual,1.0,1.92
GS.KAN17.HHZ.01,1.30783,322.776,Pg,2016-11-07 02:23:46.980,manual,1.0,1.84
GS.KAN09.HHZ.01,1.31711,329.265,Pg,2016-11-07 02:23:47.030,manual,0.9,1.84
GS.KAN14.HHZ.01,1.34835,315.157,Pg,2016-11-07 02:23:47.670,manual,1.0,1.81
GS.KS20.HHZ.00,1.37361,333.111,Pg,2016-11-07 02:23:48.040,manual,0.9,1.79
OK.X34A.HHZ.--,1.6457,211.984,Pn,2016-11-07 02:23:52.020,manual,0.2,1.18
OK.U32A.BHZ.--,1.83859,282.393,Pn,2016-11-07 02:23:55.030,manual,0.6,1.16
OK.LOOK.HHZ.--,2.03485,189.497,Pn,2016-11-07 02:23:57.940,manual,0.9,1.13
US.WMOK.BHZ.10,2.06915,232.933,Pn,2016-11-07 02:23:58.890,manual,1.3,1.13
AG.WHAR.HHZ.00,3.72308,99.7285,Pn,2016-11-07 02:24:20.360,manual,0.5,0.96
NQ.OK914.HNN.01,0.0411105,214.631,Sg,2016-11-07 02:23:24.820,manual,0.2,1.42
NQ.OK915.HNE.01,0.0510653,176.901,Sg,2016-11-07 02:23:25.170,manual,0.3,1.41
