#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us100076ee
#time = 2016-11-09 02:15:37
#location = 21km NW of Medford, Oklahoma
#latitude = 36.9445
#longitude = -97.8973
#depth = 5.9
#magnitude = 3.7
#magtype = mwr
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us100076ee
#us_Mwr_mrr = -416680000000000
#us_Mwr_mtt = 444900000000000
#us_Mwr_mpp = -28220000000000
#us_Mwr_mrt = -1280000000000
#us_Mwr_mrp = 2910000000000
#us_Mwr_mtp = 198190000000000
#us_Mwr_np1_strike = 70.6
#us_Mwr_np1_dip = 45.02
#us_Mwr_np1_rake = -89.19
#us_Mwr_np2_strike = 249.45
#us_Mwr_np2_dip = 44.99
#us_Mwr_np2_rake = -90.81
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.GC02.EHZ.--,0.0976195,161.952,Pg,2016-11-09 02:15:39.200,manual,0.1,3.9
GS.KAN14.HHZ.01,0.0540414,283.149,Pg,2016-11-09 02:15:38.660,manual,0.2,4.23
GS.KAN01.HHZ.01,0.236051,27.9109,Pg,2016-11-09 02:15:42.140,manual,0.6,3.13
GS.KAN12.HHZ.01,0.36133,347.159,Pg,2016-11-09 02:15:44.560,manual,0.8,2.66
GS.KAN08.HHZ.01,0.287761,348.22,Pg,2016-11-09 02:15:43.190,manual,0.7,2.92
GS.KAN06.HHZ.01,0.304517,5.82103,Pg,2016-11-09 02:15:43.460,manual,0.7,2.86
GS.KS21.HNZ.20,0.389371,28.6804,Pg,2016-11-09 02:15:45.000,manual,0.7,2.57
OK.BLOK.HHZ.--,0.57724,108.336,Pg,2016-11-09 02:15:48.200,manual,0.5,2.11
GS.OK032.HHZ.00,0.287678,240.874,Pg,2016-11-09 02:15:42.920,manual,0.5,2.92
GS.OK038.HHZ.00,0.823134,235.823,Pg,2016-11-09 02:15:52.670,manual,0.6,2.28
GS.OK035.HHZ.00,0.693207,250.353,Pg,2016-11-09 02:15:50.370,manual,0.6,1.9
GS.OK048.HHZ.00,0.930414,124.235,Pg,2016-11-09 02:15:54.540,manual,0.7,2.16
GS.OK033.HHZ.00,1.18501,139.007,Pg,2016-11-09 02:15:59.230,manual,0.9,1.92
OK.QUOK.HHZ.--,1.22973,128.505,Pg,2016-11-09 02:16:00.030,manual,1.0,1.88
GS.OK025.HHZ.00,1.43376,161.453,Pg,2016-11-09 02:16:03.470,manual,0.9,1.73
GS.OK034.HHZ.00,1.33425,133.981,Pg,2016-11-09 02:16:01.720,manual,0.9,1.8
ZD.RH03.EHZ.--,1.57092,144.799,Pg,2016-11-09 02:16:05.330,manual,0.4,1.64
GS.OK047.HHZ.00,1.05591,116.363,Pg,2016-11-09 02:15:56.810,manual,0.8,2.03
OK.FNO.HHZ.01,1.73087,166.431,Pn,2016-11-09 02:16:08.000,manual,0.6,1.17
US.WMOK.BHZ.10,2.3159,198.315,Pn,2016-11-09 02:16:15.830,manual,0.5,0.0
YW.508.HHZ.01,0.36186,155.249,Pg,2016-11-09 02:15:44.210,manual,0.4,2.66
NM.MGMO.BHZ.--,4.5074,85.647,Pn,2016-11-09 02:16:46.230,manual,1.3,0.0
YW.518.HHZ.01,0.406316,148.527,Pg,2016-11-09 02:15:45.050,manual,0.5,2.52
YW.512.HHZ.01,0.360339,149.345,Pg,2016-11-09 02:15:44.170,manual,0.4,2.66
N4.R40B.BHZ.--,4.66658,71.5581,Pn,2016-11-09 02:16:48.070,manual,1.0,0.0
NM.SLM.BHZ.00,6.29766,72.1243,Pn,2016-11-09 02:17:09.670,manual,0.6,0.0
IU.WVT.BHZ.10,8.14483,92.7107,Pn,2016-11-09 02:17:34.360,manual,0.3,0.0
N4.L42A.BHZ.--,8.12428,49.0143,Pn,2016-11-09 02:17:35.320,manual,1.5,0.0
GS.KAN14.HHN.01,0.0540414,283.149,Sg,2016-11-09 02:15:39.680,manual,0.1,1.41
OK.GC02.EHN.--,0.0976195,161.952,Sg,2016-11-09 02:15:40.850,manual,0.2,1.38
GS.KAN17.HHE.01,0.145386,46.8185,Sg,2016-11-09 02:15:42.700,manual,0.7,1.35
GS.KAN17.HHZ.01,0.145386,46.8185,Pg,2016-11-09 02:15:40.460,manual,0.5,3.6
GS.KAN01.HHN.01,0.236051,27.9109,Sg,2016-11-09 02:15:45.330,manual,0.5,1.3
GS.KAN09.HHZ.01,0.293958,49.3303,Pg,2016-11-09 02:15:43.170,manual,0.6,2.89
OK.CROK.HHZ.--,0.444368,188.981,Pg,2016-11-09 02:15:45.710,manual,0.4,2.42
GS.KS20.HHZ.00,0.395309,43.8322,Pg,2016-11-09 02:15:44.960,manual,0.6,2.55
ZD.KNG1.EHZ.--,0.826727,168.603,Pg,2016-11-09 02:15:52.580,manual,0.5,2.27
GS.OK032.HH1.00,0.287678,240.874,Sg,2016-11-09 02:15:47.030,manual,0.6,1.28
GS.KAN09.HHN.01,0.293958,49.3303,Sg,2016-11-09 02:15:47.080,manual,0.5,1.27
GS.KAN08.HHE.01,0.287761,348.22,Sg,2016-11-09 02:15:47.290,manual,0.9,1.28
GS.KAN06.HHN.01,0.304517,5.82103,Sg,2016-11-09 02:15:47.230,manual,0.3,1.27
GS.KAN16.HHZ.01,0.310878,334.545,Pg,2016-11-09 02:15:42.970,manual,0.1,2.83
GS.KAN16.HHN.01,0.310878,334.545,Sg,2016-11-09 02:15:47.980,manual,0.8,1.27
GS.KAN13.HHZ.01,0.342802,78.3859,Pg,2016-11-09 02:15:43.840,manual,0.4,2.72
YW.512.HH2.01,0.360339,149.345,Sg,2016-11-09 02:15:49.340,manual,0.7,1.24
YW.508.HH2.01,0.36186,155.249,Sg,2016-11-09 02:15:49.290,manual,0.6,1.24
GS.KAN12.HHE.01,0.36133,347.159,Sg,2016-11-09 02:15:49.210,manual,0.5,1.24
YW.518.HH2.01,0.406316,148.527,Sg,2016-11-09 02:15:50.510,manual,0.4,1.22
GS.KS21.HN2.20,0.389371,28.6804,Sg,2016-11-09 02:15:50.430,manual,0.8,1.23
GS.KS20.HH2.00,0.395309,43.8322,Sg,2016-11-09 02:15:50.400,manual,0.6,1.22
OK.BLOK.HHN.--,0.57724,108.336,Sg,2016-11-09 02:15:55.680,manual,0.2,1.14
GS.OK035.HH1.00,0.693207,250.353,Sg,2016-11-09 02:15:59.780,manual,0.6,1.1
Y7.PW15.EHZ.--,0.854288,123.514,Pg,2016-11-09 02:15:53.020,manual,0.5,2.24
GS.OK038.HH2.00,0.823134,235.823,Sg,2016-11-09 02:16:03.780,manual,0.8,1.18
Y7.PW15.EH2.--,0.854288,123.514,Sg,2016-11-09 02:16:04.380,manual,0.4,1.17
OK.NOKA.HHZ.--,0.886223,249.89,Pg,2016-11-09 02:15:53.600,manual,0.5,2.21
GS.OK050.HHZ.00,0.918212,126.44,Pg,2016-11-09 02:15:54.180,manual,0.5,2.17
GS.PW02.CHZ.--,0.945791,122.22,Pg,2016-11-09 02:15:54.750,manual,0.6,2.14
GS.OK051.HHZ.00,0.958801,116.894,Pg,2016-11-09 02:15:54.910,manual,0.5,2.13
GS.OK046.HHZ.00,0.965282,124.167,Pg,2016-11-09 02:15:55.080,manual,0.6,2.12
Y7.PW14.EHZ.--,0.972805,127.91,Pg,2016-11-09 02:15:55.120,manual,0.5,2.11
OK.HTCH.HHZ.--,0.989843,200.893,Pg,2016-11-09 02:15:55.490,manual,0.6,2.1
GS.OK044.HHZ.00,1.05332,122.476,Pg,2016-11-09 02:15:56.710,manual,0.7,2.04
OK.U32A.BHZ.--,1.05173,237.908,Pg,2016-11-09 02:15:56.650,manual,0.7,2.04
N4.T35B.BHZ.--,1.11047,91.0413,Pg,2016-11-09 02:15:57.630,manual,0.6,1.98
ZD.RH07.EHZ.--,1.1901,148.421,Pg,2016-11-09 02:15:59.230,manual,0.9,1.91
ZD.RH08.EHZ.--,1.29628,191.714,Pg,2016-11-09 02:16:00.680,manual,0.5,1.83
