#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us100077nw
#time = 2016-11-14 13:33:54.900000
#location = 7km ENE of Edmond, Oklahoma
#latitude = 35.6702
#longitude = -97.3980
#depth = 7.1
#magnitude = 2.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us100077nw
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.BCOK.HHZ.--,0.172586,265.585,Pg,2016-11-14 13:33:58.500,manual,0.1,3.44
GS.OK029.HHZ.00,0.134355,339.862,Pg,2016-11-14 13:33:58.080,manual,0.3,3.66
OK.CHOK.HHZ.--,0.295149,111.546,Pg,2016-11-14 13:34:00.920,manual,0.2,2.89
GS.OK030.HHZ.00,0.561586,62.5806,Pg,2016-11-14 13:34:05.630,manual,-0.1,2.14
ZD.KNG1.EHZ.--,0.520552,332.441,Pg,2016-11-14 13:34:04.760,manual,-0.2,2.23
GS.OK053.HHZ.00,0.603017,55.1239,Pg,2016-11-14 13:34:06.280,manual,-0.2,2.06
GS.OK031.HHZ.00,0.53484,57.9791,Pg,2016-11-14 13:34:05.240,manual,0.0,2.2
ZD.RH07.EHZ.--,0.335931,40.4451,Pg,2016-11-14 13:34:01.740,manual,0.3,2.74
OK.FNO.HHZ.01,0.411895,180.364,Pg,2016-11-14 13:34:03.040,manual,0.1,2.51
GS.OK052.HHZ.00,0.581433,56.1137,Pg,2016-11-14 13:34:06.120,manual,0.0,2.1
GS.OK034.HHZ.00,0.651687,58.4265,Pg,2016-11-14 13:34:07.310,manual,-0.1,1.97
GS.OK033.HHZ.00,0.528149,44.8739,Pg,2016-11-14 13:34:05.210,manual,0.1,2.21
Y7.PW14.EHZ.--,0.763584,28.5021,Pg,2016-11-14 13:34:09.390,manual,-0.2,1.79
OK.QUOK.HHZ.--,0.750875,48.0333,Pg,2016-11-14 13:34:09.160,manual,-0.2,1.81
