#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us100079k7
#time = 2016-11-17 20:20:18.500000
#location = 11km NNE of Langston, Oklahoma
#latitude = 36.0437
#longitude = -97.2186
#depth = 8.0
#magnitude = 2.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us100079k7
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
ZD.RH07.EHZ.--,0.137816,148.351,Pg,2016-11-17 20:20:21.060,manual,-0.4,3.64
GS.OK033.HHZ.00,0.227244,89.7419,Pg,2016-11-17 20:20:22.830,manual,-0.2,3.17
OK.QUOK.HHZ.--,0.432668,72.7204,Pg,2016-11-17 20:20:26.680,manual,-0.2,2.45
OK.CHOK.HHZ.--,0.498255,165.084,Pg,2016-11-17 20:20:27.660,manual,-0.5,2.28
OK.BCOK.HHZ.--,0.499882,219.532,Pg,2016-11-17 20:20:27.550,manual,-0.6,2.28
GS.OK053.HHZ.00,0.350437,94.6926,Pg,2016-11-17 20:20:25.080,manual,-0.3,2.69
GS.OK046.HHZ.00,0.433331,35.4091,Pg,2016-11-17 20:20:26.570,manual,-0.4,2.45
GS.OK052.HHZ.00,0.340771,98.3146,Pg,2016-11-17 20:20:24.900,manual,-0.3,2.73
GS.OK029.HHZ.00,0.312397,217.948,Pg,2016-11-17 20:20:24.200,manual,-0.5,2.83
US.WMOK.BHZ.10,1.82382,224.864,Pn,2016-11-17 20:20:50.490,manual,0.4,1.16
ZD.RH11.EHZ.--,0.216259,356.485,Pg,2016-11-17 20:20:22.580,manual,-0.3,3.22
GS.OK031.HHZ.00,0.32074,106.261,Pg,2016-11-17 20:20:24.500,manual,-0.3,2.8
Y7.PW14.EHZ.--,0.369964,36.3963,Pg,2016-11-17 20:20:25.490,manual,-0.2,2.63
GS.OK030.HHZ.00,0.371119,108.031,Pg,2016-11-17 20:20:25.510,manual,-0.2,2.63
