#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10007ccp
#time = 2016-11-25 19:19:46.200000
#location = 12km NW of Fairview, Oklahoma
#latitude = 36.3594
#longitude = -98.5672
#depth = 8.0
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10007ccp
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.HTCH.HHZ.--,0.390736,150.886,Pg,2016-11-25 19:19:53.740,manual,-0.3,2.94
OK.U32A.BHZ.--,0.351022,273.405,Pg,2016-11-25 19:19:53.210,manual,-0.2,3.02
OK.CROK.HHZ.--,0.492637,72.7082,Pg,2016-11-25 19:19:55.740,manual,-0.1,2.75
GS.OK038.HHZ.00,0.184341,310.079,Pg,2016-11-25 19:19:50.340,manual,-0.1,3.41
OK.GC02.EHZ.--,0.751938,49.0094,Pg,2016-11-25 19:20:00.480,manual,0.0,2.37
OK.BLOK.HHZ.--,1.16,69.4055,Pg,2016-11-25 19:20:07.770,manual,0.1,1.94
GS.KAN13.HHZ.01,1.09189,52.9963,Pg,2016-11-25 19:20:06.520,manual,0.0,2.0
ZD.KNG1.EHZ.--,0.740204,107.571,Pg,2016-11-25 19:20:00.040,manual,-0.2,2.38
GS.OK051.HHZ.00,1.40369,83.5364,Pg,2016-11-25 19:20:11.670,manual,-0.3,1.75
GS.OK044.HHZ.00,1.4294,88.943,Pg,2016-11-25 19:20:11.990,manual,-0.5,1.74
OK.X34A.HHZ.--,1.85411,160.92,Pn,2016-11-25 19:20:17.470,manual,-1.9,1.15
GS.KAN17.HHZ.01,0.939595,43.1002,Pg,2016-11-25 19:20:03.240,manual,-0.5,2.15
US.WMOK.BHZ.10,1.62728,186.204,Pg,2016-11-25 19:20:14.790,manual,-1.2,1.61
OK.CHOK.HHZ.--,1.45847,122.663,Pg,2016-11-25 19:20:12.150,manual,-0.8,1.72
ZD.RH07.EHZ.--,1.24144,109.959,Pg,2016-11-25 19:20:08.500,manual,-0.6,1.87
N4.T35B.BHZ.--,1.74401,70.8084,Pn,2016-11-25 19:20:16.510,manual,-1.4,1.17
GS.OK038.HH2.00,0.184341,310.079,Sg,2016-11-25 19:19:53.260,manual,-0.1,1.38
OK.U32A.BHN.--,0.351022,273.405,Sg,2016-11-25 19:19:58.310,manual,0.0,1.33
GS.OK035.HHZ.00,0.36654,341.795,Pg,2016-11-25 19:19:53.580,manual,-0.1,2.99
OK.HTCH.HHE.--,0.390736,150.886,Sg,2016-11-25 19:19:59.310,manual,-0.1,1.32
OK.CROK.HHN.--,0.492637,72.7082,Sg,2016-11-25 19:20:02.660,manual,0.2,1.29
GS.OK032.HHZ.00,0.528386,32.8177,Pg,2016-11-25 19:19:55.540,manual,-1.0,2.69
OK.CSTR.HHZ.--,0.719112,187.924,Pg,2016-11-25 19:19:59.940,manual,0.0,2.41
OK.CSTR.HHE.--,0.719112,187.924,Sg,2016-11-25 19:20:10.050,manual,0.8,1.24
ZD.KNG1.EHN.--,0.740204,107.571,Sg,2016-11-25 19:20:10.300,manual,0.5,1.23
OK.ELIS.HHZ.--,0.748037,247.15,Pg,2016-11-25 19:20:00.260,manual,-0.2,2.37
OK.GC02.EHE.--,0.751938,49.0094,Sg,2016-11-25 19:20:10.900,manual,0.7,1.23
GS.KAN10.HNE.01,0.851704,26.2981,Pg,2016-11-25 19:20:02.220,manual,0.0,2.25
GS.KAN10.HHN.01,0.851704,26.2981,Sg,2016-11-25 19:20:13.520,manual,0.4,1.21
GS.KAN05.HHZ.01,0.933143,36.5361,Pg,2016-11-25 19:20:02.850,manual,-0.8,2.16
GS.KAN05.HHE.01,0.933143,36.5361,Sg,2016-11-25 19:20:16.100,manual,0.6,1.19
GS.KAN17.HHN.01,0.939595,43.1002,Sg,2016-11-25 19:20:16.530,manual,0.8,1.19
GS.KAN08.HHZ.01,0.989158,28.7627,Pg,2016-11-25 19:20:03.710,manual,-1.0,2.1
GS.KAN08.HHE.01,0.989158,28.7627,Sg,2016-11-25 19:20:18.040,manual,0.8,1.18
GS.KAN01.HHZ.01,1.02434,39.0778,Pg,2016-11-25 19:20:05.140,manual,-0.1,2.07
GS.KAN01.HHE.01,1.02434,39.0778,Sg,2016-11-25 19:20:18.990,manual,0.8,1.17
OK.BCOK.HHZ.--,1.04638,131.796,Pg,2016-11-25 19:20:04.840,manual,-0.8,2.04
OK.BCOK.HHN.--,1.04638,131.796,Sg,2016-11-25 19:20:19.800,manual,0.9,1.16
GS.OK029.HH2.00,1.06175,121.607,Pg,2016-11-25 19:20:07.260,manual,1.3,2.03
GS.OK029.HH1.00,1.06175,121.607,Sg,2016-11-25 19:20:20.240,manual,0.9,1.16
GS.KAN13.HHE.01,1.09189,52.9963,Sg,2016-11-25 19:20:21.100,manual,0.9,1.15
OK.BLOK.HHE.--,1.16,69.4055,Sg,2016-11-25 19:20:23.340,manual,1.1,1.14
GS.KS21.HNZ.20,1.17584,37.8296,Pg,2016-11-25 19:20:08.000,manual,0.0,1.93
GS.KS21.HN2.20,1.17584,37.8296,Sg,2016-11-25 19:20:23.520,manual,0.8,1.14
GS.KS20.HHZ.00,1.18977,42.8053,Pg,2016-11-25 19:20:08.200,manual,0.0,1.92
GS.KS20.HH1.00,1.18977,42.8053,Sg,2016-11-25 19:20:24.370,manual,1.2,1.13
ZD.RH07.EHE.--,1.24144,109.959,Sg,2016-11-25 19:20:25.820,manual,1.2,1.12
Y7.PW15.EHZ.--,1.25784,84.5688,Pg,2016-11-25 19:20:09.010,manual,-0.4,1.86
GS.OK025.HHZ.00,1.26395,127.551,Pg,2016-11-25 19:20:08.800,manual,-0.7,1.86
GS.OK050.HHZ.00,1.27993,87.9617,Pg,2016-11-25 19:20:09.540,manual,-0.3,1.84
GS.OK048.HHZ.00,1.31124,87.041,Pg,2016-11-25 19:20:10.160,manual,-0.2,1.82
GS.OK045.HHZ.00,1.32776,85.7075,Pg,2016-11-25 19:20:10.670,manual,0.0,1.81
GS.OK046.HHZ.00,1.34,87.8947,Pg,2016-11-25 19:20:10.720,manual,-0.1,1.8
GS.OK033.HHZ.00,1.35454,102.937,Pg,2016-11-25 19:20:09.770,manual,-1.3,1.79
OK.FNO.HHZ.01,1.45169,138.9,Pg,2016-11-25 19:20:12.210,manual,-0.6,1.72
GS.OK031.HHZ.00,1.4561,105.657,Pg,2016-11-25 19:20:11.920,manual,-1.0,1.72
GS.OK052.HHZ.00,1.47346,103.822,Pg,2016-11-25 19:20:11.600,manual,-1.6,1.71
NQ.OK914.HNZ.01,1.4779,104.691,Pg,2016-11-25 19:20:12.300,manual,-1.0,1.7
GS.OK053.HHZ.00,1.48012,102.932,Pg,2016-11-25 19:20:12.840,manual,-0.5,1.7
