#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10007et0
#time = 2016-12-04 12:59:30.200000
#location = 7km ENE of Edmond, Oklahoma
#latitude = 35.6713
#longitude = -97.4028
#depth = 7.2
#magnitude = 2.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10007et0
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.BCOK.HHZ.--,0.16878,265.109,Pg,2016-12-04 12:59:33.790,manual,0.1,3.46
OK.CHOK.HHZ.--,0.299186,111.464,Pg,2016-12-04 12:59:36.360,manual,0.3,2.88
GS.OK031.HHZ.00,0.53758,58.2962,Pg,2016-12-04 12:59:40.740,manual,0.2,2.19
GS.OK052.HHZ.00,0.584074,56.4138,Pg,2016-12-04 12:59:41.540,manual,0.1,2.1
GS.OK033.HHZ.00,0.530141,45.254,Pg,2016-12-04 12:59:40.540,manual,0.1,2.21
GS.OK025.HHZ.00,0.104385,149.547,Pg,2016-12-04 12:59:32.890,manual,0.3,3.86
ZD.RH07.EHZ.--,0.337652,41.0676,Pg,2016-12-04 12:59:37.160,manual,0.4,2.74
GS.OK053.HHZ.00,0.605604,55.4176,Pg,2016-12-04 12:59:41.810,manual,-0.1,2.05
GS.OK030.HHZ.00,0.564556,62.8592,Pg,2016-12-04 12:59:41.070,manual,0.0,2.14
OK.QUOK.HHZ.--,0.753055,48.2913,Pg,2016-12-04 12:59:44.510,manual,-0.2,1.81
Y7.PW14.EHZ.--,0.764495,28.7958,Pg,2016-12-04 12:59:44.760,manual,-0.1,1.79
ZD.RH11.EHZ.--,0.603009,12.9896,Pg,2016-12-04 12:59:41.960,manual,0.1,2.06
OK.DEOK.HHZ.--,0.755301,76.6481,Pg,2016-12-04 12:59:44.100,manual,-0.6,1.8
OK.CROK.HHZ.--,0.955421,330.684,Pg,2016-12-04 12:59:48.190,manual,-0.4,1.55
ZD.RH03.EHZ.--,0.503011,91.9003,Pg,2016-12-04 12:59:39.930,manual,0.0,2.27
OK.FNO.HHZ.01,0.412985,179.818,Pg,2016-12-04 12:59:38.270,manual,0.0,2.5
ZD.RH09.EHZ.--,0.553296,300.861,Pg,2016-12-04 12:59:40.840,manual,0.0,2.16
OK.HTCH.HHZ.--,0.830585,294.819,Pg,2016-12-04 12:59:45.850,manual,-0.3,1.7
GS.OK032.HHZ.00,1.30521,330.223,Pn,2016-12-04 12:59:53.850,manual,-0.9,1.23
US.WMOK.BHZ.10,1.46303,230.865,Pn,2016-12-04 12:59:56.370,manual,-0.6,1.21
GS.OK048.HHZ.00,0.831263,26.4548,Pg,2016-12-04 12:59:45.960,manual,-0.2,1.7
GS.KAN17.HHZ.01,1.40085,348.067,Pn,2016-12-04 12:59:55.850,manual,-0.2,1.21
OK.GC02.EHZ.--,1.2343,342.731,Pn,2016-12-04 12:59:52.480,manual,-1.3,1.24
OK.BLOK.HHZ.--,1.09763,7.89789,Pg,2016-12-04 12:59:50.480,manual,-0.8,1.41
OK.X34A.HHZ.--,1.12445,198.381,Pg,2016-12-04 12:59:51.900,manual,0.1,1.38
OK.X37A.BHZ.--,1.98443,122.371,Pn,2016-12-04 13:00:04.690,manual,0.6,1.14
OK.U32A.BHZ.--,1.47603,299.075,Pn,2016-12-04 12:59:56.630,manual,-0.5,1.2
N4.T35B.BHZ.--,1.43578,29.8221,Pn,2016-12-04 12:59:56.340,manual,-0.2,1.21
OK.RLOK.HHZ.--,1.99113,74.9031,Pn,2016-12-04 13:00:05.050,manual,0.9,1.14
OK.LOOK.HHZ.--,1.68495,173.691,Pn,2016-12-04 13:00:00.500,manual,0.5,1.18
TA.TUL1.BHZ.--,0.0,85.4849,Pn,2016-12-04 12:59:53.850,manual,-1.3,1.22
N4.U38B.BHZ.--,2.56204,71.7086,Pn,2016-12-04 13:00:13.960,manual,1.9,0.0
US.MIAR.BHZ.00,3.33185,108.594,Pn,2016-12-04 13:00:23.520,manual,0.9,0.0
US.AMTX.BHZ.00,3.587,258.588,Pn,2016-12-04 13:00:26.310,manual,0.1,0.0
GS.OK009.HNZ.01,0.0912844,190.338,Pg,2016-12-04 12:59:32.430,manual,0.0,3.95
GS.OK005.HNZ.01,0.173164,95.3608,Pg,2016-12-04 12:59:34.120,manual,0.4,3.44
GS.OK050.HHZ.00,0.798302,25.1831,Pg,2016-12-04 12:59:45.370,manual,-0.2,1.74
GS.OK046.HHZ.00,0.828231,28.8548,Pg,2016-12-04 12:59:45.930,manual,-0.2,1.7
OK.CSTR.HHZ.--,1.04765,268.972,Pg,2016-12-04 12:59:50.160,manual,-0.2,1.45
GS.KAN13.HHZ.01,1.34026,357.433,Pn,2016-12-04 12:59:55.150,manual,-0.1,1.22
N4.Z35B.BHZ.--,2.338,176.924,Pn,2016-12-04 13:00:10.540,manual,1.6,0.0
GS.OK009.HNN.01,0.0912844,190.338,Sg,2016-12-04 12:59:34.350,manual,0.5,1.39
GS.OK025.HH2.00,0.104385,149.547,Sg,2016-12-04 12:59:35.260,manual,1.0,1.38
OK.BCOK.HHN.--,0.16878,265.109,Sg,2016-12-04 12:59:36.170,manual,0.1,1.34
GS.OK005.HNN.01,0.173164,95.3608,Sg,2016-12-04 12:59:36.800,manual,0.6,1.34
OK.CHOK.HHN.--,0.299186,111.464,Sg,2016-12-04 12:59:40.650,manual,0.6,1.27
ZD.RH07.EHN.--,0.337652,41.0676,Sg,2016-12-04 12:59:42.020,manual,0.8,1.25
ZD.RH04.EHZ.--,0.788324,117.487,Pg,2016-12-04 12:59:43.880,manual,-1.5,1.75
