#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us200024un
#time = 2015-04-07 20:11:18.100000
#location = 6km S of Guthrie, Oklahoma
#latitude = 35.8212
#longitude = -97.4378
#depth = 5.0
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us200024un
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.BCOK.HHZ.--,0.215432,220.414,Pg,2015-04-07 20:11:22.560,manual,0.2,3.23
GS.OK025.HHZ.00,0.253004,161.225,Pg,2015-04-07 20:11:23.490,manual,0.5,3.06
OK.OKCFA.HHZ.--,0.40517,181.571,Pg,2015-04-07 20:11:25.890,manual,0.0,2.53
OK.QUOK.HHZ.--,0.687285,59.224,Pg,2015-04-07 20:11:31.250,manual,-0.1,1.91
OK.OKCSW.EHN.--,0.414797,180.023,Sg,2015-04-07 20:11:32.630,manual,1.1,1.21
OK.CROK.HHZ.--,0.812513,327.246,Pg,2015-04-07 20:11:33.800,manual,0.1,1.72
GS.OK029.HHZ.00,0.0282123,209.531,Pg,2015-04-07 20:11:19.410,manual,0.2,4.45
OK.FNO.HHZ.01,0.563354,176.952,Pg,2015-04-07 20:11:29.560,manual,0.6,2.14
GS.OK032.HHZ.00,1.16231,327.757,Pg,2015-04-07 20:11:39.900,manual,-0.5,1.35
GS.KAN13.HHZ.01,1.18975,358.458,Pg,2015-04-07 20:11:40.190,manual,-0.7,1.33
GS.KAN09.HHZ.01,1.32033,353.727,Pn,2015-04-07 20:11:42.750,manual,-0.5,1.23
GS.KAN14.HHZ.01,1.20995,339.653,Pg,2015-04-07 20:11:40.660,manual,-0.6,1.31
GS.KAN10.HHZ.01,1.40354,338.017,Pn,2015-04-07 20:11:43.790,manual,-0.6,1.22
GS.KAN01.HHZ.01,1.35452,349.078,Pn,2015-04-07 20:11:43.160,manual,-0.5,1.23
US.WMOK.BHZ.10,1.54121,225.859,Pn,2015-04-07 20:11:46.050,manual,-0.2,1.2
GS.KAN08.HHZ.01,1.46697,343.137,Pn,2015-04-07 20:11:45.480,manual,0.2,1.21
GS.KAN05.HHZ.01,1.33172,344.88,Pn,2015-04-07 20:11:42.900,manual,-0.5,1.23
OK.GC02.EHZ.--,1.08315,341.798,Pg,2015-04-07 20:11:38.550,manual,-0.3,1.42
GS.KAN11.HHZ.01,1.43416,344.649,Pn,2015-04-07 20:11:44.800,manual,0.0,1.21
OK.X34A.HHZ.--,1.25962,194.986,Pn,2015-04-07 20:11:42.220,manual,-0.2,1.24
OK.X37A.BHZ.--,2.0915,125.394,Pn,2015-04-07 20:11:54.160,manual,0.4,1.13
GS.OK029.HH2.00,0.0282123,209.531,Sg,2015-04-07 20:11:20.360,manual,0.4,1.43
OK.BCOK.HHN.--,0.215432,220.414,Sg,2015-04-07 20:11:25.920,manual,0.7,1.32
GS.OK025.HH2.00,0.253004,161.225,Sg,2015-04-07 20:11:27.520,manual,1.1,1.3
OK.OKCFA.HHN.--,0.40517,181.571,Sg,2015-04-07 20:11:32.110,manual,0.9,1.22
OK.OKCSW.EHZ.--,0.414797,180.023,Pg,2015-04-07 20:11:25.660,manual,-0.4,2.5
GS.OK031.HH2.00,0.503662,74.6761,Sg,2015-04-07 20:11:35.020,manual,0.7,1.17
GS.OK031.HHZ.00,0.503662,74.6761,Pg,2015-04-07 20:11:28.130,manual,0.3,2.27
GS.OK012.HNZ.01,0.540221,125.801,Pg,2015-04-07 20:11:28.740,manual,0.2,2.19
GS.OK012.HNN.01,0.540221,125.801,Sg,2015-04-07 20:11:36.550,manual,1.0,1.16
GS.OK030.HH1.00,0.541701,78.4839,Sg,2015-04-07 20:11:36.290,manual,0.7,1.16
GS.OK030.HHZ.00,0.541701,78.4839,Pg,2015-04-07 20:11:28.560,manual,0.0,2.18
NQ.OK915.HNE.01,0.556086,76.0609,Sg,2015-04-07 20:11:36.700,manual,0.7,1.15
OK.FNO.HHN.01,0.563354,176.952,Sg,2015-04-07 20:11:37.970,manual,1.7,1.15
OK.QUOK.HHN.--,0.687285,59.224,Sg,2015-04-07 20:11:40.710,manual,0.5,1.1
OK.KAY1.HHZ.--,0.957101,10.9114,Pg,2015-04-07 20:11:36.200,manual,-0.3,1.55
OK.KAY1.HHE.--,0.957101,10.9114,Sg,2015-04-07 20:11:49.190,manual,0.3,1.01
