#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us200024wv
#time = 2015-04-08 01:42:11.900000
#location = 20km W of Perry, Oklahoma
#latitude = 36.2826
#longitude = -97.5171
#depth = 2.7
#magnitude = 3.0
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us200024wv
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.436675,300.642,Pg,2015-04-08 01:42:20.750,manual,0.5,2.44
OK.BCOK.HHZ.--,0.629048,186.856,Pg,2015-04-08 01:42:24.260,manual,0.3,2.27
GS.OK029.HHZ.00,0.487599,174.048,Pg,2015-04-08 01:42:21.620,manual,0.4,2.31
OK.KAY1.HHZ.--,0.538429,27.0484,Pg,2015-04-08 01:42:22.800,manual,0.6,2.19
GS.KAN13.HHZ.01,0.729562,2.47118,Pg,2015-04-08 01:42:26.110,manual,0.2,2.19
GS.OK030.HHZ.00,0.691376,120.589,Pg,2015-04-08 01:42:25.440,manual,0.3,2.22
OK.QUOK.HHZ.--,0.663554,99.3884,Pg,2015-04-08 01:42:24.960,manual,0.3,2.24
GS.KAN09.HHZ.01,0.855722,354.577,Pg,2015-04-08 01:42:28.400,manual,0.1,1.67
GS.KAN01.HHZ.01,0.890585,347.466,Pg,2015-04-08 01:42:28.960,manual,0.0,1.62
GS.OK031.HHZ.00,0.639905,120.721,Pg,2015-04-08 01:42:24.440,manual,0.3,2.26
GS.KAN10.HHZ.01,0.959241,331.209,Pg,2015-04-08 01:42:30.110,manual,-0.2,1.54
GS.KAN05.HHZ.01,0.87243,341.005,Pg,2015-04-08 01:42:28.690,manual,0.1,1.64
OK.GC02.EHZ.--,0.631193,334.199,Pg,2015-04-08 01:42:24.130,manual,0.1,2.27
GS.KAN11.HHZ.01,0.975017,341.068,Pg,2015-04-08 01:42:30.580,manual,0.0,1.53
GS.OK032.HHZ.00,0.763087,313.18,Pg,2015-04-08 01:42:26.600,manual,0.1,2.16
GS.OK025.HHZ.00,0.714968,168.211,Pg,2015-04-08 01:42:25.900,manual,0.3,2.2
OK.OKCFA.HHZ.--,0.867101,176.452,Pg,2015-04-08 01:42:28.460,manual,-0.1,1.65
GS.KAN08.HHZ.01,1.01031,338.99,Pg,2015-04-08 01:42:31.160,manual,-0.1,1.49
OK.OKCSW.EHZ.--,0.877591,175.778,Pg,2015-04-08 01:42:28.650,manual,-0.1,1.64
GS.KAN12.HHZ.01,1.08393,339.279,Pg,2015-04-08 01:42:32.380,manual,-0.3,1.42
OK.FNO.HHZ.01,1.02733,174.702,Pg,2015-04-08 01:42:31.990,manual,0.4,1.47
US.WMOK.BHZ.10,1.85424,214.146,Pn,2015-04-08 01:42:44.900,manual,0.3,1.16
OK.X34A.HHZ.--,1.69753,188.821,Pn,2015-04-08 01:42:43.320,manual,0.8,1.18
US.MIAR.BHZ.00,3.65534,117.151,Pn,2015-04-08 01:43:10.520,manual,1.1,0.96
N4.U38B.BHZ.--,2.53237,85.5299,Pn,2015-04-08 01:42:55.830,manual,1.9,1.08
OK.U32A.BHZ.--,1.20246,275.052,Pg,2015-04-08 01:42:34.340,manual,-0.6,1.32
OK.X37A.BHZ.--,2.43405,133.331,Pn,2015-04-08 01:42:53.200,manual,0.6,1.09
TA.U40A.BHZ.--,3.76677,87.5003,Pn,2015-04-08 01:43:12.040,manual,1.1,0.95
N4.T35B.BHZ.--,1.02674,51.6851,Pg,2015-04-08 01:42:31.450,manual,-0.1,1.47
N4.R32B.BHZ.--,2.33833,336.351,Pn,2015-04-08 01:42:52.520,manual,1.2,1.1
N4.Z38B.BHZ.--,3.66542,144.619,Pn,2015-04-08 01:43:11.950,manual,2.4,0.96
OK.CROK.HHN.--,0.436675,300.642,Sg,2015-04-08 01:42:26.970,manual,1.0,1.2
GS.OK029.HH1.00,0.487599,174.048,Sg,2015-04-08 01:42:28.340,manual,0.7,1.18
OK.KAY1.HHE.--,0.538429,27.0484,Sg,2015-04-08 01:42:30.260,manual,1.0,1.16
GS.OK031.HH1.00,0.639905,120.721,Sg,2015-04-08 01:42:33.120,manual,0.6,1.12
OK.BCOK.HHE.--,0.629048,186.856,Sg,2015-04-08 01:42:32.940,manual,0.8,1.12
OK.QUOK.HHN.--,0.663554,99.3884,Sg,2015-04-08 01:42:33.920,manual,0.7,1.11
GS.OK030.HH2.00,0.691376,120.589,Sg,2015-04-08 01:42:34.720,manual,0.6,1.1
GS.OK025.HH2.00,0.714968,168.211,Sg,2015-04-08 01:42:35.700,manual,0.8,1.09
GS.OK032.HH1.00,0.763087,313.18,Sg,2015-04-08 01:42:37.000,manual,0.6,1.07
GS.KAN05.HHE.01,0.87243,341.005,Sg,2015-04-08 01:42:40.590,manual,0.6,1.03
OK.OKCFA.HHN.--,0.867101,176.452,Sg,2015-04-08 01:42:40.360,manual,0.6,1.04
OK.OKCSW.EHN.--,0.877591,175.778,Sg,2015-04-08 01:42:40.810,manual,0.7,1.03
GS.KAN10.HHE.01,0.959241,331.209,Sg,2015-04-08 01:42:43.090,manual,0.4,1.01
GS.KAN11.HHE.01,0.975017,341.068,Sg,2015-04-08 01:42:43.910,manual,0.7,1.0
N4.T35B.BHN.--,1.02674,51.6851,Sg,2015-04-08 01:42:44.910,manual,0.0,0.98
OK.FNO.HHE.01,1.02733,174.702,Sg,2015-04-08 01:42:46.060,manual,1.1,0.98
OK.U32A.BHN.--,1.20246,275.052,Sg,2015-04-08 01:42:50.930,manual,0.4,0.93
US.WMOK.BH2.10,1.85424,214.146,Sn,2015-04-08 01:43:09.770,manual,1.1,0.71
AG.HHAR.HHZ.00,2.89013,88.9532,Pn,2015-04-08 01:43:00.150,manual,1.3,1.04
TA.W39A.BHZ.--,3.22448,108.55,Pn,2015-04-08 01:43:04.920,manual,1.5,1.0
N4.S39B.BHZ.--,3.64041,66.0367,Pn,2015-04-08 01:43:10.650,manual,1.5,0.97
TA.X40A.BHZ.--,4.2243,113.716,Pn,2015-04-08 01:43:17.610,manual,0.4,0.91
