#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20002649
#time = 2015-04-13 13:13:51.800000
#location = 7km SSW of Guthrie, Oklahoma
#latitude = 35.8110
#longitude = -97.4519
#depth = 5.2
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20002649
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK030.HHZ.00,0.555015,77.6823,Pg,2015-04-13 13:14:02.640,manual,0.2,2.16
OK.QUOK.HHZ.--,0.702345,58.9808,Pg,2015-04-13 13:14:05.320,manual,0.0,1.88
GS.OK029.HHZ.00,0.014576,189.651,Pg,2015-04-13 13:13:53.010,manual,0.2,4.57
OK.BCOK.HHZ.--,0.200265,219.797,Pg,2015-04-13 13:13:56.140,manual,0.4,3.3
GS.OK025.HHZ.00,0.24746,157.944,Pg,2015-04-13 13:13:57.050,manual,0.4,3.08
GS.OK001.HNZ.01,0.282239,152.021,Pg,2015-04-13 13:13:57.740,manual,0.4,2.94
OK.OKCFA.HHZ.--,0.39484,179.941,Pg,2015-04-13 13:13:59.770,manual,0.3,2.56
GS.OK031.HHZ.00,0.517448,73.9163,Pg,2015-04-13 13:14:02.040,manual,0.3,2.24
NQ.OK914.HNZ.01,0.549102,72.9286,Pg,2015-04-13 13:14:02.720,manual,0.4,2.17
NQ.OK915.HNZ.01,0.569705,75.3368,Pg,2015-04-13 13:14:02.880,manual,0.1,2.12
OK.KAY1.HHZ.--,0.969309,11.4543,Pg,2015-04-13 13:14:10.090,manual,-0.3,1.53
OK.GC02.EHZ.--,1.08933,342.53,Pg,2015-04-13 13:14:12.290,manual,-0.4,1.42
GS.OK032.HHZ.00,1.16491,328.492,Pg,2015-04-13 13:14:13.630,manual,-0.5,1.35
GS.KAN13.HHZ.01,1.19968,359.01,Pg,2015-04-13 13:14:14.290,manual,-0.5,1.32
GS.KAN14.HHZ.01,1.2156,340.318,Pg,2015-04-13 13:14:14.480,manual,-0.6,1.31
GS.KAN09.HHZ.01,1.32925,354.258,Pn,2015-04-13 13:14:16.430,manual,-0.6,1.23
GS.OK029.HH2.00,0.014576,189.651,Sg,2015-04-13 13:13:53.840,manual,0.3,1.43
OK.BCOK.HHE.--,0.200265,219.797,Sg,2015-04-13 13:13:58.950,manual,0.5,1.32
GS.OK031.HH2.00,0.517448,73.9163,Sg,2015-04-13 13:14:08.870,manual,0.4,1.17
GS.OK030.HH2.00,0.555015,77.6823,Sg,2015-04-13 13:14:09.560,manual,-0.1,1.15
OK.QUOK.HHE.--,0.702345,58.9808,Sg,2015-04-13 13:14:14.600,manual,0.2,1.09
OK.KAY1.HHN.--,0.969309,11.4543,Sg,2015-04-13 13:14:22.860,manual,-0.1,1.0
GS.OK032.HH1.00,1.16491,328.492,Sg,2015-04-13 13:14:29.100,manual,-0.2,0.94
GS.KAN01.HHZ.01,1.3624,349.624,Pn,2015-04-13 13:14:16.940,manual,-0.5,1.22
GS.KAN10.HHZ.01,1.40876,338.596,Pn,2015-04-13 13:14:17.750,manual,-0.4,1.22
US.WMOK.BHZ.10,1.5259,225.825,Pn,2015-04-13 13:14:19.660,manual,-0.1,1.2
N4.T35B.BHZ.--,1.33872,34.2462,Pn,2015-04-13 13:14:16.420,manual,-0.7,1.23
OK.X37A.BHZ.--,2.095,124.978,Pn,2015-04-13 13:14:27.780,manual,0.3,1.13
TA.W39A.BHZ.--,3.05477,100.519,Pn,2015-04-13 13:14:40.960,manual,0.2,1.02
GS.KAN05.HHZ.01,1.33863,345.459,Pn,2015-04-13 13:14:16.700,manual,-0.5,1.23
OK.U32A.BHZ.--,1.37722,294.781,Pn,2015-04-13 13:14:17.390,manual,-0.3,1.22
GS.KAN08.HHZ.01,1.47345,343.67,Pn,2015-04-13 13:14:19.190,manual,0.2,1.21
GS.KAN11.HHZ.01,1.44101,345.187,Pn,2015-04-13 13:14:18.580,manual,0.0,1.21
GS.KAN12.HHZ.01,1.54726,343.652,Pn,2015-04-13 13:14:20.340,manual,0.3,1.2
N4.U38B.BHZ.--,2.56028,74.9221,Pn,2015-04-13 13:14:33.340,manual,-0.6,1.07
N4.Z35B.BHZ.--,2.47957,176.148,Pn,2015-04-13 13:14:32.660,manual,-0.2,1.08
N4.S39B.BHZ.--,3.80989,59.2773,Pn,2015-04-13 13:14:51.500,manual,0.4,0.95
AG.WHAR.HHZ.00,4.24152,95.5329,Pn,2015-04-13 13:14:57.160,manual,0.1,0.91
N4.R40B.BHZ.--,4.82838,57.6241,Pn,2015-04-13 13:15:05.300,manual,0.2,0.87
