#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us200026qr
#time = 2015-04-14 00:33:37.800000
#location = 20km NE of Cherokee, Oklahoma
#latitude = 36.8893
#longitude = -98.2003
#depth = 4.6
#magnitude = 2.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us200026qr
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK032.HHZ.00,0.0857236,185.427,Pg,2015-04-14 00:33:39.890,manual,0.2,3.99
GS.KAN10.HHZ.01,0.248469,19.7802,Pg,2015-04-14 00:33:43.150,manual,0.5,3.08
GS.KAN14.HHZ.01,0.201751,70.4214,Pg,2015-04-14 00:33:42.370,manual,0.6,3.29
GS.KAN11.HHZ.01,0.390708,35.9082,Pg,2015-04-14 00:33:45.840,manual,0.5,2.57
OK.GC02.EHZ.--,0.275812,97.7599,Pg,2015-04-14 00:33:43.520,manual,0.4,2.97
GS.OK029.HHZ.00,1.24553,150.885,Pg,2015-04-14 00:34:01.260,automatic,-0.4,1.29
GS.OK031.HHZ.00,1.44162,129.993,Pn,2015-04-14 00:34:04.130,manual,-0.5,1.21
OK.QUOK.HHZ.--,1.39929,120.353,Pn,2015-04-14 00:34:03.840,manual,-0.2,1.22
GS.OK030.HHZ.00,1.49213,129.6,Pn,2015-04-14 00:34:05.430,manual,0.1,1.21
GS.OK025.HHZ.00,1.48003,151.639,Pn,2015-04-14 00:34:05.090,manual,-0.1,1.21
OK.BCOK.HHZ.--,1.31955,158.606,Pn,2015-04-14 00:34:02.120,manual,-0.8,1.23
OK.FNO.HHZ.01,1.75245,158.084,Pn,2015-04-14 00:34:09.420,manual,0.5,1.17
US.WMOK.BHZ.10,2.19801,192.564,Pn,2015-04-14 00:34:15.410,manual,0.4,1.11
OK.X34A.HHZ.--,2.30288,172.429,Pn,2015-04-14 00:34:16.300,manual,-0.2,1.1
N4.T35B.BHZ.--,1.35365,88.3568,Pn,2015-04-14 00:34:03.250,manual,-0.2,1.23
