#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us2000277z
#time = 2015-04-17 06:37:52.400000
#location = 18km ENE of Mooreland, Oklahoma
#latitude = 36.5190
#longitude = -99.0181
#depth = 8.3
#magnitude = 2.9
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us2000277z
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.833712,90.6731,Pg,2015-04-17 06:38:08.170,manual,-0.3,1.69
GS.KAN14.HHZ.01,0.953557,62.4121,Pg,2015-04-17 06:38:10.530,manual,-0.2,1.55
GS.OK032.HHZ.00,0.708935,66.122,Pg,2015-04-17 06:38:06.120,manual,0.1,1.87
GS.KAN01.HHZ.01,1.19217,57.5429,Pn,2015-04-17 06:38:14.800,manual,-0.6,1.24
GS.KAN13.HHZ.01,1.33146,67.8106,Pn,2015-04-17 06:38:17.100,manual,-0.2,1.22
OK.GC02.EHZ.--,0.988609,70.0409,Pg,2015-04-17 06:38:10.900,manual,-0.5,1.51
OK.BCOK.HHZ.--,1.42917,126.603,Pn,2015-04-17 06:38:18.710,manual,0.1,1.21
GS.OK025.HHZ.00,1.65221,124.008,Pn,2015-04-17 06:38:22.440,manual,0.8,1.18
GS.OK029.HHZ.00,1.45602,119.215,Pn,2015-04-17 06:38:19.030,manual,0.0,1.21
OK.OKCFA.HHZ.--,1.68172,130.45,Pn,2015-04-17 06:38:22.250,manual,0.2,1.17
US.WMOK.BHZ.10,1.78772,173.72,Pn,2015-04-17 06:38:24.480,manual,0.9,1.16
GS.KS20.HHZ.00,1.37146,58.4168,Pn,2015-04-17 06:38:17.930,manual,0.1,1.22
OK.OKCSW.EHZ.--,1.69639,130.453,Pn,2015-04-17 06:38:23.070,manual,0.8,1.17
OK.QUOK.HHZ.--,1.89701,99.8506,Pn,2015-04-17 06:38:26.250,manual,1.2,1.15
