#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us200028rh
#time = 2015-04-24 05:28:59.600000
#location = 18km ENE of Perry, Oklahoma
#latitude = 36.3545
#longitude = -97.1009
#depth = 5.4
#magnitude = 2.8
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us200028rh
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK030.HHZ.00,0.497197,148.826,Pg,2015-04-24 05:29:09.500,manual,0.3,2.28
OK.QUOK.HHZ.--,0.366363,119.802,Pg,2015-04-24 05:29:07.250,manual,0.6,2.64
OK.KAY1.HHZ.--,0.417135,347.628,Pg,2015-04-24 05:29:07.910,manual,0.3,2.49
GS.OK031.HHZ.00,0.453157,152.047,Pg,2015-04-24 05:29:08.780,manual,0.4,2.39
GS.OK029.HHZ.00,0.626262,207.358,Pg,2015-04-24 05:29:12.000,manual,0.4,2.01
GS.OK025.HHZ.00,0.79536,194.058,Pg,2015-04-24 05:29:15.010,manual,0.1,1.74
GS.KAN13.HHZ.01,0.723604,335.36,Pg,2015-04-24 05:29:13.450,manual,-0.1,1.85
GS.KS20.HHZ.00,0.946308,337.516,Pg,2015-04-24 05:29:17.500,manual,-0.3,1.56
OK.BCOK.HHZ.--,0.809206,210.775,Pg,2015-04-24 05:29:16.080,manual,0.9,1.73
OK.CROK.HHZ.--,0.727336,282.155,Pg,2015-04-24 05:29:12.940,manual,-0.6,1.84
GS.KAN01.HHZ.01,0.956626,326.657,Pg,2015-04-24 05:29:17.690,manual,-0.3,1.55
GS.KAN17.HHZ.01,0.870865,322.413,Pg,2015-04-24 05:29:16.110,manual,-0.2,1.65
OK.OKCFA.HHZ.--,0.979476,196.996,Pg,2015-04-24 05:29:18.150,manual,-0.2,1.52
OK.OKCSW.EHZ.--,0.985765,196.223,Pg,2015-04-24 05:29:18.260,manual,-0.3,1.52
GS.KAN08.HHZ.01,1.11604,321.521,Pg,2015-04-24 05:29:20.590,manual,-0.4,1.39
GS.OK032.HHZ.00,0.999333,296.991,Pg,2015-04-24 05:29:18.320,manual,-0.5,1.5
GS.KAN16.HHZ.01,1.16382,318.622,Pg,2015-04-24 05:29:21.460,manual,-0.5,1.35
OK.GC02.EHZ.--,0.786621,309.318,Pg,2015-04-24 05:29:14.490,manual,-0.2,1.76
GS.KAN14.HHZ.01,0.917576,311.185,Pg,2015-04-24 05:29:17.240,manual,0.0,1.59
GS.KAN12.HHZ.01,1.18481,322.857,Pg,2015-04-24 05:29:21.820,manual,-0.5,1.33
GS.KAN11.HHZ.01,1.0713,322.738,Pg,2015-04-24 05:29:19.830,manual,-0.3,1.43
OK.FNO.HHZ.01,1.12164,192.658,Pg,2015-04-24 05:29:21.250,manual,0.1,1.39
US.WMOK.BHZ.10,2.11615,220.83,Pn,2015-04-24 05:29:36.270,manual,0.6,1.12
N4.T35B.BHZ.--,0.733979,40.0258,Pg,2015-04-24 05:29:13.870,manual,0.2,1.83
OK.U32A.BHZ.--,1.53414,271.495,Pn,2015-04-24 05:29:27.670,manual,0.0,1.2
GS.KAN09.HHZ.01,0.883886,332.108,Pg,2015-04-24 05:29:16.360,manual,-0.2,1.63
GS.KAN05.HHZ.01,0.974939,320.763,Pg,2015-04-24 05:29:17.970,manual,-0.3,1.53
GS.KAN10.HHZ.01,1.10764,314.158,Pg,2015-04-24 05:29:20.350,manual,-0.5,1.4
OK.QUOK.HHN.--,0.366363,119.802,Sg,2015-04-24 05:29:12.260,manual,0.8,1.24
GS.OK031.HH2.00,0.453157,152.047,Sg,2015-04-24 05:29:14.720,manual,0.5,1.2
