#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us200029n2
#time = 2015-04-25 23:13:04.300000
#location = 13km NNW of Perry, Oklahoma
#latitude = 36.4033
#longitude = -97.3326
#depth = 7.5
#magnitude = 3.4
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us200029n2
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.KAY1.HHZ.--,0.371554,15.084,Pg,2015-04-25 23:13:11.780,manual,0.2,2.63
GS.OK030.HHZ.00,0.649913,136.735,Pg,2015-04-25 23:13:16.900,manual,0.1,1.97
GS.OK029.HHZ.00,0.613492,189.327,Pg,2015-04-25 23:13:16.050,manual,-0.1,2.04
OK.QUOK.HHZ.--,0.555183,114.451,Pg,2015-04-25 23:13:15.160,manual,0.1,2.15
OK.CROK.HHZ.--,0.534363,281.11,Pg,2015-04-25 23:13:14.610,manual,0.0,2.2
GS.KAN14.HHZ.01,0.749656,317.656,Pg,2015-04-25 23:13:18.480,manual,-0.2,1.81
GS.KAN09.HHZ.01,0.766524,342.671,Pg,2015-04-25 23:13:18.850,manual,-0.2,1.79
GS.KAN01.HHZ.01,0.823218,335.554,Pg,2015-04-25 23:13:19.840,manual,-0.3,1.71
GS.OK025.HHZ.00,0.820489,180.301,Pg,2015-04-25 23:13:19.870,manual,-0.2,1.71
GS.OK031.HHZ.00,0.601056,138.227,Pg,2015-04-25 23:13:15.950,manual,0.1,2.06
OK.GC02.EHZ.--,0.616294,316.695,Pg,2015-04-25 23:13:16.090,manual,-0.1,2.03
OK.OKCSW.EHZ.--,0.999362,184.943,Pg,2015-04-25 23:13:23.020,manual,-0.5,1.5
GS.KAN11.HHZ.01,0.926863,329.985,Pg,2015-04-25 23:13:21.810,manual,-0.3,1.58
GS.KAN16.HHZ.01,1.00933,324.622,Pg,2015-04-25 23:13:23.220,manual,-0.5,1.49
