#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us200029p6
#time = 2015-04-26 21:41:23.800000
#location = 2km S of Perry, Oklahoma
#latitude = 36.2682
#longitude = -97.2915
#depth = 5.8
#magnitude = 2.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us200029p6
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK031.HHZ.00,0.482778,130.509,Pg,2015-04-26 21:41:33.440,manual,0.3,2.32
OK.QUOK.HHZ.--,0.481626,101.398,Pg,2015-04-26 21:41:33.470,manual,0.4,2.32
GS.OK030.HHZ.00,0.533347,129.412,Pg,2015-04-26 21:41:34.370,manual,0.3,2.2
GS.OK025.HHZ.00,0.686683,183.158,Pg,2015-04-26 21:41:37.060,manual,0.1,1.91
OK.CROK.HHZ.--,0.606155,293.121,Pg,2015-04-26 21:41:35.440,manual,0.0,2.05
OK.BCOK.HHZ.--,0.662445,202.998,Pg,2015-04-26 21:41:36.530,manual,0.0,1.95
OK.KAY1.HHN.--,0.497638,7.35208,Sg,2015-04-26 21:41:40.690,manual,0.8,1.18
OK.OKCSW.EHZ.--,0.869056,187.916,Pg,2015-04-26 21:41:40.290,manual,-0.2,1.65
OK.GC02.EHZ.--,0.740347,322.012,Pg,2015-04-26 21:41:37.980,manual,0.0,1.82
OK.OKCFA.HHZ.--,0.860945,188.726,Pg,2015-04-26 21:41:40.060,manual,-0.3,1.66
OK.FNO.HHZ.01,1.01257,185.087,Pg,2015-04-26 21:41:43.090,manual,-0.1,1.49
US.WMOK.BHZ.10,1.95132,218.946,Pn,2015-04-26 21:41:57.460,manual,-0.1,1.14
AG.HHAR.HHZ.00,2.70816,88.717,Pn,2015-04-26 21:42:08.190,manual,0.3,1.05
NM.MGMO.BHZ.--,4.13135,76.151,Pn,2015-04-26 21:42:26.870,manual,-0.6,0.92
N4.T35B.BHZ.--,0.901058,43.9001,Pg,2015-04-26 21:41:41.020,manual,-0.1,1.61
N4.U38B.BHZ.--,2.35188,84.9737,Pn,2015-04-26 21:42:02.980,manual,0.0,1.09
OK.X37A.BHZ.--,2.2946,136.331,Pn,2015-04-26 21:42:02.590,manual,0.4,1.1
OK.U32A.BHZ.--,1.38532,275.105,Pn,2015-04-26 21:41:48.880,manual,-0.9,1.22
TA.U40A.BHZ.--,3.58531,87.2811,Pn,2015-04-26 21:42:20.240,manual,0.3,0.97
N4.R32B.BHZ.--,2.4298,332.679,Pn,2015-04-26 21:42:04.280,manual,0.2,1.09
TA.W39A.BHZ.--,3.04746,109.521,Pn,2015-04-26 21:42:12.530,manual,0.0,1.02
OK.QUOK.HHN.--,0.481626,101.398,Sg,2015-04-26 21:41:40.130,manual,0.8,1.18
GS.OK031.HH1.00,0.482778,130.509,Sg,2015-04-26 21:41:40.170,manual,0.8,1.18
GS.OK029.HHZ.00,0.488899,195.767,Pg,2015-04-26 21:41:33.180,manual,-0.1,2.3
GS.OK029.HH2.00,0.488899,195.767,Sg,2015-04-26 21:41:40.150,manual,0.5,1.18
OK.KAY1.HHZ.--,0.497638,7.35208,Pg,2015-04-26 21:41:33.370,manual,0.0,2.28
GS.OK030.HH1.00,0.533347,129.412,Sg,2015-04-26 21:41:41.760,manual,0.7,1.16
OK.CROK.HHN.--,0.606155,293.121,Sg,2015-04-26 21:41:43.820,manual,0.5,1.13
OK.BCOK.HHE.--,0.662445,202.998,Sg,2015-04-26 21:41:45.590,manual,0.4,1.11
GS.OK025.HH2.00,0.686683,183.158,Sg,2015-04-26 21:41:46.550,manual,0.6,1.1
GS.KAN13.HHZ.01,0.758202,348.657,Pg,2015-04-26 21:41:38.300,manual,-0.1,1.8
