#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20002bep
#time = 2015-05-04 18:31:39.100000
#location = 24km WSW of Perry, Oklahoma
#latitude = 36.1872
#longitude = -97.5293
#depth = 4.2
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20002bep
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK029.HHZ.00,0.394421,171.18,Pg,2015-05-04 18:31:47.050,manual,0.3,2.56
GS.OK025.HHZ.00,0.624465,165.532,Pg,2015-05-04 18:31:51.240,manual,0.1,2.02
OK.BCOK.HHZ.--,0.533346,187.017,Pg,2015-05-04 18:31:49.560,manual,0.2,2.2
OK.QUOK.HHZ.--,0.664661,91.1169,Pg,2015-05-04 18:31:52.030,manual,0.2,1.95
GS.OK030.HHZ.00,0.657203,112.976,Pg,2015-05-04 18:31:51.980,manual,0.3,1.96
OK.KAY1.HHZ.--,0.628657,23.8949,Pg,2015-05-04 18:31:50.380,manual,-0.8,2.01
GS.KAN16.HHZ.01,1.12215,337.614,Pg,2015-05-04 18:32:00.230,manual,-0.4,1.39
OK.FNO.HHZ.01,0.933631,173.552,Pg,2015-05-04 18:31:57.070,manual,0.1,1.57
OK.X34A.HHZ.--,1.60194,188.987,Pn,2015-05-04 18:32:08.800,manual,0.6,1.19
N4.T35B.BHZ.--,1.09566,48.0895,Pg,2015-05-04 18:32:00.000,manual,-0.1,1.41
GS.OK031.HHZ.00,0.606012,112.471,Pg,2015-05-04 18:31:49.300,manual,-1.4,2.05
NQ.OK915.HNZ.01,0.655876,110.596,Pg,2015-05-04 18:31:51.890,manual,0.2,1.96
OK.OKCFA.HHZ.--,0.772848,175.277,Pg,2015-05-04 18:31:53.940,manual,0.0,1.78
OK.OKCSW.EHZ.--,0.783551,174.538,Pg,2015-05-04 18:31:54.060,manual,-0.1,1.76
GS.OK032.HHZ.00,0.824564,318.473,Pg,2015-05-04 18:31:54.080,manual,-0.8,1.71
GS.KAN09.HHZ.01,0.949755,355.705,Pg,2015-05-04 18:31:57.180,manual,-0.1,1.55
GS.KAN05.HHZ.01,0.960086,343.405,Pg,2015-05-04 18:31:57.300,manual,-0.2,1.54
GS.KAN10.HHZ.01,1.03935,334.207,Pg,2015-05-04 18:31:58.800,manual,-0.2,1.46
GS.KAN11.HHZ.01,1.06263,343.23,Pg,2015-05-04 18:31:59.270,manual,-0.2,1.44
GS.KAN08.HHZ.01,1.0965,341.248,Pg,2015-05-04 18:31:59.850,manual,-0.3,1.41
GS.KAN12.HHZ.01,1.17027,341.374,Pg,2015-05-04 18:32:01.090,manual,-0.5,1.35
OK.U32A.BHZ.--,1.20482,279.601,Pg,2015-05-04 18:32:01.480,manual,-0.7,1.32
US.WMOK.BHZ.10,1.77048,215.603,Pn,2015-05-04 18:32:11.000,manual,0.5,1.17
GS.KAN13.HHZ.01,0.825126,2.86357,Pg,2015-05-04 18:31:54.780,manual,-0.2,1.7
GS.KAN17.HHZ.01,0.875964,347.578,Pg,2015-05-04 18:31:55.390,manual,-0.5,1.64
OK.X37A.BHZ.--,2.37711,131.493,Pn,2015-05-04 18:32:19.520,manual,0.7,1.09
N4.U38B.BHZ.--,2.55136,83.4093,Pn,2015-05-04 18:32:19.540,manual,-1.7,1.07
GS.OK029.HH2.00,0.394421,171.18,Sg,2015-05-04 18:31:52.530,manual,0.7,1.22
OK.BCOK.HHN.--,0.533346,187.017,Sg,2015-05-04 18:31:57.060,manual,0.8,1.16
GS.OK031.HH1.00,0.606012,112.471,Sg,2015-05-04 18:31:59.360,manual,0.7,1.13
GS.OK025.HH2.00,0.624465,165.532,Sg,2015-05-04 18:32:00.180,manual,1.0,1.12
OK.KAY1.HHZ.--,0.628657,23.8949,Sg,2015-05-04 18:32:00.300,manual,1.0,1.12
