#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20002di5
#time = 2015-05-07 03:13:35.800000
#location = 13km ESE of Luther, Oklahoma
#latitude = 35.6120
#longitude = -97.0542
#depth = 3.3
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20002di5
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.OKCSW.EHZ.--,0.374842,236.766,Pg,2015-05-07 03:13:43.290,manual,0.3,2.62
OK.BCOK.HHZ.--,0.454377,275.795,Pg,2015-05-07 03:13:44.810,manual,0.3,2.39
GS.OK025.HHZ.00,0.233256,262.487,Pg,2015-05-07 03:13:40.690,manual,0.4,3.15
GS.OK029.HHZ.00,0.374553,299.575,Pg,2015-05-07 03:13:43.540,manual,0.5,2.62
OK.OKCFA.HHZ.--,0.378847,238.913,Pg,2015-05-07 03:13:43.310,manual,0.2,2.6
OK.FNO.HHZ.01,0.453296,218.791,Pg,2015-05-07 03:13:45.450,manual,0.9,2.39
OK.X34A.HHZ.--,1.19362,212.547,Pg,2015-05-07 03:13:58.460,manual,-0.2,1.33
AG.HHAR.HHZ.00,2.61376,74.2693,Pn,2015-05-07 03:14:19.190,manual,0.3,1.07
OK.X37A.BHZ.--,1.71618,125.997,Pn,2015-05-07 03:14:06.390,manual,-0.2,1.18
N4.U38B.BHZ.--,2.31527,68.327,Pn,2015-05-07 03:14:15.610,manual,0.8,1.1
N4.T35B.BHZ.--,1.37335,18.4503,Pn,2015-05-07 03:14:01.090,manual,-0.8,1.22
TA.U40A.BHZ.--,3.48668,76.4726,Pn,2015-05-07 03:14:31.050,manual,0.1,0.98
TA.W39A.BHZ.--,2.70341,97.8817,Pn,2015-05-07 03:14:20.730,manual,0.6,1.06
OK.CHOK.HHZ.--,0.0511172,186.505,Pg,2015-05-07 03:13:37.350,manual,0.4,4.25
