#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20002eek
#time = 2015-05-10 17:59:58
#location = 10km SSW of Caldwell, Kansas
#latitude = 36.9426
#longitude = -97.6319
#depth = 5.7
#magnitude = 2.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20002eek
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.GC02.EHZ.--,0.203927,243.589,Pg,2015-05-10 18:00:02.400,manual,0.4,3.28
GS.KAN14.HHZ.01,0.265622,273.158,Pg,2015-05-10 18:00:03.590,manual,0.4,3.01
GS.KAN01.HHZ.01,0.233695,334.243,Pg,2015-05-10 18:00:03.140,manual,0.5,3.14
GS.KAN11.HHZ.01,0.346088,319.52,Pg,2015-05-10 18:00:05.270,manual,0.5,2.71
GS.OK032.HHZ.00,0.484145,253.546,Pg,2015-05-10 18:00:07.550,manual,0.2,2.32
OK.KAY1.HHZ.--,0.381538,117.949,Pg,2015-05-10 18:00:05.630,manual,0.2,2.6
GS.KAN10.HHZ.01,0.412307,296.112,Pg,2015-05-10 18:00:06.460,manual,0.5,2.51
GS.KAN16.HHZ.01,0.446747,309.35,Pg,2015-05-10 18:00:07.100,manual,0.5,2.41
OK.CROK.HHZ.--,0.520358,212.975,Pg,2015-05-10 18:00:08.220,manual,0.2,2.23
GS.OK029.HHZ.00,1.15258,172.828,Pg,2015-05-10 18:00:19.610,manual,-0.5,1.36
OK.QUOK.HHZ.--,1.07041,135.7,Pg,2015-05-10 18:00:18.320,manual,-0.2,1.43
GS.OK025.HHZ.00,1.37935,169.993,Pn,2015-05-10 18:00:23.720,manual,-0.1,1.22
OK.OKCSW.EHZ.--,1.54194,174.103,Pn,2015-05-10 18:00:26.200,manual,0.1,1.2
OK.OKCFA.HHZ.--,1.53114,174.474,Pn,2015-05-10 18:00:25.760,manual,-0.2,1.2
OK.FNO.HHZ.01,1.69205,173.592,Pn,2015-05-10 18:00:29.160,manual,1.0,1.18
N4.T35B.BHZ.--,0.897844,91.3453,Pg,2015-05-10 18:00:14.960,manual,-0.3,1.61
N4.R32B.BHZ.--,1.70751,330.233,Pn,2015-05-10 18:00:29.190,manual,0.8,1.17
GS.KAN09.HHZ.01,0.193446,3.21968,Pg,2015-05-10 18:00:02.390,manual,0.5,3.34
OK.W35A.HHZ.--,1.88867,160.812,Pn,2015-05-10 18:00:31.360,manual,0.5,1.15
GS.KAN13.HHZ.01,0.141958,60.3302,Pg,2015-05-10 18:00:01.390,manual,0.5,3.62
GS.KAN17.HHZ.01,0.146924,313.634,Pg,2015-05-10 18:00:01.520,manual,0.5,3.59
GS.KAN05.HHZ.01,0.253908,310.808,Pg,2015-05-10 18:00:03.520,manual,0.5,3.06
NQ.KAN15.HNZ.01,0.359668,7.54156,Pg,2015-05-10 18:00:05.410,manual,0.4,2.66
GS.KAN08.HHZ.01,0.39231,316.391,Pg,2015-05-10 18:00:06.130,manual,0.5,2.56
GS.KAN12.HHZ.01,0.459406,320.543,Pg,2015-05-10 18:00:07.270,manual,0.4,2.38
OK.U32A.BHZ.--,1.23632,243.373,Pg,2015-05-10 18:00:21.000,manual,-0.7,1.29
OK.CHOK.HHZ.--,1.45378,161.334,Pn,2015-05-10 18:00:24.760,manual,-0.1,1.21
US.WMOK.BHZ.10,2.38977,203.329,Pn,2015-05-10 18:00:39.220,manual,1.5,1.09
TA.U40A.BHZ.--,3.88673,97.2263,Pn,2015-05-10 18:00:59.810,manual,1.5,0.94
GS.KAN13.HHN.01,0.141958,60.3302,Sg,2015-05-10 18:00:03.650,manual,0.8,1.36
GS.KAN09.HHE.01,0.193446,3.21968,Sg,2015-05-10 18:00:05.410,manual,1.0,1.33
GS.KAN01.HHE.01,0.233695,334.243,Sg,2015-05-10 18:00:06.670,manual,1.0,1.31
