#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20002kdf
#time = 2015-05-29 11:08:40.500000
#location = 2km WNW of Cushing, Oklahoma
#latitude = 35.9901
#longitude = -96.7949
#depth = 4.9
#magnitude = 2.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20002kdf
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.QUOK.HHZ.--,0.194133,21.2346,Pg,2015-05-29 11:08:44.730,manual,0.4,3.33
GS.OK025.HHZ.00,0.601233,227.408,Pg,2015-05-29 11:08:52.090,manual,0.0,2.06
GS.OK029.HHZ.00,0.569629,250.379,Pg,2015-05-29 11:08:51.670,manual,0.2,2.12
OK.CHOK.HHZ.--,0.479773,206.92,Pg,2015-05-29 11:08:50.090,manual,0.4,2.33
GS.OK031.HHZ.00,0.0514707,224.173,Pg,2015-05-29 11:08:42.110,manual,0.3,4.25
OK.CROK.HHZ.--,1.08937,298.477,Pg,2015-05-29 11:09:01.100,manual,-0.3,1.42
OK.GC02.EHZ.--,1.2151,315.346,Pg,2015-05-29 11:09:03.330,manual,-0.5,1.31
GS.KAN10.HHZ.01,1.54124,317.602,Pn,2015-05-29 11:09:08.390,manual,-0.2,1.2
US.WMOK.BHZ.10,2.04815,232.989,Pn,2015-05-29 11:09:16.950,manual,1.4,1.13
OK.LOOK.HHZ.--,2.01799,189.125,Pn,2015-05-29 11:09:16.880,manual,1.7,1.14
N4.T35B.BHZ.--,0.951997,13.783,Pg,2015-05-29 11:08:58.540,manual,-0.2,1.55
NQ.OK915.HNE.01,0.0406673,153.581,Sg,2015-05-29 11:08:42.930,manual,0.4,1.42
NQ.OK915.HNZ.01,0.0406673,153.581,Pg,2015-05-29 11:08:41.980,manual,0.3,4.34
GS.OK031.HH2.00,0.0514707,224.173,Sg,2015-05-29 11:08:43.120,manual,0.4,1.41
