#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20002lja
#time = 2015-06-03 05:28:28
#location = 13km NW of Chandler, Oklahoma
#latitude = 35.7866
#longitude = -96.9874
#depth = 6.1
#magnitude = 3.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20002lja
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK031.HHZ.00,0.205211,35.896,Pg,2015-06-03 05:28:32.550,manual,0.5,3.28
OK.CHOK.HHZ.--,0.232917,194.994,Pg,2015-06-03 05:28:33.130,manual,0.5,3.15
GS.OK029.HHZ.00,0.380217,271.641,Pg,2015-06-03 05:28:35.710,manual,0.3,2.6
OK.OKCSW.EHZ.--,0.528645,224.133,Pg,2015-06-03 05:28:38.270,manual,0.1,2.21
OK.BCOK.HHZ.--,0.522387,255.815,Pg,2015-06-03 05:28:38.300,manual,0.2,2.23
OK.OKCFA.HHZ.--,0.529383,225.72,Pg,2015-06-03 05:28:38.310,manual,0.1,2.21
GS.OK030.HHZ.00,0.217272,49.5117,Pg,2015-06-03 05:28:32.820,manual,0.5,3.22
OK.FNO.HHZ.01,0.626705,212.71,Pg,2015-06-03 05:28:40.050,manual,0.0,2.01
GS.OK025.HHZ.00,0.351379,234.4,Pg,2015-06-03 05:28:35.260,manual,0.4,2.69
OK.QUOK.HHZ.--,0.445876,30.4655,Pg,2015-06-03 05:28:36.960,manual,0.3,2.41
OK.CROK.HHZ.--,1.07862,311.928,Pg,2015-06-03 05:28:48.370,manual,-0.3,1.43
GS.KAN13.HHZ.01,1.2862,342.23,Pn,2015-06-03 05:28:52.040,manual,-0.4,1.23
OK.GC02.EHZ.--,1.27499,326.72,Pn,2015-06-03 05:28:51.700,manual,-0.6,1.23
GS.OK032.HHZ.00,1.41655,316.136,Pn,2015-06-03 05:28:54.020,manual,-0.2,1.21
