#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20002mx0
#time = 2015-06-08 13:20:16
#location = 21km NW of Fairview, Oklahoma
#latitude = 36.3916
#longitude = -98.6607
#depth = 4.0
#magnitude = 3.9
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20002mx0
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.QUOK.HHZ.--,1.593,97.3506,Pn,2015-06-08 13:20:44.780,manual,-0.1,1.19
OK.X34A.HHZ.--,1.91014,159.042,Pn,2015-06-08 13:20:50.300,manual,1.0,1.15
US.CBKS.BHZ.00,2.56489,340.852,Pn,2015-06-08 13:20:58.310,manual,0.0,1.07
OK.LOV1.HHZ.--,2.60114,153.043,Pn,2015-06-08 13:20:59.370,manual,0.6,1.07
OK.LOOK.HHZ.--,2.68333,152.702,Pn,2015-06-08 13:20:59.890,manual,0.0,1.06
US.KSU1.BHZ.10,3.15564,30.3917,Pn,2015-06-08 13:21:06.240,manual,-0.1,1.01
AG.HHAR.HHZ.00,3.81288,90.2437,Pn,2015-06-08 13:21:13.670,manual,-1.7,0.95
N4.U38B.BHZ.--,3.4484,87.9385,Pn,2015-06-08 13:21:10.680,manual,0.3,0.98
N4.T35B.BHZ.--,1.80553,72.5039,Pn,2015-06-08 13:20:48.390,manual,0.6,1.16
N4.R32B.BHZ.--,2.02768,358.881,Pn,2015-06-08 13:20:51.610,manual,0.7,1.14
NM.MGMO.BHZ.--,5.18744,79.6608,Pn,2015-06-08 13:21:34.340,manual,0.1,0.84
US.OGNE.BHZ.00,5.25643,330.901,Pn,2015-06-08 13:21:35.260,manual,0.0,0.84
TA.U40A.BHZ.--,4.68619,88.7074,Pn,2015-06-08 13:21:27.090,manual,-0.3,0.88
AG.FCAR.HHZ.00,5.31373,93.4695,Pn,2015-06-08 13:21:35.790,manual,-0.1,0.83
