#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20002p1a
#time = 2015-06-08 06:18:32
#location = 11km SW of Perry, Oklahoma
#latitude = 36.2097
#longitude = -97.3730
#depth = 5.0
#magnitude = 2.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20002p1a
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK031.HHZ.00,0.50261,120.472,Pg,2015-06-08 06:18:41.970,manual,0.3,2.27
GS.OK029.HHZ.00,0.417551,189.176,Pg,2015-06-08 06:18:40.430,manual,0.4,2.49
OK.QUOK.HHZ.--,0.539302,93.8681,Pg,2015-06-08 06:18:42.620,manual,0.2,2.19
OK.BCOK.HHZ.--,0.584207,199.233,Pg,2015-06-08 06:18:43.530,manual,0.3,2.1
OK.BLOK.HHZ.--,0.564359,12.9931,Pg,2015-06-08 06:18:43.010,manual,0.2,2.14
OK.CROK.HHZ.--,0.573983,301.039,Pg,2015-06-08 06:18:43.290,manual,0.3,2.12
GS.OK030.HHZ.00,0.554088,120.338,Pg,2015-06-08 06:18:42.860,manual,0.2,2.16
OK.OKCSW.EHZ.--,0.804222,183.786,Pg,2015-06-08 06:18:47.510,manual,0.1,1.73
GS.OK025.HHZ.00,0.627918,177.388,Pg,2015-06-08 06:18:44.390,manual,0.3,2.01
OK.OKCFA.HHZ.--,0.795264,184.619,Pg,2015-06-08 06:18:47.350,manual,0.1,1.75
OK.GC02.EHZ.--,0.750921,328.683,Pg,2015-06-08 06:18:46.450,manual,0.0,1.81
OK.CHOK.HHZ.--,0.69496,158.549,Pg,2015-06-08 06:18:45.540,manual,0.2,1.9
GS.KAN13.HHZ.01,0.80605,354.027,Pg,2015-06-08 06:18:47.460,manual,0.0,1.73
GS.KAN10.HHZ.01,1.08114,327.734,Pg,2015-06-08 06:18:52.430,manual,-0.3,1.42
GS.KAN09.HHZ.01,0.945396,348.033,Pg,2015-06-08 06:18:49.930,manual,-0.2,1.56
OK.FNO.HHZ.01,0.950528,181.391,Pg,2015-06-08 06:18:50.040,manual,-0.2,1.55
US.WMOK.BHZ.10,1.86457,218.45,Pn,2015-06-08 06:19:05.520,manual,1.0,1.15
OK.LOV1.HHZ.--,2.14822,177.071,Pn,2015-06-08 06:19:09.840,manual,1.4,1.12
OK.LOOK.HHZ.--,2.21787,175.853,Pn,2015-06-08 06:19:08.330,manual,-1.0,1.11
AG.HHAR.HHZ.00,2.77594,87.496,Pn,2015-06-08 06:19:17.280,manual,0.2,1.05
N4.T35B.BHZ.--,0.988835,44.2596,Pg,2015-06-08 06:18:50.720,manual,-0.2,1.51
N4.U38B.BHZ.--,2.42322,83.6883,Pn,2015-06-08 06:19:14.710,manual,2.5,1.09
OK.W35A.HHZ.--,1.1301,158.808,Pg,2015-06-08 06:18:53.020,manual,-0.7,1.38
OK.X34A.HHZ.--,1.64844,193.299,Pn,2015-06-08 06:19:02.280,manual,0.7,1.18
GS.OK012.HNZ.01,0.802509,151.308,Pg,2015-06-08 06:18:47.590,manual,0.2,1.74
GS.OK032.HHZ.00,0.89819,311.558,Pg,2015-06-08 06:18:49.120,manual,-0.1,1.61
GS.KAN08.HHZ.01,1.12297,334.85,Pg,2015-06-08 06:18:53.170,manual,-0.4,1.39
GS.KAN16.HHZ.01,1.15626,331.477,Pg,2015-06-08 06:18:54.080,manual,-0.1,1.36
OK.U32A.BHZ.--,1.3264,277.821,Pn,2015-06-08 06:18:56.750,manual,-0.4,1.23
