#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20002pbp
#time = 2015-06-11 23:31:37.900000
#location = 20km W of Perry, Oklahoma
#latitude = 36.2829
#longitude = -97.5185
#depth = 5.7
#magnitude = 3.7
#magtype = mwr
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20002pbp
#us_Mwr_mrr = -67140000000000
#us_Mwr_mtt = 404410000000000
#us_Mwr_mpp = -337270000000000
#us_Mwr_mrt = -216250000000000
#us_Mwr_mrp = 56120000000000
#us_Mwr_mtp = 95500000000000
#us_Mwr_np1_strike = 306.8
#us_Mwr_np1_dip = 88.27
#us_Mwr_np1_rake = 27.79
#us_Mwr_np2_strike = 215.89
#us_Mwr_np2_dip = 62.22
#us_Mwr_np2_rake = 178.04
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK031.HHZ.00,0.641034,120.692,Pg,2015-06-11 23:31:50.370,manual,0.1,1.99
GS.KAN14.HHZ.01,0.761736,332.133,Pg,2015-06-11 23:31:52.430,manual,-0.1,1.79
GS.KAN13.HHZ.01,0.729311,2.56039,Pg,2015-06-11 23:31:51.960,manual,0.0,1.84
GS.OK030.HHZ.00,0.692505,120.561,Pg,2015-06-11 23:31:51.280,manual,0.1,1.9
GS.KS20.HHZ.00,0.945411,358.268,Pg,2015-06-11 23:31:55.810,manual,-0.2,1.56
OK.OKCFA.HHZ.--,0.867472,176.377,Pg,2015-06-11 23:31:54.340,manual,-0.2,1.65
GS.KAN09.HHZ.01,0.855316,354.65,Pg,2015-06-11 23:31:54.200,manual,-0.1,1.67
GS.KAN10.HHZ.01,0.958432,331.259,Pg,2015-06-11 23:31:56.000,manual,-0.3,1.55
GS.KAN08.HHZ.01,1.00962,339.043,Pg,2015-06-11 23:31:56.990,manual,-0.3,1.49
N4.Q52A.BHZ.--,12.3861,72.9447,Pn,2015-06-11 23:34:34.320,manual,-0.1,0.69
OK.CROK.HHZ.--,0.435546,300.683,Pg,2015-06-11 23:31:46.600,manual,0.3,2.44
GS.OK029.HHZ.00,0.488017,173.918,Pg,2015-06-11 23:31:47.560,manual,0.3,2.31
OK.BLOK.HHZ.--,0.535786,27.0589,Pg,2015-06-11 23:31:48.490,manual,0.3,2.2
OK.GC02.EHZ.--,0.630429,334.279,Pg,2015-06-11 23:31:50.040,manual,0.0,2.01
OK.BCOK.HHZ.--,0.629212,186.749,Pg,2015-06-11 23:31:50.070,manual,0.1,2.01
OK.QUOK.HHZ.--,0.664722,99.3972,Pg,2015-06-11 23:31:50.760,manual,0.1,1.95
GS.OK005.HNZ.01,0.680637,156.937,Pg,2015-06-11 23:31:51.120,manual,0.1,1.92
NQ.OK915.HNZ.01,0.687557,118.331,Pg,2015-06-11 23:31:51.220,manual,0.1,1.91
