#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20002q56
#time = 2015-06-16 02:20:36.900000
#location = 13km ESE of Pawnee, Oklahoma
#latitude = 36.3028
#longitude = -96.6614
#depth = 4.7
#magnitude = 3.2
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20002q56
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.QUOK.HHZ.--,0.136438,196.043,Pg,2015-06-16 02:20:40.150,manual,0.5,3.65
GS.OK030.HHZ.00,0.387125,194.869,Pg,2015-06-16 02:20:44.730,manual,0.4,2.58
OK.BLOK.HHZ.--,0.638409,315.863,Pg,2015-06-16 02:20:49.320,manual,0.2,1.99
OK.OKCSW.EHZ.--,1.09532,215.396,Pg,2015-06-16 02:20:57.080,manual,-0.8,1.41
OK.BCOK.HHZ.--,1.00339,230.296,Pg,2015-06-16 02:20:56.440,manual,0.3,1.5
GS.KAN14.HHZ.01,1.2338,302.327,Pg,2015-06-16 02:21:00.080,manual,-0.5,1.3
GS.KAN05.HHZ.01,1.26242,309.933,Pg,2015-06-16 02:21:00.760,manual,-0.3,1.27
OK.FNO.HHZ.01,1.20417,210.187,Pg,2015-06-16 02:20:58.980,manual,-1.0,1.32
GS.KAN16.HHZ.01,1.45536,309.678,Pn,2015-06-16 02:21:04.020,manual,0.2,1.21
GS.KAN10.HHZ.01,1.41354,305.84,Pn,2015-06-16 02:21:03.080,manual,-0.2,1.22
OK.GC02.EHZ.--,1.10911,299.943,Pg,2015-06-16 02:20:57.800,manual,-0.4,1.4
OK.X34A.HHZ.--,1.94871,209.727,Pn,2015-06-16 02:21:10.750,manual,0.1,1.14
AG.HHAR.HHZ.00,2.19864,89.7353,Pn,2015-06-16 02:21:15.100,manual,1.0,1.11
OK.LOOK.HHZ.--,2.34396,190.596,Pn,2015-06-16 02:21:16.940,manual,0.9,1.1
US.KSU1.BHZ.10,2.79361,0.830165,Pn,2015-06-16 02:21:23.220,manual,1.0,1.05
OK.X37A.BHZ.--,2.00818,147.988,Pn,2015-06-16 02:21:12.470,manual,1.1,1.14
US.MIAR.BHZ.00,3.06934,123.935,Pn,2015-06-16 02:21:26.390,manual,0.4,1.02
NM.MGMO.BHZ.--,3.62952,75.1573,Pn,2015-06-16 02:21:34.730,manual,1.0,0.96
US.CBKS.BHZ.00,3.50094,316.65,Pn,2015-06-16 02:21:32.900,manual,0.9,0.98
N4.U38B.BHZ.--,1.8417,85.0808,Pn,2015-06-16 02:21:10.090,manual,0.9,1.16
AG.FCAR.HHZ.00,3.69753,95.0557,Pn,2015-06-16 02:21:35.850,manual,1.3,0.96
AG.WHAR.HHZ.00,3.69506,104.585,Pn,2015-06-16 02:21:35.550,manual,1.0,0.96
AG.WLAR.HHZ.00,3.9106,130.806,Pn,2015-06-16 02:21:38.780,manual,1.3,0.94
N4.S39B.BHZ.--,3.01051,61.6036,Pn,2015-06-16 02:21:26.330,manual,1.1,1.02
AG.LCAR.HHZ.00,4.46085,91.356,Pn,2015-06-16 02:21:46.620,manual,1.6,0.89
TA.U40A.BHZ.--,3.07521,87.8774,Pn,2015-06-16 02:21:26.760,manual,0.7,1.02
N4.P38B.BHZ.--,4.13661,35.7624,Pn,2015-06-16 02:21:41.370,manual,0.7,0.92
N4.R32B.BHZ.--,2.67269,322.955,Pn,2015-06-16 02:21:21.270,manual,0.7,1.06
N4.R40B.BHZ.--,4.02561,59.151,Pn,2015-06-16 02:21:39.730,manual,0.6,0.93
TA.W39A.BHZ.--,2.5879,114.415,Pn,2015-06-16 02:21:21.110,manual,1.7,1.07
N4.Z35B.BHZ.--,3.00457,189.493,Pn,2015-06-16 02:21:25.320,manual,0.2,1.02
TA.X40A.BHZ.--,3.61322,118.966,Pn,2015-06-16 02:21:34.370,manual,0.9,0.97
N4.N35B.BHZ.--,4.62094,9.63699,Pn,2015-06-16 02:21:48.800,manual,1.5,0.88
TA.ABTX.BHZ.--,4.41966,214.727,Pn,2015-06-16 02:21:45.160,manual,0.6,0.9
OK.QUOK.HHE.--,0.136438,196.043,Sg,2015-06-16 02:20:42.220,manual,0.7,1.36
GS.OK031.HHZ.00,0.37747,202.456,Pg,2015-06-16 02:20:44.550,manual,0.4,2.61
GS.OK031.HH1.00,0.37747,202.456,Sg,2015-06-16 02:20:49.800,manual,0.7,1.23
GS.OK030.HH2.00,0.387125,194.869,Sg,2015-06-16 02:20:49.900,manual,0.5,1.23
OK.BLOK.HHE.--,0.638409,315.863,Sg,2015-06-16 02:20:57.600,manual,0.1,1.12
N4.T35B.BHZ.--,0.623904,11.0718,Pg,2015-06-16 02:20:49.090,manual,0.2,2.02
N4.T35B.BHE.--,0.623904,11.0718,Sg,2015-06-16 02:20:56.830,manual,-0.2,1.12
GS.OK029.HHZ.00,0.817718,232.082,Pg,2015-06-16 02:20:52.590,manual,0.0,1.71
GS.OK029.HH2.00,0.817718,232.082,Sg,2015-06-16 02:21:03.660,manual,0.5,1.05
OK.CHOK.HHZ.--,0.808165,203.795,Pg,2015-06-16 02:20:52.230,manual,-0.2,1.73
OK.CHOK.HHE.--,0.808165,203.795,Sg,2015-06-16 02:21:03.340,manual,0.4,1.06
GS.OK025.HHZ.00,0.905543,217.516,Pg,2015-06-16 02:20:53.930,manual,-0.3,1.6
GS.OK025.HH1.00,0.905543,217.516,Sg,2015-06-16 02:21:06.570,manual,0.5,1.02
OK.CROK.HHZ.--,1.08538,281.091,Pg,2015-06-16 02:20:57.400,manual,-0.3,1.42
OK.OKCFA.HHZ.--,1.09367,216.16,Pg,2015-06-16 02:20:57.120,manual,-0.8,1.41
GS.KAN09.HHZ.01,1.13262,317.533,Pg,2015-06-16 02:20:58.450,manual,-0.2,1.38
GS.KAN17.HHZ.01,1.15512,310.157,Pg,2015-06-16 02:20:58.730,manual,-0.3,1.36
GS.KS20.HHZ.00,1.17043,322.489,Pg,2015-06-16 02:20:59.250,manual,-0.1,1.35
OK.CCOK.HHZ.--,1.24275,220.865,Pg,2015-06-16 02:20:59.940,manual,-0.8,1.29
GS.OK032.HHZ.00,1.34374,292.305,Pn,2015-06-16 02:21:00.550,manual,-1.8,1.23
GS.KAN08.HHZ.01,1.39857,311.638,Pn,2015-06-16 02:21:03.240,manual,0.2,1.22
US.WMOK.BHZ.10,2.32946,228.532,Pn,2015-06-16 02:21:17.130,manual,1.3,1.1
N4.237B.BHZ.--,4.34842,170.396,Pn,2015-06-16 02:21:44.150,manual,0.6,0.9
AG.CCAR.HHZ.00,4.66113,119.278,Pn,2015-06-16 02:21:48.830,manual,1.0,0.88
TA.KSCO.BHZ.--,5.45072,301.527,Pn,2015-06-16 02:21:59.480,manual,0.7,0.82
TA.WHTX.BHZ.--,4.35088,188.938,Pn,2015-06-16 02:21:44.390,manual,0.8,0.9
OK.U32A.BHZ.--,1.89082,273.013,Pn,2015-06-16 02:21:09.820,manual,0.0,1.15
IU.CCM.BHZ.10,4.66583,66.3584,Pn,2015-06-16 02:21:48.790,manual,0.9,0.88
GS.OK005.HNZ.01,0.776274,213.761,Pg,2015-06-16 02:20:51.950,manual,0.2,1.77
GS.OK011.HNZ.01,0.81611,181.398,Pg,2015-06-16 02:20:52.660,manual,0.1,1.72
N4.Z38B.BHZ.--,3.33438,155.076,Pn,2015-06-16 02:21:30.750,manual,1.1,0.99
TA.BGNE.BHZ.--,5.2287,347.618,Pn,2015-06-16 02:21:55.830,manual,0.2,0.84
