#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20002w2g
#time = 2015-07-07 22:10:40.600000
#location = 14km ESE of Medford, Oklahoma
#latitude = 36.7495
#longitude = -97.5850
#depth = 6.3
#magnitude = 2.9
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20002w2g
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.BLOK.HHZ.--,0.297364,87.754,Pg,2015-07-07 22:10:46.670,manual,0.3,2.88
GS.KS20.HHZ.00,0.479928,2.92667,Pg,2015-07-07 22:10:50.080,manual,0.2,2.33
GS.KAN09.HHZ.01,0.386794,356.055,Pg,2015-07-07 22:10:48.430,manual,0.3,2.58
OK.CROK.HHZ.--,0.402998,232.799,Pg,2015-07-07 22:10:48.550,manual,0.1,2.53
GS.OK032.HHZ.00,0.505051,276.347,Pg,2015-07-07 22:10:50.400,manual,0.1,2.27
GS.OK029.HHZ.00,0.956756,173.653,Pg,2015-07-07 22:10:58.660,manual,-0.3,1.55
OK.QUOK.HHZ.--,0.912535,128.955,Pg,2015-07-07 22:10:57.880,manual,-0.2,1.6
GS.OK025.HHZ.00,1.18302,170.196,Pg,2015-07-07 22:11:02.570,manual,-0.7,1.33
OK.BCOK.HHZ.--,1.09074,181.04,Pg,2015-07-07 22:11:01.050,manual,-0.5,1.41
OK.OKCSW.EHZ.--,1.34649,174.883,Pn,2015-07-07 22:11:05.600,manual,-0.3,1.22
OK.CHOK.HHZ.--,1.2594,160.18,Pn,2015-07-07 22:11:04.200,manual,-0.5,1.24
OK.FNO.HHZ.01,1.49642,174.23,Pn,2015-07-07 22:11:08.130,manual,0.2,1.2
OK.OKCFA.HHZ.--,1.33582,175.314,Pn,2015-07-07 22:11:05.540,manual,-0.2,1.23
N4.T35B.BHZ.--,0.876885,78.741,Pg,2015-07-07 22:10:57.310,manual,-0.1,1.64
OK.X34A.HHZ.--,2.1533,185.444,Pn,2015-07-07 22:11:18.650,manual,1.7,1.12
AG.HHAR.HHZ.00,2.97305,97.9407,Pn,2015-07-07 22:11:29.090,manual,0.9,1.03
US.MIAR.BHZ.00,3.93586,122.785,Pn,2015-07-07 22:11:41.780,manual,0.4,0.94
N4.S39B.BHZ.--,3.52953,73.2787,Pn,2015-07-07 22:11:36.560,manual,0.8,0.97
N4.U38B.BHZ.--,2.59316,95.8987,Pn,2015-07-07 22:11:21.970,manual,-1.0,1.07
