#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20002we1
#time = 2015-07-02 20:43:28.400000
#location = 25km ENE of Mooreland, Oklahoma
#latitude = 36.5228
#longitude = -98.9370
#depth = 0.1
#magnitude = 2.8
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20002we1
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.768446,91.0633,Pg,2015-07-02 20:43:42.800,manual,-0.3,2.11
GS.OK032.HHZ.00,0.648058,64.1408,Pg,2015-07-02 20:43:41.770,manual,1.0,2.52
GS.KAN12.HHZ.01,1.07895,43.9481,Pg,2015-07-02 20:43:48.380,manual,-0.6,1.48
OK.BCOK.HHZ.--,1.37965,128.397,Pn,2015-07-02 20:43:52.870,manual,-1.9,1.23
OK.GORE.HHZ.--,0.838136,71.4685,Sg,2015-07-02 20:43:56.850,manual,1.5,1.14
US.WMOK.BHZ.10,1.78556,175.865,Pn,2015-07-02 20:44:00.270,manual,-0.1,1.17
GS.OK029.HHZ.00,1.40131,120.703,Pn,2015-07-02 20:43:54.760,manual,-0.3,1.22
GS.OK031.HHZ.00,1.78876,107.91,Pn,2015-07-02 20:44:00.220,manual,-0.1,1.17
GS.OK025.HHZ.00,1.60068,125.477,Pn,2015-07-02 20:43:57.960,manual,0.2,1.2
OK.CHOK.HHZ.--,1.7977,121.71,Pn,2015-07-02 20:44:01.120,manual,0.6,1.17
OK.U32A.BHZ.--,0.15215,199.975,Pg,2015-07-02 20:43:32.320,manual,1.0,3.56
GS.KS20.HHZ.00,1.31417,57.1153,Pg,2015-07-02 20:43:54.080,manual,0.6,1.45
US.AMTX.BHZ.00,2.76785,234.588,Pn,2015-07-02 20:44:12.960,manual,-0.9,1.05
N4.R32B.BHZ.--,1.90485,5.34556,Pn,2015-07-02 20:44:02.000,manual,0.0,1.15
N4.T35B.BHZ.--,1.98765,77.8838,Pn,2015-07-02 20:44:04.100,manual,1.0,1.14
AG.HHAR.HHZ.00,4.03811,91.9259,Pg,2015-07-02 20:44:40.800,manual,0.6,0.51
N4.U38B.BHZ.--,3.66875,89.9457,Pg,2015-07-02 20:44:35.500,manual,1.6,0.54
TA.T25A.BHZ.--,4.434,279.605,Pn,2015-07-02 20:44:34.650,manual,-2.2,0.9
GS.KAN05.HHZ.01,1.0353,55.2976,Pg,2015-07-02 20:43:47.640,manual,-0.5,1.49
GS.KAN13.HHZ.01,1.26971,66.9052,Pg,2015-07-02 20:43:52.540,manual,-0.1,1.45
OK.X34A.HHZ.--,2.11843,154.524,Pn,2015-07-02 20:44:06.400,manual,1.5,1.13
US.CBKS.BHZ.00,2.37378,344.724,Pn,2015-07-02 20:44:08.450,manual,0.0,1.1
TA.W39A.BHZ.--,4.38959,106.03,Pn,2015-07-02 20:44:34.170,manual,-1.9,0.9
IU.CCM.BHZ.10,6.32084,73.6837,Pn,2015-07-02 20:45:02.490,manual,0.0,0.83
GS.KAN09.HHZ.01,1.22235,59.5546,Pg,2015-07-02 20:43:51.090,manual,-0.7,1.46
GS.KAN10.HHN.01,0.903226,48.159,Sg,2015-07-02 20:43:59.370,manual,1.9,1.13
GS.KAN08.HNN.01,1.04581,47.5061,Sg,2015-07-02 20:44:03.710,manual,1.8,0.99
OK.GORE.HHZ.--,0.838136,71.4685,Pg,2015-07-02 20:43:44.130,manual,-0.3,2.07
