#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20002xg3
#time = 2015-07-14 16:41:38.300000
#location = 19km W of Perry, Oklahoma
#latitude = 36.2814
#longitude = -97.5099
#depth = 6.6
#magnitude = 2.9
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20002xg3
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.442292,300.396,Pg,2015-07-14 16:41:46.910,manual,0.0,2.42
OK.BLOK.HHZ.--,0.534005,26.3269,Pg,2015-07-14 16:41:48.700,manual,0.1,2.2
GS.OK029.HHZ.00,0.485837,174.719,Pg,2015-07-14 16:41:47.450,manual,-0.2,2.31
OK.GC02.EHZ.--,0.63482,333.778,Pg,2015-07-14 16:41:50.400,manual,-0.1,2.0
GS.KAN13.HHZ.01,0.730533,2.01589,Pg,2015-07-14 16:41:52.210,manual,-0.1,1.84
OK.QUOK.HHZ.--,0.657623,99.3722,Pg,2015-07-14 16:41:50.910,manual,0.0,1.96
OK.BCOK.HHZ.--,0.628579,187.399,Pg,2015-07-14 16:41:50.210,manual,-0.2,2.01
OK.CHOK.HHZ.--,0.805744,153.002,Pg,2015-07-14 16:41:53.570,manual,-0.2,1.73
GS.OK031.HHZ.00,0.634298,120.9,Pg,2015-07-14 16:41:50.390,manual,-0.1,2.0
OK.GORE.HHZ.--,0.614169,325.147,Pg,2015-07-14 16:41:49.860,manual,-0.3,2.04
GS.KAN17.HHZ.01,0.788327,345.007,Pg,2015-07-14 16:41:53.210,manual,-0.2,1.75
OK.CCOK.HHZ.--,0.930244,187.381,Pg,2015-07-14 16:41:55.710,manual,-0.5,1.58
GS.KAN10.HHZ.01,0.963102,330.944,Pg,2015-07-14 16:41:56.260,manual,-0.5,1.54
OK.OKCSW.EHZ.--,0.875986,176.155,Pg,2015-07-14 16:41:54.740,manual,-0.4,1.64
GS.KAN08.HHZ.01,1.01352,338.712,Pg,2015-07-14 16:41:57.250,manual,-0.5,1.49
GS.KAN11.HHZ.01,0.97805,340.773,Pg,2015-07-14 16:41:56.670,manual,-0.4,1.52
GS.KS20.HHZ.00,0.947145,357.856,Pg,2015-07-14 16:41:55.980,manual,-0.5,1.56
OK.OKCFA.HHZ.--,0.865564,176.835,Pg,2015-07-14 16:41:54.520,manual,-0.4,1.65
GS.OK032.HHZ.00,0.768153,312.952,Pg,2015-07-14 16:41:52.700,manual,-0.4,1.78
GS.KAN12.HHZ.01,1.08712,339.019,Pg,2015-07-14 16:41:58.800,manual,-0.4,1.42
GS.OK025.HHZ.00,0.712628,168.653,Pg,2015-07-14 16:41:51.840,manual,-0.2,1.87
OK.FNO.HHZ.01,1.02562,175.024,Pg,2015-07-14 16:41:57.410,manual,-0.6,1.48
US.WMOK.BHZ.10,1.85652,214.319,Pn,2015-07-14 16:42:10.470,manual,-0.1,1.15
N4.T35B.BHZ.--,1.02293,51.4348,Pg,2015-07-14 16:41:57.480,manual,-0.5,1.48
OK.U32A.BHZ.--,1.20836,275.089,Pg,2015-07-14 16:42:00.220,manual,-1.3,1.31
US.MIAR.BHZ.00,3.64962,117.18,Pn,2015-07-14 16:42:35.010,manual,-0.1,0.96
GS.KAN09.HHZ.01,0.857483,354.202,Pg,2015-07-14 16:41:54.460,manual,-0.3,1.66
GS.KAN05.HHZ.01,0.875471,340.675,Pg,2015-07-14 16:41:54.760,manual,-0.4,1.64
OK.LOOK.HHZ.--,2.29972,173.153,Pn,2015-07-14 16:42:16.200,manual,-0.4,1.1
OK.X37A.BHZ.--,2.429,133.409,Pn,2015-07-14 16:42:18.150,manual,-0.2,1.08
AG.HHAR.HHZ.00,2.88434,88.9316,Pn,2015-07-14 16:42:24.510,manual,-0.1,1.03
US.KSU1.BHZ.10,2.90386,13.9673,Pn,2015-07-14 16:42:24.680,manual,-0.2,1.03
AG.WHAR.HHZ.00,4.35808,101.582,Pn,2015-07-14 16:42:44.480,manual,-0.3,0.9
N4.T42B.BHZ.--,5.21333,79.8537,Pn,2015-07-14 16:42:55.620,manual,-0.9,0.84
OK.CROK.HHE.--,0.442292,300.396,Sg,2015-07-14 16:41:53.240,manual,0.6,1.2
GS.OK029.HH2.00,0.485837,174.719,Sg,2015-07-14 16:41:53.770,manual,-0.3,1.18
OK.BCOK.HHN.--,0.628579,187.399,Sg,2015-07-14 16:41:58.390,manual,-0.2,1.12
GS.OK031.HH1.00,0.634298,120.9,Sg,2015-07-14 16:41:58.740,manual,0.0,1.12
