#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20002yzr
#time = 2015-07-21 20:07:02
#location = 22km E of Waukomis, Oklahoma
#latitude = 36.2819
#longitude = -97.6473
#depth = 4.0
#magnitude = 2.8
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20002yzr
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK029.HHZ.00,0.508772,162.095,Pg,2015-07-21 20:07:12.160,manual,0.4,2.26
OK.CROK.HHZ.--,0.350688,309.449,Pg,2015-07-21 20:07:09.230,manual,0.5,2.69
OK.GORE.HHZ.--,0.557687,334.433,Pg,2015-07-21 20:07:13.030,manual,0.3,2.15
OK.BCOK.HHZ.--,0.624646,177.16,Pg,2015-07-21 20:07:14.120,manual,0.1,2.18
GS.OK032.HHZ.00,0.690611,319.124,Pg,2015-07-21 20:07:15.330,manual,0.1,1.9
GS.KAN17.HHZ.01,0.766564,352.955,Pg,2015-07-21 20:07:16.920,manual,0.2,1.79
GS.KAN13.HHZ.01,0.742204,10.533,Pg,2015-07-21 20:07:16.410,manual,0.2,1.82
OK.QUOK.HHZ.--,0.767453,97.9836,Pg,2015-07-21 20:07:16.850,manual,0.1,1.78
OK.CHOK.HHZ.--,0.862318,146.352,Pg,2015-07-21 20:07:18.540,manual,0.0,1.66
GS.KAN11.HHZ.01,0.946744,347.037,Pg,2015-07-21 20:07:20.090,manual,-0.1,1.56
GS.KAN12.HHZ.01,1.05193,344.581,Pg,2015-07-21 20:07:21.990,manual,-0.2,1.45
GS.KAN05.HHZ.01,0.844684,347.705,Pg,2015-07-21 20:07:18.220,manual,0.0,1.68
GS.OK025.HHZ.00,0.743035,160.157,Pg,2015-07-21 20:07:16.460,manual,0.2,1.82
GS.KS20.HHZ.00,0.948919,4.48675,Pg,2015-07-21 20:07:20.080,manual,-0.1,1.56
OK.GC02.EHZ.--,0.593618,343.33,Pg,2015-07-21 20:07:13.560,manual,0.2,2.08
GS.KAN08.HHZ.01,0.978139,344.688,Pg,2015-07-21 20:07:20.710,manual,0.0,1.52
