#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20002z6i
#time = 2015-07-22 10:48:27.300000
#location = 23km S of Medford, Oklahoma
#latitude = 36.6004
#longitude = -97.6848
#depth = 6.2
#magnitude = 3.2
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20002z6i
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.258713,248.424,Pg,2015-07-22 10:48:32.640,manual,0.3,3.04
GS.KAN13.HHZ.01,0.443969,21.9132,Pg,2015-07-22 10:48:36.170,manual,0.3,2.42
OK.GORE.HHZ.--,0.280381,311.321,Pg,2015-07-22 10:48:33.150,manual,0.4,2.95
GS.KAN17.HHZ.01,0.447484,351.776,Pg,2015-07-22 10:48:36.230,manual,0.3,2.41
GS.KAN05.HHZ.01,0.52906,343.542,Pg,2015-07-22 10:48:37.760,manual,0.3,2.21
GS.OK032.HHZ.00,0.468661,295.825,Pg,2015-07-22 10:48:36.480,manual,0.1,2.35
GS.KAN10.HHZ.01,0.617153,327.901,Pg,2015-07-22 10:48:39.330,manual,0.2,2.03
GS.KS20.HHZ.00,0.636758,9.41478,Pg,2015-07-22 10:48:39.630,manual,0.1,2.0
OK.QUOK.HHZ.--,0.89698,118.219,Pg,2015-07-22 10:48:44.290,manual,-0.2,1.61
GS.OK025.HHZ.00,1.05528,164.456,Pg,2015-07-22 10:48:47.110,manual,-0.4,1.45
GS.OK031.HHZ.00,0.94036,133.138,Pg,2015-07-22 10:48:45.070,manual,-0.3,1.57
OK.OKCSW.EHZ.--,1.20907,170.4,Pg,2015-07-22 10:48:49.830,manual,-0.7,1.31
OK.FNO.HHZ.01,1.35979,170.171,Pn,2015-07-22 10:48:52.310,manual,-0.4,1.22
AG.HHAR.HHZ.00,3.03616,94.8926,Pn,2015-07-22 10:49:16.900,manual,1.1,1.02
US.MIAR.BHZ.00,3.92642,120.269,Pn,2015-07-22 10:49:27.860,manual,-0.1,0.94
N4.R32B.BHZ.--,1.99356,336.146,Pn,2015-07-22 10:49:03.120,manual,1.7,1.14
N4.T35B.BHZ.--,0.993268,71.1483,Pg,2015-07-22 10:48:46.090,manual,-0.3,1.51
ZW.AZDA.EHZ.01,3.62061,178.276,Pn,2015-07-22 10:49:25.010,manual,1.3,0.96
N4.U38B.BHZ.--,2.66233,92.4772,Pn,2015-07-22 10:49:10.930,manual,0.3,1.06
TA.W39A.BHZ.--,3.46299,112.716,Pn,2015-07-22 10:49:22.120,manual,0.5,0.98
OK.GC02.EHZ.--,0.287283,330.788,Pg,2015-07-22 10:48:33.300,manual,0.4,2.92
GS.KAN08.HHZ.01,0.665845,339.942,Pg,2015-07-22 10:48:40.410,manual,0.3,1.94
GS.KAN11.HHZ.01,0.631597,343.211,Pg,2015-07-22 10:48:39.680,manual,0.2,2.01
GS.KAN12.HHZ.01,0.739553,340.262,Pg,2015-07-22 10:48:41.650,manual,0.1,1.83
OK.BCOK.HHZ.--,0.943731,176.264,Pg,2015-07-22 10:48:44.970,manual,-0.4,1.56
GS.OK029.HHZ.00,0.823422,166.88,Pg,2015-07-22 10:48:42.840,manual,-0.3,1.71
OK.CHOK.HHZ.--,1.15358,153.851,Pg,2015-07-22 10:48:48.810,manual,-0.6,1.36
OK.CCOK.HHZ.--,1.24121,178.917,Pg,2015-07-22 10:48:50.300,manual,-0.8,1.29
US.WMOK.BHZ.10,2.06154,205.969,Pn,2015-07-22 10:49:02.650,manual,0.3,1.13
OK.X34A.HHZ.--,1.99867,183.498,Pn,2015-07-22 10:49:02.500,manual,1.0,1.14
US.KSU1.BHZ.10,2.6374,18.5022,Pn,2015-07-22 10:49:11.410,manual,1.1,1.06
OK.U32A.BHZ.--,1.08366,258.654,Pg,2015-07-22 10:48:47.450,manual,-0.6,1.42
US.CBKS.BHZ.00,2.74455,324.244,Pn,2015-07-22 10:49:12.050,manual,0.3,1.05
OK.LOOK.HHZ.--,2.63468,170.836,Pn,2015-07-22 10:49:10.310,manual,0.1,1.06
US.AMTX.BHZ.00,3.67403,243.391,Pn,2015-07-22 10:49:24.340,manual,-0.2,0.96
OK.X37A.BHZ.--,2.75342,136.106,Pn,2015-07-22 10:49:12.350,manual,0.5,1.05
OK.GC02.EHN.--,0.287283,330.788,Sg,2015-07-22 10:48:37.510,manual,0.8,1.28
OK.BLOK.HHN.--,0.410123,66.9139,Sg,2015-07-22 10:48:41.400,manual,0.8,1.22
GS.KAN13.HNE.01,0.443969,21.9132,Sg,2015-07-22 10:48:42.380,manual,0.7,1.2
GS.KAN17.HNE.01,0.447484,351.776,Sg,2015-07-22 10:48:42.530,manual,0.7,1.2
GS.OK032.HH2.00,0.468661,295.825,Sg,2015-07-22 10:48:43.210,manual,0.7,1.19
GS.KAN10.HNN.01,0.617153,327.901,Sg,2015-07-22 10:48:47.840,manual,0.6,1.13
GS.KAN11.HNE.01,0.631597,343.211,Sg,2015-07-22 10:48:48.610,manual,0.9,1.12
GS.KS20.HH2.00,0.636758,9.41478,Sg,2015-07-22 10:48:48.340,manual,0.5,1.12
GS.KAN08.HHE.01,0.665845,339.942,Sg,2015-07-22 10:48:49.480,manual,0.7,1.11
GS.KAN12.HHE.01,0.739553,340.262,Sg,2015-07-22 10:48:51.710,manual,0.6,1.08
GS.OK031.HH1.00,0.94036,133.138,Sg,2015-07-22 10:48:57.520,manual,0.0,1.01
OK.BLOK.HHZ.--,0.410123,66.9139,Pg,2015-07-22 10:48:35.570,manual,0.3,2.51
TA.U40A.BHZ.--,3.90115,92.1411,Pn,2015-07-22 10:49:27.930,manual,0.3,0.94
TA.WHTX.BHZ.--,4.60163,177.577,Pn,2015-07-22 10:49:37.120,manual,-0.1,0.88
US.SDCO.BHZ.00,6.34523,282.723,Pn,2015-07-22 10:50:03.130,manual,1.7,0.83
US.JCT.BHZ.00,6.35536,196.75,Pn,2015-07-22 10:50:01.220,manual,-0.1,0.83
US.ISCO.BHZ.00,7.01224,299.497,Pn,2015-07-22 10:50:11.330,manual,0.8,0.86
US.ECSD.BHZ.10,7.17202,6.22714,Pn,2015-07-22 10:50:10.380,manual,-2.1,0.87
IW.SMCO.BHZ.00,7.78235,292.11,Pn,2015-07-22 10:50:21.080,manual,-0.1,0.9
IM.TXAR.SHZ.F0,8.81592,216.434,Pn,2015-07-22 10:50:35.250,manual,0.2,0.95
IM.TX31.BHZ.--,8.81597,216.439,Pn,2015-07-22 10:50:34.840,manual,-0.2,0.95
