#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20002zry
#time = 2015-07-24 02:47:25.500000
#location = 2km E of Luther, Oklahoma
#latitude = 35.6600
#longitude = -97.1720
#depth = 5.0
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20002zry
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CHOK.HHZ.--,0.133695,137.54,Pg,2015-07-24 02:47:28.670,manual,0.5,3.67
GS.OK031.HHZ.00,0.398448,42.6775,Pg,2015-07-24 02:47:33.520,manual,0.3,2.55
OK.OKCSW.EHZ.--,0.334004,220.587,Pg,2015-07-24 02:47:32.120,manual,0.2,2.75
OK.FNO.HHZ.01,0.443148,205.042,Pg,2015-07-24 02:47:34.210,manual,0.2,2.42
GS.OK025.HHZ.00,0.156422,239.83,Pg,2015-07-24 02:47:28.890,manual,0.3,3.53
GS.OK005.HNZ.01,0.0163689,251.892,Pg,2015-07-24 02:47:26.450,manual,0.0,4.56
OK.CCOK.HHZ.--,0.497513,232.689,Pg,2015-07-24 02:47:35.150,manual,0.1,2.28
N4.T35B.BHZ.--,1.36236,22.8507,Pn,2015-07-24 02:47:50.420,manual,-0.7,1.22
GS.OK005.HNN.01,0.0163689,251.892,Sg,2015-07-24 02:47:27.190,manual,0.0,1.43
OK.CHOK.HHN.--,0.133695,137.54,Sg,2015-07-24 02:47:30.930,manual,0.9,1.36
GS.OK025.HH2.00,0.156422,239.83,Sg,2015-07-24 02:47:31.400,manual,0.7,1.35
GS.OK029.HHZ.00,0.267516,300.715,Pg,2015-07-24 02:47:30.860,manual,0.2,3.0
GS.OK029.HH1.00,0.267516,300.715,Sg,2015-07-24 02:47:35.000,manual,0.8,1.29
OK.OKCSW.EHN.--,0.334004,220.587,Sg,2015-07-24 02:47:37.170,manual,0.8,1.25
OK.BCOK.HHZ.--,0.356134,269.598,Pg,2015-07-24 02:47:32.450,manual,0.1,2.68
OK.BCOK.HHE.--,0.356134,269.598,Sg,2015-07-24 02:47:37.790,manual,0.7,1.24
GS.OK031.HH1.00,0.398448,42.6775,Sg,2015-07-24 02:47:39.230,manual,0.8,1.22
NQ.OK915.HNZ.01,0.437302,47.8193,Pg,2015-07-24 02:47:34.260,manual,0.3,2.44
OK.FNO.HHE.01,0.443148,205.042,Sg,2015-07-24 02:47:40.650,manual,0.8,1.2
OK.CCOK.HHE.--,0.497513,232.689,Sg,2015-07-24 02:47:42.690,manual,1.1,1.18
OK.QUOK.HHE.--,0.63426,36.2938,Sg,2015-07-24 02:47:46.480,manual,0.6,1.12
OK.QUOK.HHZ.--,0.63426,36.2938,Pg,2015-07-24 02:47:37.680,manual,0.0,2.0
OK.CROK.HHZ.--,1.0689,322.294,Pg,2015-07-24 02:47:45.550,manual,-0.5,1.43
OK.CROK.HHN.--,1.0689,322.294,Sg,2015-07-24 02:48:00.350,manual,0.5,0.97
OK.X34A.HHZ.--,1.18723,207.325,Pg,2015-07-24 02:47:47.780,manual,-0.5,1.33
OK.GORE.HHZ.--,1.28631,331.069,Pn,2015-07-24 02:47:49.320,manual,-0.8,1.23
OK.GC02.EHZ.--,1.31253,335.152,Pn,2015-07-24 02:47:49.620,manual,-0.8,1.23
GS.KAN13.HHZ.01,1.37256,349.727,Pn,2015-07-24 02:47:50.960,manual,-0.3,1.22
GS.OK032.HHZ.00,1.41695,323.971,Pn,2015-07-24 02:47:51.540,manual,-0.3,1.22
GS.KAN17.HHZ.01,1.46185,341.066,Pn,2015-07-24 02:47:52.620,manual,0.1,1.21
GS.KAN09.HHZ.01,1.5165,346.396,Pn,2015-07-24 02:47:53.280,manual,0.0,1.2
GS.KAN05.HHZ.01,1.5522,338.857,Pn,2015-07-24 02:47:54.180,manual,0.4,1.2
OK.U32A.BHZ.--,1.64769,296.369,Pn,2015-07-24 02:47:55.360,manual,0.3,1.18
OK.LOOK.HHZ.--,1.66369,180.229,Pn,2015-07-24 02:47:55.800,manual,0.5,1.18
OK.X37A.BHZ.--,1.82206,125.376,Pn,2015-07-24 02:47:57.770,manual,0.4,1.16
N4.R32B.BHZ.--,3.01974,336.394,Pn,2015-07-24 02:48:14.890,manual,1.0,1.02
US.MIAR.BHZ.00,3.15058,109.627,Pn,2015-07-24 02:48:16.940,manual,1.3,1.01
TA.U40A.BHZ.--,3.5694,77.5112,Pn,2015-07-24 02:48:22.130,manual,0.7,0.97
AG.WHAR.HHZ.00,4.00217,93.8715,Pn,2015-07-24 02:48:28.670,manual,1.3,0.93
OK.BLOK.HHZ.--,1.0989,358.199,Pg,2015-07-24 02:47:45.800,manual,-0.8,1.41
N4.U38B.BHZ.--,2.38805,70.1769,Pn,2015-07-24 02:48:05.350,manual,0.1,1.09
AG.HHAR.HHZ.00,2.69407,75.7346,Pn,2015-07-24 02:48:10.090,manual,0.7,1.06
TA.W39A.BHZ.--,2.80522,98.5141,Pn,2015-07-24 02:48:09.500,manual,-1.4,1.04
AG.FCAR.HHZ.00,4.11086,85.3258,Pn,2015-07-24 02:48:28.510,manual,-0.3,0.92
NM.MGMO.BHZ.--,4.22659,67.903,Pn,2015-07-24 02:48:30.630,manual,0.2,0.91
