#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us200030ah
#time = 2015-07-27 03:43:42.790000
#location = 7km SSE of Anthony, Kansas
#latitude = 37.0893
#longitude = -98.0098
#depth = 7.1
#magnitude = 2.9
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us200030ah
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.KAN10.HHZ.01,0.0762597,296.62,Pg,2015-07-27 03:43:44.870,manual,0.1,4.05
GS.KAN05.HHZ.01,0.111616,80.0185,Pg,2015-07-27 03:43:45.510,manual,0.2,3.81
GS.KAN11.HHZ.01,0.139698,33.4733,Pg,2015-07-27 03:43:46.010,manual,0.2,3.63
GS.KAN12.HHZ.01,0.207937,2.59432,Pg,2015-07-27 03:43:47.250,manual,0.3,3.26
GS.KAN17.HHZ.01,0.201097,102.89,Pg,2015-07-27 03:43:47.120,manual,0.3,3.3
GS.OK032.HHZ.00,0.327154,209.481,Pg,2015-07-27 03:43:49.410,manual,0.2,2.77
OK.GORE.HHZ.--,0.307263,170.57,Pg,2015-07-27 03:43:49.050,manual,0.2,2.84
OK.GC02.EHZ.--,0.266096,153.077,Pg,2015-07-27 03:43:48.270,manual,0.2,3.0
GS.KAN13.HHZ.01,0.432401,99.997,Pg,2015-07-27 03:43:51.310,manual,0.1,2.45
GS.KS20.HHZ.00,0.389957,68.8004,Pg,2015-07-27 03:43:50.550,manual,0.2,2.57
OK.CROK.HHZ.--,0.583863,177.912,Pg,2015-07-27 03:43:54.070,manual,0.0,2.1
OK.BLOK.HHZ.--,0.71645,117.014,Pg,2015-07-27 03:43:56.420,manual,-0.2,1.86
OK.QUOK.HHZ.--,1.39132,130.79,Pn,2015-07-27 03:44:08.510,manual,0.0,1.22
OK.BCOK.HHZ.--,1.4658,167.141,Pn,2015-07-27 03:44:09.800,manual,0.2,1.21
GS.OK029.HHZ.00,1.3655,160.707,Pn,2015-07-27 03:44:07.960,manual,-0.2,1.22
GS.OK031.HHZ.00,1.47482,139.902,Pn,2015-07-27 03:44:09.780,manual,0.1,1.2
GS.OK025.HHZ.00,1.59993,159.978,Pn,2015-07-27 03:44:11.800,manual,0.4,1.19
US.WMOK.BHZ.10,2.42842,195.16,Pn,2015-07-27 03:44:23.780,manual,1.0,1.08
OK.U32A.BHZ.--,1.06602,228.65,Pg,2015-07-27 03:44:02.940,manual,-0.3,1.44
N4.U38B.BHZ.--,2.98145,101.476,Pn,2015-07-27 03:44:31.070,manual,0.7,1.02
US.MIAR.BHZ.00,4.40668,123.852,Pn,2015-07-27 03:44:51.170,manual,1.3,0.9
OK.LOOK.HHZ.--,3.16329,167.404,Pn,2015-07-27 03:44:33.740,manual,0.9,1.01
US.AMTX.BHZ.00,3.70197,234.616,Pn,2015-07-27 03:44:41.780,manual,1.4,0.96
N4.R32B.BHZ.--,1.44233,337.547,Pn,2015-07-27 03:44:09.410,manual,0.1,1.21
NM.MGMO.BHZ.--,4.58863,87.461,Pn,2015-07-27 03:44:53.610,manual,1.2,0.88
N4.T35B.BHZ.--,1.21151,97.7478,Pg,2015-07-27 03:44:05.440,manual,-0.6,1.31
TA.U40A.BHZ.--,4.2064,98.4655,Pn,2015-07-27 03:44:47.770,manual,0.6,0.91
TA.X40A.BHZ.--,4.94334,120.142,Pn,2015-07-27 03:44:57.990,manual,0.7,0.86
N4.R40B.BHZ.--,4.70911,73.5014,Pn,2015-07-27 03:44:54.690,manual,0.6,0.87
