#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20003far
#time = 2015-09-01 08:12:58.400000
#location = 13km SE of Medford, Oklahoma
#latitude = 36.7084
#longitude = -97.6420
#depth = 1.0
#magnitude = 2.9
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20003far
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.GORE.HHZ.--,0.256885,287.545,Pg,2015-09-01 08:13:03.770,manual,0.4,3.09
GS.KAN14.HHZ.01,0.357483,314.006,Pg,2015-09-01 08:13:05.950,manual,0.7,2.95
GS.KAN17.HHZ.01,0.349234,343.66,Pg,2015-09-01 08:13:05.520,manual,0.4,2.96
GS.KAN13.HHZ.01,0.331227,23.3783,Pg,2015-09-01 08:13:05.070,manual,0.3,2.99
OK.BLOK.HHZ.--,0.346959,81.2361,Pg,2015-09-01 08:13:05.040,manual,0.0,2.97
OK.GC02.EHZ.--,0.225654,309.333,Pg,2015-09-01 08:13:03.210,manual,0.5,3.18
OK.CROK.HHZ.--,0.341757,233.598,Pg,2015-09-01 08:13:05.430,manual,0.5,2.97
GS.KS20.HHZ.00,0.525038,7.66157,Pg,2015-09-01 08:13:08.640,manual,0.2,2.69
GS.KAN10.HHZ.01,0.550931,318.902,Pg,2015-09-01 08:13:09.540,manual,0.6,2.65
GS.KAN11.HHZ.01,0.542127,336.45,Pg,2015-09-01 08:13:09.340,manual,0.5,2.66
GS.KAN08.HHZ.01,0.580531,333.114,Pg,2015-09-01 08:13:10.360,manual,0.8,2.61
GS.KAN05.HHZ.01,0.440033,335.266,Pg,2015-09-01 08:13:07.200,manual,0.4,2.82
GS.KAN12.HHZ.01,0.653334,334.244,Pg,2015-09-01 08:13:11.440,manual,0.5,2.51
GS.OK032.HHZ.00,0.466316,281.952,Pg,2015-09-01 08:13:07.820,manual,0.5,2.78
GS.OK029.HHZ.00,0.922423,170.508,Pg,2015-09-01 08:13:15.850,manual,-0.2,2.01
OK.QUOK.HHZ.--,0.924367,125.157,Pg,2015-09-01 08:13:15.880,manual,-0.2,2.01
GS.OK031.HHZ.00,0.994236,139.062,Pg,2015-09-01 08:13:17.160,manual,-0.3,1.96
GS.OK025.HHZ.00,1.15159,167.568,Pg,2015-09-01 08:13:20.020,manual,-0.4,1.47
OK.OKCFA.HHZ.--,1.29962,173.119,Pg,2015-09-01 08:13:22.510,manual,-0.7,1.45
OK.CHOK.HHZ.--,1.23767,157.507,Pg,2015-09-01 08:13:21.240,manual,-0.8,1.46
OK.OKCSW.EHZ.--,1.31066,172.694,Pg,2015-09-01 08:13:22.850,manual,-0.6,1.45
OK.FNO.HHZ.01,1.46107,172.247,Pn,2015-09-01 08:13:25.320,manual,-0.5,1.22
US.WMOK.BHZ.10,2.17358,205.566,Pn,2015-09-01 08:13:35.790,manual,0.1,1.12
OK.X34A.HHZ.--,2.10855,184.278,Pn,2015-09-01 08:13:35.920,manual,1.2,1.13
OK.U32A.BHZ.--,1.14288,253.714,Pg,2015-09-01 08:13:20.160,manual,-0.1,1.47
AG.HHAR.HHZ.00,3.01311,97.0148,Pn,2015-09-01 08:13:47.240,manual,0.1,1.03
OK.LOOK.HHZ.--,2.7361,171.932,Pn,2015-09-01 08:13:42.950,manual,-0.4,1.06
N4.T35B.BHZ.--,0.930339,76.7807,Pg,2015-09-01 08:13:16.030,manual,-0.2,2.01
US.KSU1.BHZ.10,2.52426,18.5639,Pn,2015-09-01 08:13:40.690,manual,0.2,1.08
N4.R32B.BHZ.--,1.91036,333.921,Pn,2015-09-01 08:13:33.040,manual,1.0,1.15
N4.U38B.BHZ.--,2.6349,94.8759,Pn,2015-09-01 08:13:42.500,manual,0.5,1.07
US.MIAR.BHZ.00,3.95261,121.893,Pn,2015-09-01 08:13:59.730,manual,-0.3,0.94
NM.MGMO.BHZ.--,4.32789,82.4916,Pn,2015-09-01 08:14:05.380,manual,0.2,0.91
OK.X37A.BHZ.--,2.80902,138.161,Pn,2015-09-01 08:13:44.860,manual,0.5,1.05
AG.FCAR.HHZ.00,4.53111,98.7407,Pn,2015-09-01 08:14:08.690,manual,0.7,0.89
AG.WHAR.HHZ.00,4.56488,106.473,Pn,2015-09-01 08:14:07.200,manual,-1.2,0.89
N4.N35B.BHZ.--,4.43106,20.0293,Pn,2015-09-01 08:14:06.740,manual,0.1,0.9
IU.CCM.BHZ.10,5.26919,73.2876,Pn,2015-09-01 08:14:18.900,manual,0.8,0.84
N4.S39B.BHZ.--,3.58529,72.8282,Pn,2015-09-01 08:13:56.090,manual,1.1,0.97
ZW.AZDA.EHZ.01,3.72751,178.879,Pn,2015-09-01 08:13:57.490,manual,0.5,0.96
TA.W39A.BHZ.--,3.47472,114.598,Pn,2015-09-01 08:13:54.210,manual,0.7,0.98
N4.P38B.BHZ.--,4.35483,46.7952,Pn,2015-09-01 08:14:06.450,manual,0.9,0.91
US.AMTX.BHZ.00,3.75395,242.182,Pn,2015-09-01 08:13:58.120,manual,0.7,0.96
TA.KSCO.BHZ.--,4.5657,301.739,Pn,2015-09-01 08:14:09.000,manual,0.4,0.89
TA.U40A.BHZ.--,3.87235,93.7772,Pn,2015-09-01 08:13:59.510,manual,0.6,0.95
TA.X40A.BHZ.--,4.50068,118.078,Pn,2015-09-01 08:14:07.260,manual,-0.3,0.89
N4.R40B.BHZ.--,4.55548,68.0918,Pn,2015-09-01 08:14:08.390,manual,0.1,0.89
N4.Z38B.BHZ.--,4.07338,146.852,Pn,2015-09-01 08:14:01.140,manual,-0.5,0.93
US.CBKS.BHZ.00,2.67871,322.326,Pn,2015-09-01 08:13:43.810,manual,1.2,1.06
N4.Z35B.BHZ.--,3.38479,174.475,Pn,2015-09-01 08:13:51.880,manual,-0.4,0.99
TA.BGNE.BHZ.--,4.70993,355.34,Pn,2015-09-01 08:14:10.430,manual,0.0,0.88
OK.GC02.EHN.--,0.225654,309.333,Sg,2015-09-01 08:13:06.770,manual,1.1,1.31
OK.GORE.HHN.--,0.256885,287.545,Sg,2015-09-01 08:13:06.670,manual,0.0,1.29
OK.CROK.HHN.--,0.341757,233.598,Sg,2015-09-01 08:13:10.270,manual,0.9,1.26
OK.BLOK.HHN.--,0.346959,81.2361,Sg,2015-09-01 08:13:09.880,manual,0.3,1.26
GS.KAN13.HHN.01,0.331227,23.3783,Sg,2015-09-01 08:13:09.620,manual,0.6,1.27
