#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20003fgu
#time = 2015-09-01 19:19:08.400000
#location = 13km SSE of Alva, Oklahoma
#latitude = 36.6930
#longitude = -98.6132
#depth = 6.4
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20003fgu
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHE.--,0.540544,110.157,Sg,2015-09-01 19:19:26.370,manual,0.5,1.16
OK.U32A.BHZ.--,0.442321,225.095,Pg,2015-09-01 19:19:17.280,manual,0.3,2.42
GS.OK032.HHZ.00,0.341898,71.0083,Pg,2015-09-01 19:19:15.350,manual,0.3,2.72
OK.GORE.HHZ.--,0.54299,80.0011,Pg,2015-09-01 19:19:18.210,manual,-0.7,2.18
GS.KAN14.HHZ.01,0.58439,63.0267,Pg,2015-09-01 19:19:19.720,manual,0.1,2.1
OK.CROK.HHZ.--,0.540544,110.157,Pg,2015-09-01 19:19:18.840,manual,0.0,2.19
OK.GC02.EHZ.--,0.625435,75.1232,Pg,2015-09-01 19:19:20.510,manual,0.1,2.02
GS.KAN12.HHZ.01,0.778796,39.0451,Pg,2015-09-01 19:19:23.460,manual,0.1,1.77
GS.KAN17.HHZ.01,0.765306,62.4943,Pg,2015-09-01 19:19:22.470,manual,-0.6,1.79
OK.CHOK.HHZ.--,1.68946,131.497,Pn,2015-09-01 19:19:38.670,manual,0.3,1.18
N4.T35B.BHZ.--,1.70113,81.8467,Pn,2015-09-01 19:19:39.380,manual,0.9,1.17
GS.OK032.HH2.00,0.341898,71.0083,Sg,2015-09-01 19:19:20.330,manual,0.8,1.25
OK.U32A.BHN.--,0.442321,225.095,Sg,2015-09-01 19:19:23.610,manual,0.9,1.2
GS.KAN14.HHE.01,0.58439,63.0267,Sg,2015-09-01 19:19:27.810,manual,0.5,1.14
