#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20003fvv
#time = 2015-09-02 06:04:05.930000
#location = 5km NE of Anthony, Kansas
#latitude = 37.1878
#longitude = -97.9872
#depth = 1.7
#magnitude = 2.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20003fvv
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.KAN12.HHZ.01,0.10974,355.497,Pg,2015-09-02 06:04:08.460,manual,0.4,3.82
GS.KAN08.HHZ.01,0.0409495,18.521,Pg,2015-09-02 06:04:07.200,manual,0.4,4.34
GS.KAN11.HHZ.01,0.0617418,72.8658,Pg,2015-09-02 06:04:07.540,manual,0.4,4.17
GS.KAN10.HHZ.01,0.107477,233.365,Pg,2015-09-02 06:04:08.380,manual,0.4,3.83
GS.KAN05.HHZ.01,0.121154,130.697,Pg,2015-09-02 06:04:08.820,manual,0.5,3.75
GS.KAN17.HHZ.01,0.228424,128.831,Pg,2015-09-02 06:04:10.830,manual,0.5,3.2
GS.KAN14.HHZ.01,0.231385,175.194,Pg,2015-09-02 06:04:10.760,manual,0.4,3.2
GS.KS20.HHZ.00,0.348142,82.9698,Pg,2015-09-02 06:04:12.930,manual,0.3,2.97
OK.GC02.EHZ.--,0.350865,163.039,Pg,2015-09-02 06:04:12.910,manual,0.2,2.97
OK.CROK.HHZ.--,0.681807,179.743,Pg,2015-09-02 06:04:19.130,manual,0.1,1.92
OK.QUOK.HHZ.--,1.44447,134.226,Pn,2015-09-02 06:04:32.860,manual,-0.2,1.22
N4.U38B.BHZ.--,2.985,103.407,Pn,2015-09-02 06:04:55.030,manual,0.8,1.03
N4.R32B.BHZ.--,1.35944,335.274,Pn,2015-09-02 06:04:31.220,manual,-0.7,1.23
N4.T35B.BHZ.--,1.211,102.491,Pg,2015-09-02 06:04:28.620,manual,-0.5,1.31
