#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20003k67
#time = 2015-09-16 06:20:04.580000
#location = 5km WNW of Cushing, Oklahoma
#latitude = 36.0098
#longitude = -96.8143
#depth = 1.8
#magnitude = 2.6
#magtype = mb_lg
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20003k67
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.QUOK.HHZ.--,0.182808,28.0666,Pg,2015-09-16 06:20:08.590,manual,0.5,3.39
OK.CHOK.HHZ.--,0.490716,204.23,Pg,2015-09-16 06:20:13.990,manual,0.0,2.3
GS.OK031.HHZ.00,0.0600525,199.579,Pg,2015-09-16 06:20:05.910,manual,0.1,4.18
OK.BLOK.HHZ.--,0.816079,336.777,Pg,2015-09-16 06:20:20.340,manual,0.1,1.72
OK.CROK.HHZ.--,1.06621,297.94,Pg,2015-09-16 06:20:24.980,manual,0.0,1.44
OK.GC02.EHZ.--,1.19006,315.208,Pn,2015-09-16 06:20:27.130,manual,-1.1,1.25
N4.U38B.BHZ.--,2.00994,76.9687,Pn,2015-09-16 06:20:39.730,manual,0.2,1.14
NQ.OK915.HNN.01,0.0654907,148.892,Sg,2015-09-16 06:20:06.780,manual,0.0,1.4
NQ.OK915.HNZ.01,0.0654907,148.892,Pg,2015-09-16 06:20:05.820,manual,-0.1,4.14
GS.OK031.HH2.00,0.0600525,199.579,Sg,2015-09-16 06:20:06.860,manual,0.3,1.41
OK.QUOK.HHE.--,0.182808,28.0666,Sg,2015-09-16 06:20:11.560,manual,1.1,1.33
GS.OK029.HH1.00,0.561918,247.94,Sg,2015-09-16 06:20:23.450,manual,0.8,1.15
GS.OK029.HHZ.00,0.561918,247.94,Pg,2015-09-16 06:20:15.500,manual,0.1,2.14
GS.OK025.HH1.00,0.60348,225.011,Sg,2015-09-16 06:20:24.530,manual,0.6,1.13
GS.OK025.HHZ.00,0.60348,225.011,Pg,2015-09-16 06:20:15.940,manual,-0.2,2.06
OK.OKCSW.EHZ.--,0.788202,220.273,Pg,2015-09-16 06:20:19.310,manual,-0.4,1.75
OK.OKCFA.HHZ.--,0.787858,221.34,Pg,2015-09-16 06:20:19.060,manual,-0.6,1.76
US.KSU1.BHZ.10,3.09,2.95878,Pn,2015-09-16 06:20:53.820,manual,-0.5,1.02
OK.FNO.HHZ.01,0.89006,212.661,Pg,2015-09-16 06:20:20.700,manual,-0.9,1.62
N4.T35B.BHZ.--,0.936864,14.9924,Pg,2015-09-16 06:20:22.420,manual,-0.1,1.57
GS.KAN13.HHZ.01,1.13488,332.097,Pn,2015-09-16 06:20:26.280,manual,-1.2,1.26
OK.GORE.HHZ.--,1.1978,310.604,Pn,2015-09-16 06:20:27.210,manual,-1.1,1.25
TA.W39A.BHZ.--,2.59938,107.316,Pn,2015-09-16 06:20:47.700,manual,0.2,1.07
US.MIAR.BHZ.00,3.02508,117.936,Pn,2015-09-16 06:20:53.450,manual,0.1,1.02
N4.S39B.BHZ.--,3.26458,58.0364,Pn,2015-09-16 06:20:57.430,manual,0.7,1.0
TA.U40A.BHZ.--,3.22273,82.6739,Pn,2015-09-16 06:20:56.030,manual,-0.1,1.01
AG.WHAR.HHZ.00,3.75455,99.7025,Pn,2015-09-16 06:21:03.230,manual,-0.2,0.96
N4.R40B.BHZ.--,4.286,56.5593,Pn,2015-09-16 06:21:11.030,manual,0.3,0.91
OK.X34A.HHZ.--,1.63383,210.943,Pn,2015-09-16 06:20:34.290,manual,0.0,1.19
GS.KAN09.HHZ.01,1.29709,330.306,Pg,2015-09-16 06:20:29.220,manual,-0.2,1.25
GS.OK032.HHZ.00,1.37707,305.542,Pn,2015-09-16 06:20:30.070,manual,-0.7,1.23
OK.U32A.BHZ.--,1.80716,282.424,Pn,2015-09-16 06:20:36.440,manual,-0.3,1.17
OK.LOOK.HHZ.--,2.03499,188.589,Pn,2015-09-16 06:20:40.200,manual,0.4,1.14
US.WMOK.BHZ.10,2.04758,232.274,Pn,2015-09-16 06:20:40.370,manual,0.4,1.14
AG.HHAR.HHZ.00,2.34217,82.4938,Pn,2015-09-16 06:20:44.170,manual,0.1,1.1
AG.FCAR.HHZ.00,3.80722,90.4209,Pn,2015-09-16 06:21:04.950,manual,0.8,0.95
NQ.OK914.HNZ.01,0.0396747,168.802,Pg,2015-09-16 06:20:05.030,manual,-0.4,4.35
