#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20003ks9
#time = 2015-09-05 09:13:22.200000
#location = 10km E of Medford, Oklahoma
#latitude = 36.8204
#longitude = -97.6221
#depth = 5.0
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20003ks9
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.KAN13.HHZ.01,0.224258,31.0008,Pg,2015-09-05 09:13:27.150,manual,0.6,3.19
OK.GORE.HHZ.--,0.263153,262.512,Pg,2015-09-05 09:13:27.750,manual,0.4,3.02
GS.KAN14.HHZ.01,0.305338,296.581,Pg,2015-09-05 09:13:28.630,manual,0.5,2.85
GS.KAN17.HHZ.01,0.250855,332.926,Pg,2015-09-05 09:13:27.700,manual,0.6,3.07
OK.CROK.HHZ.--,0.428575,222.784,Pg,2015-09-05 09:13:30.700,manual,0.2,2.46
OK.BLOK.HHZ.--,0.33221,100.228,Pg,2015-09-05 09:13:28.780,manual,0.1,2.76
OK.GC02.EHZ.--,0.19305,279.324,Pg,2015-09-05 09:13:26.420,manual,0.4,3.34
GS.OK032.HHZ.00,0.47242,268.166,Pg,2015-09-05 09:13:31.580,manual,0.3,2.34
GS.OK029.HHZ.00,1.03061,172.421,Pg,2015-09-05 09:13:41.530,manual,-0.4,1.47
GS.OK031.HHZ.00,1.07162,143.639,Pg,2015-09-05 09:13:42.360,manual,-0.4,1.43
OK.CHOK.HHZ.--,1.33608,159.985,Pn,2015-09-05 09:13:46.960,manual,-0.5,1.23
GS.OK025.HHZ.00,1.25794,169.387,Pn,2015-09-05 09:13:45.710,manual,-0.7,1.24
OK.OKCSW.EHZ.--,1.41982,173.919,Pn,2015-09-05 09:13:48.570,manual,0.0,1.22
OK.OKCFA.HHZ.--,1.40899,174.32,Pn,2015-09-05 09:13:48.330,manual,-0.1,1.22
N4.T35B.BHZ.--,0.895433,83.5373,Pg,2015-09-05 09:13:39.170,manual,-0.2,1.62
OK.X34A.HHZ.--,2.22122,184.485,Pn,2015-09-05 09:13:59.850,manual,0.2,1.11
AG.HHAR.HHZ.00,3.01304,99.1721,Pn,2015-09-05 09:14:11.150,manual,0.7,1.02
N4.U38B.BHZ.--,2.63092,97.342,Pn,2015-09-05 09:14:06.030,manual,0.8,1.06
N4.S39B.BHZ.--,3.53851,74.4912,Pn,2015-09-05 09:14:18.790,manual,1.1,0.97
GS.KAN05.HHZ.01,0.350579,325.213,Pg,2015-09-05 09:13:29.490,manual,0.5,2.69
GS.KS20.HHZ.00,0.412123,7.54551,Pg,2015-09-05 09:13:30.620,manual,0.5,2.51
GS.KAN11.HHZ.01,0.449957,328.888,Pg,2015-09-05 09:13:31.430,manual,0.6,2.4
