#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20003nsf
#time = 2015-09-24 09:46:31.900000
#location = 10km S of Boley, Oklahoma
#latitude = 35.4008
#longitude = -96.4729
#depth = 1.0
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20003nsf
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CHOK.HHZ.--,0.506157,288.592,Pg,2015-09-24 09:46:42.250,manual,0.6,2.72
GS.OK030.HHZ.00,0.583624,334.383,Pg,2015-09-24 09:46:43.710,manual,0.6,2.61
OK.QUOK.HHZ.--,0.792351,346.109,Pg,2015-09-24 09:46:47.240,manual,0.1,2.1
GS.OK025.HHZ.00,0.728439,284.549,Pg,2015-09-24 09:46:45.460,manual,-0.4,2.42
GS.OK031.HHZ.00,0.626584,331.693,Pg,2015-09-24 09:46:44.330,manual,0.4,2.55
OK.CCOK.HHZ.--,0.967866,267.743,Pg,2015-09-24 09:46:50.380,manual,-0.1,1.98
OK.FNO.HHZ.01,0.772406,259.594,Pg,2015-09-24 09:46:46.950,manual,0.2,2.11
OK.LOOK.HHZ.--,1.52104,202.724,Pn,2015-09-24 09:47:00.240,manual,0.1,1.21
OK.CROK.HHZ.--,1.64783,312.392,Pn,2015-09-24 09:47:02.030,manual,0.1,1.19
OK.CCOK.HHZ.--,0.967866,267.743,Sn,2015-09-24 09:47:05.290,automatic,-1.7,0.98
US.WMOK.BHZ.10,2.00515,251.407,Pn,2015-09-24 09:47:07.810,manual,1.0,1.14
OK.X34A.HHZ.--,1.3721,234.832,Pn,2015-09-24 09:46:57.820,manual,-0.3,1.23
N4.T35B.BHZ.--,1.51261,358.816,Pn,2015-09-24 09:46:59.530,manual,-0.5,1.21
OK.X37A.BHZ.--,1.21391,131.521,Pg,2015-09-24 09:46:54.910,manual,-0.2,1.46
