#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20004v7x
#time = 2016-01-28 01:12:22.100000
#location = 32km NW of Fairview, Oklahoma
#latitude = 36.4789
#longitude = -98.7311
#depth = 7.3
#magnitude = 2.9
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20004v7x
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.KAN01.HHZ.01,1.03041,48.9158,Pg,2016-01-28 01:12:41.520,manual,0.9,2.02
GS.OK025.HHZ.00,1.4415,128.015,Pg,2016-01-28 01:12:48.320,manual,0.6,1.7
OK.QUOK.HHZ.--,1.66232,100.038,Pn,2016-01-28 01:12:52.150,manual,0.8,1.18
OK.U32A.BHZ.--,0.239506,245.612,Pg,2016-01-28 01:12:27.210,manual,0.5,3.12
GS.OK035.HHZ.00,0.229495,4.29754,Pg,2016-01-28 01:12:27.150,manual,0.6,3.16
OK.CROK.HHZ.--,0.603082,87.3308,Pg,2016-01-28 01:12:33.810,manual,0.5,2.06
GS.KAN17.HHZ.01,0.95936,53.6959,Pg,2016-01-28 01:12:40.160,manual,0.7,2.08
OK.GC02.EHZ.--,0.793295,61.7856,Pg,2016-01-28 01:12:37.210,manual,0.7,2.26
GS.OK029.HHZ.00,1.23725,123.012,Pg,2016-01-28 01:12:44.720,manual,0.5,1.84
OK.GORE.HHZ.--,0.701006,63.8758,Pg,2016-01-28 01:12:35.570,manual,0.6,2.38
OK.BCOK.HHZ.--,1.22443,131.743,Pg,2016-01-28 01:12:44.580,manual,0.6,1.85
GS.KAN11.HHZ.01,0.978289,41.8692,Pg,2016-01-28 01:12:40.650,manual,0.9,2.07
OK.OKCSW.EHZ.--,1.49944,135.209,Pg,2016-01-28 01:12:49.530,manual,0.8,0.9
GS.KAN10.HHZ.01,0.821281,38.2402,Pg,2016-01-28 01:12:37.660,manual,0.6,2.23
GS.OK031.HHZ.00,1.61746,108.369,Pn,2016-01-28 01:12:51.110,manual,0.3,1.18
GS.KAN08.HHZ.01,0.963779,39.0201,Pg,2016-01-28 01:12:40.240,manual,0.7,2.08
GS.KAN06.HHZ.01,1.0387,42.0898,Pg,2016-01-28 01:12:41.840,manual,1.0,2.01
GS.KAN05.HHZ.01,0.932861,47.3885,Pg,2016-01-28 01:12:39.780,manual,0.8,2.11
GS.KAN16.HHZ.01,0.917144,35.4495,Pg,2016-01-28 01:12:39.350,manual,0.7,2.13
OK.OKCFA.HHZ.--,1.4848,135.25,Pg,2016-01-28 01:12:49.140,manual,0.6,0.91
OK.CCOK.HHZ.--,1.41957,141.754,Pg,2016-01-28 01:12:48.140,manual,0.8,1.71
US.WMOK.BHZ.10,1.73768,181.347,Pn,2016-01-28 01:12:52.870,manual,0.4,1.17
OK.FNO.HHZ.01,1.62862,138.062,Pn,2016-01-28 01:12:51.640,manual,0.7,1.18
OK.CHOK.HHZ.--,1.63436,123.589,Pn,2016-01-28 01:12:51.300,manual,0.3,1.18
GS.KAN12.HHZ.01,1.0064,35.5136,Pg,2016-01-28 01:12:41.140,manual,0.9,2.04
GS.OK030.HHZ.00,1.66822,108.672,Pn,2016-01-28 01:12:51.920,manual,0.5,1.18
GS.OK034.HHZ.00,1.69694,105.402,Pn,2016-01-28 01:12:52.470,manual,0.6,1.17
GS.KAN13.HHZ.01,1.13904,61.7276,Pg,2016-01-28 01:12:43.340,manual,0.8,1.92
OK.X34A.HHZ.--,2.01193,158.379,Pn,2016-01-28 01:12:58.180,manual,2.1,1.13
OK.W35A.HHZ.--,2.00699,130.704,Pn,2016-01-28 01:12:56.940,manual,0.9,1.13
US.CBKS.BHZ.00,2.46408,341.391,Pn,2016-01-28 01:13:03.470,manual,1.2,1.08
OK.BLOK.HHZ.--,1.25171,76.5686,Pg,2016-01-28 01:12:45.320,manual,0.8,1.83
N4.T35B.BHZ.--,1.83619,75.5884,Pn,2016-01-28 01:12:54.960,manual,1.2,1.16
N4.R32B.BHZ.--,1.94023,0.464074,Pn,2016-01-28 01:12:56.890,manual,1.7,1.14
TA.TUL1.BHZ.--,2.44416,102.55,Pn,2016-01-28 01:13:02.670,manual,0.7,1.08
ZD.KNG1.EHZ.--,0.905204,112.158,Pg,2016-01-28 01:12:39.160,manual,0.7,2.14
OK.U32A.BHE.--,0.239506,245.612,Sg,2016-01-28 01:12:31.030,manual,0.9,1.3
GS.OK035.HH2.00,0.229495,4.29754,Sg,2016-01-28 01:12:30.770,manual,1.0,1.31
OK.CROK.HHE.--,0.603082,87.3308,Sg,2016-01-28 01:12:42.260,manual,0.8,1.13
OK.GC02.EHN.--,0.793295,61.7856,Sg,2016-01-28 01:12:47.960,manual,0.9,1.18
GS.KAN05.HHN.01,0.932861,47.3885,Sg,2016-01-28 01:12:52.080,manual,0.8,1.15
