#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20004ww1
#time = 2016-02-03 17:36:57.400000
#location = 6km ENE of Edmond, Oklahoma
#latitude = 35.6677
#longitude = -97.4057
#depth = 6.4
#magnitude = 2.8
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20004ww1
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.BCOK.HHZ.--,0.166156,266.271,Pg,2016-02-03 17:37:00.990,manual,0.2,3.48
GS.OK029.HHZ.00,0.134707,342.727,Pg,2016-02-03 17:37:00.600,manual,0.4,3.66
OK.CHOK.HHZ.--,0.300099,110.659,Pg,2016-02-03 17:37:03.790,manual,0.5,2.87
OK.W35A.HHZ.--,0.672555,139.667,Pg,2016-02-03 17:37:10.360,manual,0.0,1.93
GS.OK033.HHZ.00,0.534345,45.1571,Pg,2016-02-03 17:37:07.900,manual,0.2,2.2
GS.OK025.HHZ.00,0.10256,147.392,Pg,2016-02-03 17:37:00.090,manual,0.4,3.87
GS.OK032.HHZ.00,1.30716,330.389,Pn,2016-02-03 17:37:21.360,manual,-0.7,1.23
OK.CROK.HHZ.--,0.957402,330.911,Pg,2016-02-03 17:37:15.490,manual,-0.3,1.55
GS.OK009.HNZ.01,0.0873457,189.235,Pg,2016-02-03 17:36:59.690,manual,0.2,3.97
OK.CCOK.HHZ.--,0.371437,213.438,Pg,2016-02-03 17:37:05.210,manual,0.6,2.63
GS.OK030.HHZ.00,0.568298,62.644,Pg,2016-02-03 17:37:08.460,manual,0.1,2.13
OK.OKCSW.EHZ.--,0.26295,185.76,Pg,2016-02-03 17:37:03.000,manual,0.4,3.02
GS.OK031.HHZ.00,0.541478,58.1026,Pg,2016-02-03 17:37:07.580,manual,-0.3,2.18
OK.FNO.HHZ.01,0.40941,179.484,Pg,2016-02-03 17:37:05.570,manual,0.2,2.51
OK.OKCFA.HHZ.--,0.254592,188.431,Pg,2016-02-03 17:37:02.840,manual,0.4,3.05
OK.QUOK.HHZ.--,0.757206,48.2057,Pg,2016-02-03 17:37:11.810,manual,-0.1,1.8
GS.OK001.HNZ.01,0.142405,138.293,Pg,2016-02-03 17:37:00.790,manual,0.4,3.61
NQ.OK914.HNZ.01,0.574435,58.054,Pg,2016-02-03 17:37:08.510,manual,0.0,2.12
GS.OK034.HHZ.00,0.658333,58.5228,Pg,2016-02-03 17:37:09.810,manual,-0.3,1.96
OK.BLOK.HHZ.--,1.10151,7.99216,Pg,2016-02-03 17:37:17.940,manual,-0.6,1.4
OK.X34A.HHZ.--,1.1203,198.322,Pg,2016-02-03 17:37:18.790,manual,-0.1,1.39
OK.GORE.HHZ.--,1.19842,338.735,Pg,2016-02-03 17:37:19.520,manual,-0.9,1.32
GS.KAN14.HHZ.01,1.36295,340.88,Pn,2016-02-03 17:37:22.590,manual,-0.3,1.22
TA.TUL1.BHZ.--,1.33422,79.0709,Pn,2016-02-03 17:37:21.420,manual,-1.0,1.23
N4.U38B.BHZ.--,2.5654,71.6474,Pn,2016-02-03 17:37:39.390,manual,0.0,1.07
OK.GC02.EHZ.--,1.23703,342.883,Pn,2016-02-03 17:37:20.400,manual,-0.7,1.24
GS.KAN13.HHZ.01,1.34375,357.538,Pn,2016-02-03 17:37:21.820,manual,-0.8,1.22
GS.KAN17.HHZ.01,1.40388,348.19,Pn,2016-02-03 17:37:23.280,manual,-0.1,1.22
N4.T35B.BHZ.--,1.44007,29.8309,Pn,2016-02-03 17:37:23.640,manual,-0.3,1.21
US.WMOK.BHZ.10,1.45893,230.914,Pn,2016-02-03 17:37:23.830,manual,-0.4,1.21
OK.U32A.BHZ.--,1.47571,299.24,Pn,2016-02-03 17:37:23.930,manual,-0.5,1.21
GS.KAN01.HHZ.01,1.50986,349.224,Pn,2016-02-03 17:37:24.710,manual,-0.2,1.2
OK.X37A.BHZ.--,1.98451,122.245,Pn,2016-02-03 17:37:31.520,manual,0.1,1.14
GS.OK009.HNN.01,0.0873457,189.235,Sg,2016-02-03 17:37:01.510,manual,0.7,1.39
GS.OK029.HH2.00,0.134707,342.727,Sg,2016-02-03 17:37:02.940,manual,0.8,1.36
GS.OK025.HH2.00,0.10256,147.392,Sg,2016-02-03 17:37:02.010,manual,0.8,1.38
OK.BCOK.HHN.--,0.166156,266.271,Sg,2016-02-03 17:37:03.730,manual,0.7,1.34
GS.OK001.HNN.01,0.142405,138.293,Sg,2016-02-03 17:37:03.350,manual,1.0,1.36
OK.OKCFA.HHN.--,0.254592,188.431,Sg,2016-02-03 17:37:06.730,manual,0.9,1.29
