#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20004wzw
#time = 2016-02-04 02:16:38.400000
#location = 3km W of Cushing, Oklahoma
#latitude = 35.9858
#longitude = -96.8026
#depth = 5.0
#magnitude = 2.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20004wzw
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK033.HHZ.00,0.124523,298.048,Pg,2016-02-04 02:16:41.360,manual,0.4,3.72
OK.QUOK.HHZ.--,0.200438,22.4495,Pg,2016-02-04 02:16:42.760,manual,0.4,3.3
GS.OK031.HHZ.00,0.0440684,222.233,Pg,2016-02-04 02:16:39.940,manual,0.3,4.31
OK.CHOK.HHZ.--,0.473135,206.476,Pg,2016-02-04 02:16:47.980,manual,0.5,2.34
GS.OK034.HHZ.00,0.0764697,71.4077,Pg,2016-02-04 02:16:40.560,manual,0.4,4.05
N4.T35B.BHZ.--,0.957664,14.0801,Pg,2016-02-04 02:16:56.630,manual,-0.1,1.55
TA.TUL1.BHZ.--,0.823537,94.9453,Pg,2016-02-04 02:16:54.010,manual,-0.2,1.71
NQ.OK914.HNZ.01,0.0150782,186.812,Pg,2016-02-04 02:16:39.400,manual,0.0,4.57
NQ.OK914.HNN.01,0.0150782,186.812,Sg,2016-02-04 02:16:40.100,manual,0.1,1.43
NQ.OK915.HNN.01,0.0403072,142.853,Sg,2016-02-04 02:16:39.110,manual,-1.3,1.42
NQ.OK915.HNZ.01,0.0403072,142.853,Pg,2016-02-04 02:16:37.910,manual,-1.7,4.34
GS.OK031.HH1.00,0.0440684,222.233,Sg,2016-02-04 02:16:40.870,manual,0.3,1.42
GS.OK030.HH2.00,0.0598563,165.232,Sg,2016-02-04 02:16:41.340,manual,0.5,1.41
GS.OK030.HHZ.00,0.0598563,165.232,Pg,2016-02-04 02:16:40.250,manual,0.4,4.18
GS.OK034.HH1.00,0.0764697,71.4077,Sg,2016-02-04 02:16:41.850,manual,0.5,1.4
GS.OK029.HHZ.00,0.562311,250.573,Pg,2016-02-04 02:16:49.510,manual,0.3,2.14
GS.OK025.HHZ.00,0.593734,227.301,Pg,2016-02-04 02:16:49.940,manual,0.1,2.08
ZD.KNG1.EHZ.--,0.738129,281.686,Pg,2016-02-04 02:16:52.380,manual,-0.2,1.83
OK.CROK.HHZ.--,1.08594,298.828,Pg,2016-02-04 02:16:58.980,manual,-0.2,1.42
OK.GC02.EHZ.--,1.21379,315.693,Pg,2016-02-04 02:17:01.150,manual,-0.5,1.31
OK.OKCFA.HHZ.--,0.776487,223.04,Pg,2016-02-04 02:16:53.180,manual,-0.1,1.77
OK.W35A.HHZ.--,0.833343,184.054,Pg,2016-02-04 02:16:54.100,manual,-0.3,1.69
OK.FNO.HHZ.01,0.875271,214.036,Pg,2016-02-04 02:16:54.800,manual,-0.4,1.64
OK.CCOK.HHZ.--,0.936407,228.163,Pg,2016-02-04 02:16:56.380,manual,0.0,1.57
GS.KAN13.HHZ.01,1.16049,332.243,Pg,2016-02-04 02:17:00.160,manual,-0.5,1.35
GS.KAN17.HHZ.01,1.31011,324.01,Pn,2016-02-04 02:17:03.030,manual,-0.3,1.23
GS.KAN14.HHZ.01,1.34681,316.358,Pn,2016-02-04 02:17:03.510,manual,-0.3,1.23
GS.KAN01.HHZ.01,1.39667,326.83,Pn,2016-02-04 02:17:04.460,manual,0.0,1.22
GS.OK032.HHZ.00,1.39878,306.121,Pn,2016-02-04 02:17:04.250,manual,-0.3,1.22
OK.RLOK.HHZ.--,1.44995,82.29,Pn,2016-02-04 02:17:04.780,manual,-0.5,1.21
OK.X34A.HHZ.--,1.6183,211.674,Pn,2016-02-04 02:17:07.620,manual,0.1,1.19
OK.U32A.BHZ.--,1.82171,283.102,Pn,2016-02-04 02:17:10.910,manual,0.6,1.16
N4.U38B.BHZ.--,2.00626,76.2484,Pn,2016-02-04 02:17:13.570,manual,0.7,1.14
OK.LOOK.HHZ.--,2.01277,188.965,Pn,2016-02-04 02:17:13.850,manual,0.9,1.14
US.MIAR.BHZ.00,3.00552,117.625,Pn,2016-02-04 02:17:26.560,manual,0.0,1.02
TA.U40A.BHZ.--,3.21647,82.2366,Pn,2016-02-04 02:17:30.940,manual,1.5,1.0
AG.WHAR.HHZ.00,3.74122,99.3729,Pn,2016-02-04 02:17:36.690,manual,0.0,0.95
TA.W41B.BHZ.--,3.79978,100.982,Pn,2016-02-04 02:17:38.200,manual,0.8,0.95
US.AMTX.BHZ.00,4.13205,255.992,Pn,2016-02-04 02:17:44.170,manual,2.1,0.92
