#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20004y2b
#time = 2016-02-05 13:21:43.600000
#location = 12km SSE of Perry, Oklahoma
#latitude = 36.1753
#longitude = -97.2566
#depth = 7.4
#magnitude = 3.1
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20004y2b
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK033.HHZ.00,0.289032,116.776,Pg,2016-02-05 13:21:49.570,manual,0.3,2.91
ZD.KNG1.EHZ.--,0.357795,263.241,Pg,2016-02-05 13:21:50.700,manual,0.1,2.67
OK.QUOK.HHZ.--,0.443898,90.3408,Pg,2016-02-05 13:21:52.430,manual,0.2,2.42
GS.OK025.HHZ.00,0.596605,186.378,Pg,2016-02-05 13:21:55.210,manual,0.1,2.07
GS.OK030.HHZ.00,0.455848,122.668,Pg,2016-02-05 13:21:52.860,manual,0.4,2.39
OK.BLOK.HHZ.--,0.585098,3.27344,Pg,2016-02-05 13:21:54.950,manual,0.1,2.09
OK.CHOK.HHZ.--,0.633091,165.432,Pg,2016-02-05 13:21:55.730,manual,-0.1,2.0
GS.KAN17.HHZ.01,0.958678,334.903,Pg,2016-02-05 13:22:01.710,manual,-0.3,1.55
GS.KAN13.HHZ.01,0.854702,348.044,Pg,2016-02-05 13:21:59.860,manual,-0.2,1.67
GS.KAN14.HHZ.01,0.965272,324.112,Pg,2016-02-05 13:22:01.920,manual,-0.2,1.54
GS.KAN05.HHZ.01,1.05492,332.187,Pg,2016-02-05 13:22:03.590,manual,-0.3,1.45
OK.GC02.EHZ.--,0.831517,324.432,Pg,2016-02-05 13:21:59.320,manual,-0.3,1.7
GS.KAN01.HHZ.01,1.05647,337.669,Pg,2016-02-05 13:22:03.190,manual,-0.7,1.45
GS.KAN11.HHZ.01,1.15621,333.032,Pg,2016-02-05 13:22:05.310,manual,-0.5,1.36
OK.W35A.HHZ.--,1.06677,162.93,Pg,2016-02-05 13:22:03.220,manual,-0.9,1.44
GS.KAN08.HHZ.01,1.19612,331.531,Pn,2016-02-05 13:22:06.170,manual,-0.5,1.24
GS.KAN06.HHZ.01,1.17483,335.864,Pg,2016-02-05 13:22:05.630,manual,-0.5,1.34
GS.KAN10.HHZ.01,1.16202,324.777,Pg,2016-02-05 13:22:05.380,manual,-0.5,1.35
GS.KAN16.HHZ.01,1.23314,328.46,Pn,2016-02-05 13:22:06.680,manual,-0.5,1.24
OK.RLOK.HHZ.--,1.80419,89.586,Pn,2016-02-05 13:22:16.040,manual,1.0,1.16
OK.X34A.HHZ.--,1.63977,196.847,Pn,2016-02-05 13:22:13.790,manual,1.0,1.18
AG.HHAR.HHZ.00,2.68362,86.7465,Pn,2016-02-05 13:22:29.950,manual,2.9,1.05
N4.T35B.BHZ.--,0.952044,38.8214,Pg,2016-02-05 13:22:01.740,manual,-0.1,1.55
OK.FNO.HHZ.01,0.923448,187.363,Pg,2016-02-05 13:22:00.900,manual,-0.4,1.58
GS.OK034.HHZ.00,0.469946,110.363,Pg,2016-02-05 13:21:52.910,manual,0.2,2.35
GS.OK031.HHZ.00,0.404468,123.123,Pg,2016-02-05 13:21:51.880,manual,0.4,2.53
GS.OK029.HHZ.00,0.410706,203.112,Pg,2016-02-05 13:21:51.690,manual,0.1,2.51
OK.OKCSW.EHZ.--,0.782184,190.922,Pg,2016-02-05 13:21:57.930,manual,-0.7,1.76
OK.CROK.HHZ.--,0.672625,299.472,Pg,2016-02-05 13:21:56.490,manual,-0.1,1.93
OK.CCOK.HHZ.--,0.878991,201.809,Pg,2016-02-05 13:22:00.270,manual,-0.2,1.64
OK.BCOK.HHZ.--,0.591421,209.056,Pg,2016-02-05 13:21:54.960,manual,0.0,2.08
GS.KAN12.HHZ.01,1.26844,332.217,Pn,2016-02-05 13:22:07.020,manual,-0.6,1.23
OK.GORE.HHZ.--,0.825037,317.787,Pg,2016-02-05 13:21:58.660,manual,-0.8,1.7
US.WMOK.BHZ.10,1.89867,221.388,Pn,2016-02-05 13:22:17.280,manual,1.0,1.15
OK.OKCFA.HHZ.--,0.774735,191.852,Pg,2016-02-05 13:21:58.310,manual,-0.2,1.77
TA.TUL1.BHZ.--,1.21613,102.123,Pn,2016-02-05 13:22:05.730,manual,-1.2,1.24
OK.U32A.BHZ.--,1.42452,278.74,Pn,2016-02-05 13:22:09.670,manual,-0.1,1.21
OK.LOOK.HHZ.--,2.17879,178.326,Pn,2016-02-05 13:22:22.060,manual,1.9,1.11
OK.X37A.BHZ.--,2.20847,135.221,Pn,2016-02-05 13:22:21.420,manual,0.9,1.11
N4.U38B.BHZ.--,2.3338,82.667,Pn,2016-02-05 13:22:24.270,manual,2.0,1.09
TA.W39A.BHZ.--,2.99088,108.05,Pn,2016-02-05 13:22:32.510,manual,1.2,1.02
US.CBKS.BHZ.00,3.29083,323.912,Pn,2016-02-05 13:22:35.530,manual,0.1,0.99
ZW.AZDA.EHZ.01,3.20428,184.497,Pn,2016-02-05 13:22:34.910,manual,0.7,1.0
N4.S39B.BHZ.--,3.49596,63.1907,Pn,2016-02-05 13:22:38.850,manual,0.6,0.97
TA.U40A.BHZ.--,3.56273,85.7928,Pn,2016-02-05 13:22:40.660,manual,1.5,0.97
N4.Z35B.BHZ.--,2.83767,179.939,Pn,2016-02-05 13:22:28.780,manual,-0.4,1.04
US.MIAR.BHZ.00,3.41906,117.324,Pn,2016-02-05 13:22:38.050,manual,0.9,0.98
US.AMTX.BHZ.00,3.83139,251.642,Pn,2016-02-05 13:22:43.590,manual,0.7,0.94
GS.OK033.HH1.00,0.289032,116.776,Sg,2016-02-05 13:21:53.970,manual,0.8,1.28
ZD.KNG1.EHN.--,0.357795,263.241,Sg,2016-02-05 13:21:55.710,manual,0.4,1.24
GS.OK031.HH1.00,0.404468,123.123,Sg,2016-02-05 13:21:57.330,manual,0.5,1.22
