#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20004yci
#time = 2016-02-06 16:22:48.600000
#location = 17km S of Perry, Oklahoma
#latitude = 36.1275
#longitude = -97.2788
#depth = 5.6
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20004yci
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK033.HHZ.00,0.288083,106.629,Pg,2016-02-06 16:22:53.770,manual,-0.4,2.92
GS.OK030.HHZ.00,0.448014,116.266,Pg,2016-02-06 16:22:57.630,manual,0.4,2.41
OK.BLOK.HHZ.--,0.633931,4.63614,Pg,2016-02-06 16:23:01.240,manual,0.5,2.0
GS.OK029.HHZ.00,0.359784,203.448,Pg,2016-02-06 16:22:55.860,manual,0.3,2.66
GS.OK025.HHZ.00,0.547346,185.049,Pg,2016-02-06 16:22:59.440,manual,0.3,2.17
OK.OKCSW.EHZ.--,0.731992,190.235,Pg,2016-02-06 16:23:02.710,manual,0.0,1.84
OK.BCOK.HHZ.--,0.541045,209.833,Pg,2016-02-06 16:22:59.210,manual,0.2,2.19
OK.CHOK.HHZ.--,0.592174,162.574,Pg,2016-02-06 16:23:00.170,manual,0.2,2.08
GS.KAN13.HHZ.01,0.898065,349.784,Pg,2016-02-06 16:23:05.820,manual,0.0,1.61
OK.QUOK.HHZ.--,0.464056,84.4146,Pg,2016-02-06 16:22:57.870,manual,0.3,2.37
OK.CROK.HHZ.--,0.682307,303.693,Pg,2016-02-06 16:23:01.750,manual,0.0,1.92
GS.KAN14.HHZ.01,0.994291,326.55,Pg,2016-02-06 16:23:07.430,manual,-0.2,1.51
OK.W35A.HHZ.--,1.02692,161.177,Pg,2016-02-06 16:23:07.500,manual,-0.8,1.47
GS.KAN08.HHZ.01,1.23008,333.313,Pg,2016-02-06 16:23:11.610,manual,-0.6,1.3
GS.KAN10.HHZ.01,1.19136,326.794,Pg,2016-02-06 16:23:09.620,manual,-1.8,1.33
OK.OKCFA.HHZ.--,0.724401,191.223,Pg,2016-02-06 16:23:02.580,manual,0.1,1.85
OK.GC02.EHZ.--,0.860906,327.239,Pg,2016-02-06 16:23:05.020,manual,-0.1,1.66
US.WMOK.BHZ.10,1.85108,221.933,Pn,2016-02-06 16:23:21.620,manual,0.7,1.16
GS.OK032.HHZ.00,1.00971,312.224,Pg,2016-02-06 16:23:07.660,manual,-0.3,1.49
OK.X34A.HHZ.--,1.58891,196.712,Pn,2016-02-06 16:23:18.070,manual,0.8,1.19
OK.LOOK.HHZ.--,2.13173,177.792,Pn,2016-02-06 16:23:24.850,manual,0.1,1.12
N4.T35B.BHZ.--,1.0006,37.8979,Pg,2016-02-06 16:23:07.500,manual,-0.3,1.5
TA.X40A.BHZ.--,3.98601,112.94,Sn,2016-02-06 16:24:54.070,automatic,17.0,0.0
GS.OK031.HHZ.00,0.396591,115.9,Pg,2016-02-06 16:22:56.640,manual,0.4,2.55
GS.OK034.HHZ.00,0.472953,104.163,Pg,2016-02-06 16:22:58.040,manual,0.3,2.34
OK.CCOK.HHZ.--,0.828027,201.868,Pg,2016-02-06 16:23:04.490,manual,0.0,1.7
OK.GORE.HHZ.--,0.849502,320.835,Pg,2016-02-06 16:23:05.190,manual,0.3,1.67
OK.FNO.HHZ.01,0.873915,186.582,Pg,2016-02-06 16:23:05.250,manual,-0.1,1.64
TA.TUL1.BHZ.--,1.22472,99.751,Pg,2016-02-06 16:23:10.970,manual,-1.1,1.3
GS.KAN16.HHZ.01,1.26503,330.271,Pn,2016-02-06 16:23:12.380,manual,-0.5,1.24
GS.KAN12.HHZ.01,1.30282,333.881,Pn,2016-02-06 16:23:12.990,manual,-0.4,1.23
OK.U32A.BHZ.--,1.41488,280.747,Pn,2016-02-06 16:23:14.850,manual,-0.1,1.22
OK.X37A.BHZ.--,2.18776,133.995,Pn,2016-02-06 16:23:26.340,manual,0.9,1.11
GS.OK033.HH2.00,0.288083,106.629,Sg,2016-02-06 16:22:58.870,manual,0.9,1.28
GS.OK029.HH1.00,0.359784,203.448,Sg,2016-02-06 16:23:01.230,manual,0.9,1.24
GS.OK031.HH1.00,0.396591,115.9,Sg,2016-02-06 16:23:02.020,manual,0.6,1.22
