#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20004ygi
#time = 2016-02-07 00:06:41.200000
#location = 15km E of Helena, Oklahoma
#latitude = 36.5195
#longitude = -98.0946
#depth = 6.3
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20004ygi
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.0907952,99.3302,Pg,2016-02-07 00:06:43.540,manual,0.2,3.95
GS.OK032.HHZ.00,0.298634,341.866,Pg,2016-02-07 00:06:47.410,manual,0.4,2.88
GS.KAN14.HHZ.01,0.449074,13.576,Pg,2016-02-07 00:06:50.140,manual,0.3,2.4
OK.GC02.EHZ.--,0.38142,29.6169,Pg,2016-02-07 00:06:48.940,manual,0.3,2.6
GS.KAN13.HHZ.01,0.69844,44.9804,Pg,2016-02-07 00:06:54.650,manual,0.0,1.89
GS.KAN08.HHZ.01,0.712791,7.96203,Pg,2016-02-07 00:06:55.000,manual,0.1,1.87
OK.BCOK.HHZ.--,0.946493,155.318,Pg,2016-02-07 00:06:58.730,manual,-0.6,1.56
GS.OK034.HHZ.00,1.22665,114.068,Pg,2016-02-07 00:07:04.160,manual,-0.6,1.3
OK.CHOK.HHZ.--,1.27122,138.488,Pn,2016-02-07 00:07:04.700,manual,-0.7,1.24
GS.OK030.HHZ.00,1.21328,118.734,Pg,2016-02-07 00:07:03.860,manual,-0.6,1.31
US.WMOK.BHZ.10,1.86351,197.654,Pn,2016-02-07 00:07:14.010,manual,0.4,1.15
OK.U32A.BHZ.--,0.744369,259.451,Pg,2016-02-07 00:06:55.420,manual,-0.1,1.82
OK.X34A.HHZ.--,1.92617,173.556,Pn,2016-02-07 00:07:15.750,manual,1.3,1.15
N4.R32B.BHZ.--,1.96193,345.709,Pn,2016-02-07 00:07:16.410,manual,1.5,1.14
