#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20004yxp
#time = 2016-02-09 05:17:42.200000
#location = 10km SSE of Pawnee, Oklahoma
#latitude = 36.2527
#longitude = -96.7478
#depth = 5.3
#magnitude = 2.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20004yxp
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.QUOK.HHZ.--,0.0872882,158.349,Pg,2016-02-09 05:17:44.530,manual,0.2,3.89
GS.OK031.HHZ.00,0.307989,193.918,Pg,2016-02-09 05:17:48.610,manual,0.1,3.04
GS.OK030.HHZ.00,0.325536,185.149,Pg,2016-02-09 05:17:48.900,manual,0.0,3.01
GS.OK033.HHZ.00,0.258764,216.607,Pg,2016-02-09 05:17:47.560,manual,0.0,3.15
GS.KAN14.HHZ.01,1.20414,306.064,Pg,2016-02-09 05:18:04.800,manual,-0.5,1.32
TA.TUL1.BHZ.--,0.846326,113.522,Pg,2016-02-09 05:17:58.320,manual,-0.5,1.67
N4.T35B.BHZ.--,0.688878,15.9291,Pg,2016-02-09 05:17:55.350,manual,-0.1,1.92
OK.QUOK.HHE.--,0.0872882,158.349,Sg,2016-02-09 05:17:46.030,manual,0.4,1.38
GS.OK034.HH2.00,0.243615,173.388,Sg,2016-02-09 05:17:50.930,manual,0.3,1.29
GS.OK034.HHZ.00,0.243615,173.388,Pg,2016-02-09 05:17:47.380,manual,0.0,3.17
GS.OK033.HH1.00,0.258764,216.607,Sg,2016-02-09 05:17:51.290,manual,0.3,1.29
GS.OK031.HH2.00,0.307989,193.918,Sg,2016-02-09 05:17:52.900,manual,0.2,1.28
GS.OK030.HH2.00,0.325536,185.149,Sg,2016-02-09 05:17:53.600,manual,0.3,1.27
OK.BLOK.HHE.--,0.631369,323.542,Sg,2016-02-09 05:18:02.410,manual,0.0,1.13
OK.BLOK.HHZ.--,0.631369,323.542,Pg,2016-02-09 05:17:54.350,manual,0.0,2.03
N4.T35B.BHN.--,0.688878,15.9291,Sg,2016-02-09 05:18:04.370,manual,0.2,1.1
OK.CHOK.HHE.--,0.735571,200.335,Sg,2016-02-09 05:18:06.520,manual,0.1,1.08
OK.CHOK.HHZ.--,0.735571,200.335,Pg,2016-02-09 05:17:56.220,manual,-0.5,1.82
GS.OK029.HH1.00,0.731925,231.757,Sg,2016-02-09 05:18:06.130,manual,0.0,1.08
GS.OK029.HHZ.00,0.731925,231.757,Pg,2016-02-09 05:17:56.290,manual,-0.3,1.83
ZD.KNG1.EHZ.--,0.775971,261.372,Pg,2016-02-09 05:17:56.960,manual,-0.3,1.77
TA.TUL1.BHE.--,0.846326,113.522,Sg,2016-02-09 05:18:09.480,manual,-0.4,1.04
GS.OK025.HHZ.00,0.823758,215.728,Pg,2016-02-09 05:17:57.690,manual,-0.7,1.7
GS.OK025.HH2.00,0.823758,215.728,Sg,2016-02-09 05:18:09.210,manual,0.0,1.05
OK.BCOK.HHN.--,0.917755,229.859,Sg,2016-02-09 05:18:12.090,manual,0.0,1.02
OK.BCOK.HHZ.--,0.917755,229.859,Pg,2016-02-09 05:17:59.600,manual,-0.5,1.58
GS.KAN13.HHZ.01,0.959395,322.48,Pg,2016-02-09 05:18:00.230,manual,-0.4,1.56
GS.KAN13.HHE.01,0.959395,322.48,Sg,2016-02-09 05:18:12.940,manual,0.0,1.01
OK.OKCFA.HHZ.--,1.01248,214.586,Pg,2016-02-09 05:18:00.980,manual,-1.0,1.48
OK.OKCFA.HHE.--,1.01248,214.586,Sg,2016-02-09 05:18:15.250,manual,0.0,0.99
OK.OKCSW.EHZ.--,1.01452,213.765,Pg,2016-02-09 05:18:00.970,manual,-1.1,1.48
