#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20004yyl
#time = 2016-02-09 10:47:05.400000
#location = 22km SW of Perry, Oklahoma
#latitude = 36.1415
#longitude = -97.4592
#depth = 6.0
#magnitude = 2.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20004yyl
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
ZD.KNG1.EHZ.--,0.191507,267.323,Pg,2016-02-09 10:47:09.510,manual,0.3,3.35
GS.OK029.HHZ.00,0.344191,179.419,Pg,2016-02-09 10:47:12.380,manual,0.3,2.72
GS.OK033.HHZ.00,0.432957,102.779,Pg,2016-02-09 10:47:13.630,manual,-0.1,2.45
GS.OK031.HHZ.00,0.536545,110.329,Pg,2016-02-09 10:47:15.870,manual,0.1,2.19
OK.CROK.HHZ.--,0.557308,310.726,Pg,2016-02-09 10:47:16.290,manual,0.2,2.15
OK.BLOK.HHZ.--,0.64848,17.6026,Pg,2016-02-09 10:47:17.960,manual,0.1,1.97
GS.OK030.HHZ.00,0.587503,111.085,Pg,2016-02-09 10:47:16.910,manual,0.2,2.09
OK.BCOK.HHZ.--,0.498886,194.183,Pg,2016-02-09 10:47:15.110,manual,0.1,2.28
GS.OK034.HHZ.00,0.61838,102.013,Pg,2016-02-09 10:47:17.430,manual,0.1,2.03
OK.CHOK.HHZ.--,0.663265,150.716,Pg,2016-02-09 10:47:18.290,manual,0.1,1.95
GS.OK025.HHZ.00,0.567822,169.972,Pg,2016-02-09 10:47:16.100,manual,-0.2,2.13
OK.W35A.HHZ.--,1.09556,154.064,Pg,2016-02-09 10:47:25.510,manual,-0.9,1.41
GS.OK035.HHZ.00,1.15631,299.652,Pg,2016-02-09 10:47:27.130,manual,-0.5,1.36
OK.GC02.EHZ.--,0.778588,335.638,Pg,2016-02-09 10:47:20.130,manual,-0.2,1.77
US.WMOK.BHZ.10,1.76794,218.0,Pn,2016-02-09 10:47:36.880,manual,0.4,1.17
OK.FNO.HHZ.01,0.88345,176.92,Pn,2016-02-09 10:47:22.430,manual,-1.9,1.3
N4.T35B.BHZ.--,1.08626,44.34,Pg,2016-02-09 10:47:25.880,manual,-0.4,1.42
OK.QUOK.HHZ.--,0.608668,86.9686,Pg,2016-02-09 10:47:17.060,manual,-0.1,2.05
OK.GORE.HHZ.--,0.753596,328.684,Pg,2016-02-09 10:47:19.690,manual,-0.2,1.8
OK.CCOK.HHZ.--,0.799224,191.618,Pg,2016-02-09 10:47:20.270,manual,-0.5,1.74
GS.KAN13.HHZ.01,0.869819,359.019,Pg,2016-02-09 10:47:21.920,manual,-0.2,1.65
GS.KAN17.HHZ.01,0.933803,344.82,Pg,2016-02-09 10:47:22.870,manual,-0.5,1.57
GS.KAN01.HHZ.01,1.03831,346.662,Pg,2016-02-09 10:47:25.280,manual,0.0,1.46
GS.KAN14.HHZ.01,0.909214,333.65,Pg,2016-02-09 10:47:21.990,manual,-0.9,1.6
TA.TUL1.BHZ.--,1.37107,99.1922,Pn,2016-02-09 10:47:30.460,manual,-0.6,1.22
OK.RLOK.HHZ.--,1.96868,88.5245,Pn,2016-02-09 10:47:39.140,manual,-0.1,1.14
OK.X37A.BHZ.--,2.30441,131.62,Pn,2016-02-09 10:47:44.850,manual,1.0,1.1
TA.W39A.BHZ.--,3.13749,106.421,Pn,2016-02-09 10:47:54.340,manual,-0.9,1.01
ZD.KNG1.EHN.--,0.191507,267.323,Sg,2016-02-09 10:47:12.520,manual,0.7,1.33
GS.OK029.HH2.00,0.344191,179.419,Sg,2016-02-09 10:47:17.310,manual,0.7,1.25
GS.OK033.HH1.00,0.432957,102.779,Sg,2016-02-09 10:47:19.960,manual,0.5,1.21
OK.BCOK.HHN.--,0.498886,194.183,Sg,2016-02-09 10:47:22.310,manual,0.8,1.18
GS.OK031.HH2.00,0.536545,110.329,Sg,2016-02-09 10:47:23.480,manual,0.8,1.16
OK.CROK.HHN.--,0.557308,310.726,Sg,2016-02-09 10:47:24.190,manual,0.8,1.15
GS.OK025.HH2.00,0.567822,169.972,Sg,2016-02-09 10:47:24.580,manual,0.9,1.15
GS.OK030.HH1.00,0.587503,111.085,Sg,2016-02-09 10:47:24.820,manual,0.5,1.14
OK.QUOK.HHN.--,0.608668,86.9686,Sg,2016-02-09 10:47:25.720,manual,0.7,1.13
GS.OK034.HH1.00,0.61838,102.013,Sg,2016-02-09 10:47:26.040,manual,0.7,1.13
OK.BLOK.HHE.--,0.64848,17.6026,Sg,2016-02-09 10:47:26.840,manual,0.5,1.11
OK.CHOK.HHE.--,0.663265,150.716,Sg,2016-02-09 10:47:27.400,manual,0.6,1.11
OK.GORE.HHN.--,0.753596,328.684,Sg,2016-02-09 10:47:30.130,manual,0.5,1.08
OK.GC02.EHN.--,0.778588,335.638,Sg,2016-02-09 10:47:30.830,manual,0.4,1.07
GS.KAN13.HNE.01,0.869819,359.019,Sg,2016-02-09 10:47:33.940,manual,0.5,1.03
OK.FNO.HHZ.01,0.88345,176.92,Pg,2016-02-09 10:47:21.860,manual,-0.5,1.63
OK.FNO.HHN.01,0.88345,176.92,Sg,2016-02-09 10:47:34.390,manual,0.6,1.03
GS.KAN14.HHE.01,0.909214,333.65,Sg,2016-02-09 10:47:34.930,manual,0.3,1.02
GS.KAN17.HHE.01,0.933803,344.82,Sg,2016-02-09 10:47:35.810,manual,0.4,1.01
GS.KAN01.HHN.01,1.03831,346.662,Sg,2016-02-09 10:47:38.940,manual,0.1,0.98
