#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20004zpw
#time = 2016-02-12 11:57:19.600000
#location = 8km WSW of Waukomis, Oklahoma
#latitude = 36.2592
#longitude = -97.9843
#depth = 6.3
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20004zpw
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.245007,0.169627,Pg,2016-02-12 11:57:24.910,manual,0.5,3.09
ZD.KNG1.EHZ.--,0.265722,118.378,Pg,2016-02-12 11:57:24.960,manual,0.1,3.01
GS.OK029.HHZ.00,0.630283,136.934,Pg,2016-02-12 11:57:31.680,manual,0.0,2.01
OK.BCOK.HHZ.--,0.673828,153.049,Pg,2016-02-12 11:57:32.360,manual,-0.2,1.93
GS.OK035.HHZ.00,0.736598,307.685,Pg,2016-02-12 11:57:33.710,manual,0.0,1.83
OK.BLOK.HHZ.--,0.796583,50.855,Pg,2016-02-12 11:57:34.890,manual,0.0,1.74
GS.OK031.HHZ.00,0.976391,107.893,Pg,2016-02-12 11:57:38.000,manual,-0.3,1.53
OK.GORE.HHE.--,0.526211,3.25355,Sg,2016-02-12 11:57:37.330,manual,0.7,1.17
GS.OK030.HHZ.00,1.02702,108.43,Pg,2016-02-12 11:57:38.820,manual,-0.5,1.47
OK.CHOK.HHZ.--,1.02308,132.643,Pg,2016-02-12 11:57:38.780,manual,-0.5,1.48
OK.GC02.EHZ.--,0.5996,9.60303,Pg,2016-02-12 11:57:31.230,manual,0.1,2.07
OK.FNO.HHZ.01,1.10644,154.448,Pg,2016-02-12 11:57:40.200,manual,-0.6,1.4
GS.OK025.HHZ.00,0.85625,142.02,Pg,2016-02-12 11:57:35.870,manual,-0.2,1.66
OK.CCOK.HHZ.--,0.939158,163.401,Pg,2016-02-12 11:57:37.240,manual,-0.4,1.57
US.WMOK.BHZ.10,1.65118,203.408,Pn,2016-02-12 11:57:48.880,manual,-0.2,1.18
OK.W35A.HHZ.--,1.42648,140.389,Pn,2016-02-12 11:57:45.380,manual,-0.6,1.21
N4.T35B.BHZ.--,1.35435,60.6064,Pn,2016-02-12 11:57:44.810,manual,-0.2,1.22
OK.GORE.HHZ.--,0.526211,3.25355,Pg,2016-02-12 11:57:29.930,manual,0.2,2.22
OK.CROK.HHE.--,0.245007,0.169627,Sg,2016-02-12 11:57:28.710,manual,1.0,1.3
GS.KAN17.HHZ.01,0.803012,12.633,Pg,2016-02-12 11:57:35.020,manual,0.0,1.73
GS.KAN13.HHZ.01,0.855466,28.289,Pg,2016-02-12 11:57:36.000,manual,0.0,1.67
GS.KAN10.HHZ.01,0.867208,354.139,Pg,2016-02-12 11:57:36.140,manual,-0.1,1.65
OK.OKCFA.HHZ.--,0.946902,152.632,Pg,2016-02-12 11:57:37.190,manual,-0.6,1.56
GS.KAN01.HHZ.01,0.910647,11.4006,Pg,2016-02-12 11:57:36.820,manual,-0.3,1.6
OK.OKCSW.EHZ.--,0.960602,152.316,Pg,2016-02-12 11:57:37.540,manual,-0.5,1.54
GS.KAN16.HHZ.01,0.966696,356.194,Pg,2016-02-12 11:57:37.990,manual,-0.2,1.54
OK.QUOK.HHZ.--,1.03583,94.4753,Pg,2016-02-12 11:57:39.150,manual,-0.3,1.47
GS.OK034.HHZ.00,1.05854,103.201,Pg,2016-02-12 11:57:39.410,manual,-0.5,1.44
US.AMTX.BHZ.00,3.31102,246.597,Pn,2016-02-12 11:58:13.150,manual,1.3,0.99
ZD.KNG1.EHN.--,0.265722,118.378,Sg,2016-02-12 11:57:29.140,manual,0.8,1.29
OK.GC02.EHE.--,0.5996,9.60303,Sg,2016-02-12 11:57:39.570,manual,0.6,1.13
GS.OK029.HH1.00,0.630283,136.934,Sg,2016-02-12 11:57:40.440,manual,0.5,1.12
OK.BCOK.HHE.--,0.673828,153.049,Sg,2016-02-12 11:57:41.770,manual,0.4,1.11
OK.BLOK.HHE.--,0.796583,50.855,Sg,2016-02-12 11:57:44.950,manual,-0.3,1.06
