#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us200050tm
#time = 2016-02-17 08:16:49.400000
#location = 7km NNE of Luther, Oklahoma
#latitude = 35.7218
#longitude = -97.1626
#depth = 5.8
#magnitude = 3.3
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us200050tm
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CHOK.HHZ.--,0.180334,152.743,Pg,2016-02-17 08:16:53.580,manual,0.6,3.4
OK.BCOK.HHZ.--,0.369391,260.002,Pg,2016-02-17 08:16:56.750,manual,0.2,2.63
GS.OK034.HHZ.00,0.464823,51.6158,Pg,2016-02-17 08:16:58.660,manual,0.3,2.36
GS.OK029.HHZ.00,0.249183,287.515,Pg,2016-02-17 08:16:54.480,manual,0.2,3.08
OK.OKCFA.HHZ.--,0.385966,217.675,Pg,2016-02-17 08:16:57.180,manual,0.3,2.58
OK.OKCSW.EHZ.--,0.387335,215.51,Pg,2016-02-17 08:16:57.250,manual,0.4,2.58
GS.OK031.HHZ.00,0.349802,48.6197,Pg,2016-02-17 08:16:56.630,manual,0.4,2.7
GS.OK030.HHZ.00,0.37016,56.1563,Pg,2016-02-17 08:16:57.070,manual,0.5,2.63
GS.OK033.HHZ.00,0.369912,29.4472,Pg,2016-02-17 08:16:56.980,manual,0.4,2.63
OK.FNO.HHZ.01,0.502623,202.862,Pg,2016-02-17 08:16:59.350,manual,0.3,2.27
OK.QUOK.HHZ.--,0.580821,39.2933,Pg,2016-02-17 08:17:00.810,manual,0.2,2.1
OK.CCOK.HHZ.--,0.542797,228.002,Pg,2016-02-17 08:17:00.080,manual,0.2,2.18
OK.W35A.HHZ.--,0.614645,157.412,Pg,2016-02-17 08:17:01.270,manual,0.0,2.04
OK.BLOK.HHZ.--,1.03755,357.676,Pg,2016-02-17 08:17:08.910,manual,-0.4,1.46
OK.GORE.HHZ.--,1.23657,329.382,Pg,2016-02-17 08:17:12.360,manual,-0.8,1.29
GS.KAN13.HHZ.01,1.31337,348.924,Pn,2016-02-17 08:17:13.880,manual,-0.4,1.23
OK.X34A.HHZ.--,1.24572,206.341,Pn,2016-02-17 08:17:12.990,manual,-0.3,1.24
GS.OK037.HHZ.00,1.50215,301.959,Pn,2016-02-17 08:17:16.330,manual,-0.5,1.2
GS.KAN14.HHZ.01,1.39164,332.566,Pn,2016-02-17 08:17:15.180,manual,-0.1,1.22
GS.OK032.HHZ.00,1.37223,322.203,Pn,2016-02-17 08:17:14.760,manual,-0.3,1.22
GS.OK036.HHZ.00,1.4239,303.761,Pn,2016-02-17 08:17:15.480,manual,-0.3,1.21
GS.KAN17.HHZ.01,1.40627,339.962,Pn,2016-02-17 08:17:15.370,manual,-0.2,1.22
OK.GC02.EHZ.--,1.26022,333.663,Pn,2016-02-17 08:17:12.910,manual,-0.6,1.24
GS.KAN12.HHZ.01,1.71044,337.076,Pn,2016-02-17 08:17:19.760,manual,0.0,1.17
GS.KAN01.HHZ.01,1.50751,341.572,Pn,2016-02-17 08:17:16.560,manual,-0.4,1.2
OK.LOOK.HHZ.--,1.7254,180.48,Pn,2016-02-17 08:17:20.580,manual,0.7,1.17
OK.RLOK.HHZ.--,1.78923,74.9785,Pn,2016-02-17 08:17:21.410,manual,0.6,1.16
GS.OK025.HHZ.00,0.200235,225.531,Pg,2016-02-17 08:16:53.760,manual,0.4,3.3
OK.X37A.BHZ.--,1.85234,127.073,Pn,2016-02-17 08:17:22.390,manual,0.8,1.16
AG.HHAR.HHZ.00,2.67209,76.9804,Pn,2016-02-17 08:17:33.920,manual,1.0,1.06
TA.TUL1.BHZ.--,1.12982,80.0109,Pg,2016-02-17 08:17:10.140,manual,-0.9,1.38
US.MIAR.BHZ.00,3.16467,110.729,Pn,2016-02-17 08:17:41.090,manual,1.4,1.01
AG.WHAR.HHZ.00,3.99919,94.7645,Pn,2016-02-17 08:17:51.630,manual,0.5,0.93
TA.W39A.BHZ.--,2.80748,99.7864,Pn,2016-02-17 08:17:35.620,manual,0.9,1.04
N4.U38B.BHZ.--,2.3606,71.5269,Pn,2016-02-17 08:17:29.930,manual,1.3,1.09
US.SDCO.BHZ.00,6.99377,289.248,Pn,2016-02-17 08:18:34.010,manual,1.6,0.86
TA.W41B.BHZ.--,4.04941,96.3318,Pn,2016-02-17 08:17:52.460,manual,0.7,0.93
GS.OK001.HNZ.01,0.19078,212.843,Pg,2016-02-17 08:16:53.540,manual,0.3,3.35
