#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20005avj
#time = 2016-03-18 20:34:32.200000
#location = 14km SSE of Medford, Oklahoma
#latitude = 36.6827
#longitude = -97.6690
#depth = 5.7
#magnitude = 2.9
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20005avj
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.GORE.HHZ.--,0.245882,294.771,Pg,2016-03-18 20:34:37.370,manual,0.3,3.09
OK.CROK.HHZ.--,0.309165,235.021,Pg,2016-03-18 20:34:38.630,manual,0.4,2.84
OK.GC02.EHZ.--,0.227614,317.804,Pg,2016-03-18 20:34:37.250,manual,0.6,3.17
OK.BLOK.HHZ.--,0.37297,77.8322,Pg,2016-03-18 20:34:39.830,manual,0.4,2.62
GS.OK031.HHZ.00,0.989641,137.124,Pg,2016-03-18 20:34:50.820,manual,-0.4,1.51
OK.QUOK.HHZ.--,0.927947,123.074,Pg,2016-03-18 20:34:48.940,manual,-1.1,1.58
GS.OK034.HHZ.00,1.02267,130.731,Pg,2016-03-18 20:34:51.630,manual,-0.2,1.48
GS.OK032.HHZ.00,0.451363,285.694,Pg,2016-03-18 20:34:41.310,manual,0.4,2.4
OK.CHOK.HHZ.--,1.22264,156.091,Pg,2016-03-18 20:34:55.100,manual,-0.5,1.3
GS.OK040.HHZ.00,0.833223,256.453,Pg,2016-03-18 20:34:47.710,manual,-0.5,1.69
GS.OK038.HHZ.00,0.887633,257.027,Pg,2016-03-18 20:34:49.370,manual,0.1,1.63
GS.OK041.HHZ.00,0.727771,253.068,Pg,2016-03-18 20:34:45.600,manual,-0.6,1.84
OK.W35A.HHZ.--,1.65737,156.867,Pn,2016-03-18 20:35:01.680,manual,-0.1,1.18
GS.OK035.HHZ.00,0.836838,272.054,Pg,2016-03-18 20:34:48.260,manual,0.0,1.69
OK.RLOK.HHZ.--,2.19206,102.776,Pn,2016-03-18 20:35:10.580,manual,1.4,1.11
GS.OK043.HHZ.00,0.901909,254.307,Pg,2016-03-18 20:34:49.090,manual,-0.4,1.61
OK.FNO.HHZ.01,1.4388,171.237,Pn,2016-03-18 20:34:58.980,manual,0.2,1.21
OK.X37A.BHZ.--,2.80459,137.465,Pn,2016-03-18 20:35:16.360,manual,-1.2,1.04
US.KSU1.BHZ.10,2.55552,18.8259,Pn,2016-03-18 20:35:17.030,manual,2.9,1.07
TA.TUL1.BHZ.--,1.701,116.385,Pn,2016-03-18 20:35:02.090,manual,-0.3,1.18
TA.W39A.BHZ.--,3.48393,114.051,Pn,2016-03-18 20:35:25.730,manual,-1.1,0.98
N4.P38B.BHZ.--,4.38821,46.7291,Pn,2016-03-18 20:35:37.990,manual,-1.3,0.9
NQ.OK916.HNE.01,0.139466,333.109,Sg,2016-03-18 20:34:38.080,manual,1.1,1.36
NQ.OK916.HNZ.01,0.139466,333.109,Pg,2016-03-18 20:34:35.670,manual,0.6,3.63
OK.GC02.EHN.--,0.227614,317.804,Sg,2016-03-18 20:34:40.730,manual,1.0,1.31
OK.GORE.HHN.--,0.245882,294.771,Sg,2016-03-18 20:34:41.130,manual,0.8,1.3
OK.CROK.HHN.--,0.309165,235.021,Sg,2016-03-18 20:34:42.920,manual,0.6,1.27
OK.BLOK.HHN.--,0.37297,77.8322,Sg,2016-03-18 20:34:44.570,manual,0.3,1.23
GS.KAN13.HHN.01,0.363511,24.8985,Sg,2016-03-18 20:34:44.860,manual,0.8,1.24
GS.KAN13.HHZ.01,0.363511,24.8985,Pg,2016-03-18 20:34:39.660,manual,0.4,2.65
GS.KAN14.HHN.01,0.361248,319.315,Sg,2016-03-18 20:34:44.730,manual,0.8,1.24
