#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20005awx
#time = 2016-03-18 23:16:28.800000
#location = 6km SE of Fairview, Oklahoma
#latitude = 36.2249
#longitude = -98.4397
#depth = 6.9
#magnitude = 2.9
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20005awx
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK039.HHZ.00,0.232039,312.469,Pg,2016-03-18 23:16:33.770,manual,0.4,3.15
GS.OK037.HHZ.00,0.374782,319.063,Pg,2016-03-18 23:16:36.390,manual,0.3,2.62
GS.OK036.HHZ.00,0.320396,331.097,Pg,2016-03-18 23:16:35.450,manual,0.4,2.8
GS.OK040.HHZ.00,0.319535,323.757,Pg,2016-03-18 23:16:35.450,manual,0.4,2.8
GS.OK038.HHZ.00,0.351483,316.079,Pg,2016-03-18 23:16:36.000,manual,0.3,2.69
OK.CROK.HHZ.--,0.46219,52.6964,Pg,2016-03-18 23:16:37.890,manual,0.1,2.37
GS.OK035.HHZ.00,0.52917,335.793,Pg,2016-03-18 23:16:39.120,manual,0.1,2.21
GS.KAN14.HHZ.01,0.825085,27.5678,Pg,2016-03-18 23:16:44.600,manual,-0.1,1.7
GS.OK043.HHZ.00,0.323041,310.191,Pg,2016-03-18 23:16:35.350,manual,0.2,2.79
OK.NOKA.HHZ.--,0.569945,316.001,Pg,2016-03-18 23:16:39.880,manual,0.1,2.12
GS.KAN17.HHZ.01,0.98141,33.3822,Pg,2016-03-18 23:16:46.600,manual,-1.0,1.52
OK.BLOK.HHZ.--,1.12241,61.1909,Pn,2016-03-18 23:16:49.410,manual,-1.5,1.26
OK.U32A.BHZ.--,0.479258,288.946,Pg,2016-03-18 23:16:37.410,manual,-0.7,2.33
ZD.KNG1.EHZ.--,0.609149,98.5057,Pg,2016-03-18 23:16:40.510,manual,0.0,2.05
OK.GC02.EHE.--,0.780606,36.59,Sg,2016-03-18 23:16:54.270,manual,0.3,1.07
OK.W35A.HHZ.--,1.66372,129.561,Pn,2016-03-18 23:16:58.560,manual,0.2,1.18
OK.X34A.HHZ.--,1.69446,162.807,Pn,2016-03-18 23:16:59.400,manual,0.6,1.17
GS.OK041.HHZ.00,0.253202,342.778,Pg,2016-03-18 23:16:34.250,manual,0.4,3.06
N4.R32B.BHZ.--,2.20429,354.449,Pn,2016-03-18 23:17:05.290,manual,-0.5,1.11
N4.T35B.BHZ.--,1.69834,65.4594,Pn,2016-03-18 23:16:59.500,automatic,0.7,1.17
GS.OK041.HH1.00,0.253202,342.778,Sg,2016-03-18 23:16:37.640,manual,0.4,1.29
GS.OK039.HH1.00,0.232039,312.469,Sg,2016-03-18 23:16:37.520,manual,1.0,1.31
GS.OK036.HH1.00,0.320396,331.097,Sg,2016-03-18 23:16:40.340,manual,1.0,1.26
GS.OK040.HH1.00,0.319535,323.757,Sg,2016-03-18 23:16:40.310,manual,1.0,1.26
OK.CROK.HHE.--,0.46219,52.6964,Sg,2016-03-18 23:16:44.600,manual,0.8,1.19
GS.OK043.HH1.00,0.323041,310.191,Sg,2016-03-18 23:16:40.440,manual,1.0,1.26
GS.OK038.HH1.00,0.351483,316.079,Sg,2016-03-18 23:16:41.400,manual,1.1,1.24
GS.OK037.HH1.00,0.374782,319.063,Sg,2016-03-18 23:16:42.060,manual,1.0,1.23
GS.OK042.HHZ.00,0.362947,299.438,Pg,2016-03-18 23:16:36.210,manual,0.3,2.65
GS.OK042.HH1.00,0.362947,299.438,Sg,2016-03-18 23:16:41.660,manual,1.0,1.24
GS.OK035.HH1.00,0.52917,335.793,Sg,2016-03-18 23:16:46.700,manual,0.8,1.16
OK.NOKA.HHE.--,0.569945,316.001,Sg,2016-03-18 23:16:47.820,manual,0.6,1.15
ZD.KNG1.EHE.--,0.609149,98.5057,Sg,2016-03-18 23:16:49.010,manual,0.5,1.13
GS.OK032.HHZ.00,0.606565,17.6622,Pg,2016-03-18 23:16:40.350,manual,-0.1,2.05
GS.OK032.HH1.00,0.606565,17.6622,Sg,2016-03-18 23:16:49.050,manual,0.7,1.13
OK.U32A.BHE.--,0.479258,288.946,Sg,2016-03-18 23:16:45.140,manual,0.8,1.19
OK.GORE.HHZ.--,0.686045,35.2,Pg,2016-03-18 23:16:41.670,manual,-0.3,1.91
OK.GORE.HHE.--,0.686045,35.2,Sg,2016-03-18 23:16:51.460,manual,0.5,1.1
OK.GC02.EHZ.--,0.780606,36.59,Pg,2016-03-18 23:16:43.570,manual,-0.2,1.77
NQ.OK916.HNZ.01,0.805423,43.6024,Pg,2016-03-18 23:16:44.240,manual,0.0,1.73
NQ.OK916.HNE.01,0.805423,43.6024,Sg,2016-03-18 23:16:55.100,manual,0.4,1.06
GS.KAN14.HHE.01,0.825085,27.5678,Sg,2016-03-18 23:16:55.790,manual,0.4,1.05
OK.BCOK.HHZ.--,0.880663,129.834,Pg,2016-03-18 23:16:45.420,manual,-0.3,1.63
OK.BCOK.HHE.--,0.880663,129.834,Sg,2016-03-18 23:16:57.420,manual,0.3,1.03
GS.OK029.HHZ.00,0.90564,117.87,Pg,2016-03-18 23:16:45.130,manual,-1.1,1.6
GS.OK029.HH1.00,0.90564,117.87,Sg,2016-03-18 23:16:58.080,manual,0.1,1.02
GS.KAN10.HHZ.01,0.938668,17.0634,Pg,2016-03-18 23:16:46.590,manual,-0.2,1.57
GS.KAN10.HNE.01,0.938668,17.0634,Sg,2016-03-18 23:16:58.300,manual,-0.7,1.01
GS.KAN10.HHN.01,0.938668,17.0634,Pn,2016-03-18 23:16:46.730,manual,-1.7,1.29
GS.KAN16.HHZ.01,1.04322,16.6744,Pg,2016-03-18 23:16:47.900,manual,-0.9,1.46
GS.KAN01.HHZ.01,1.07616,30.3557,Pg,2016-03-18 23:16:49.080,manual,-0.4,1.43
GS.OK025.HHZ.00,1.1013,125.362,Pg,2016-03-18 23:16:49.560,manual,-0.4,1.4
OK.CCOK.HHZ.--,1.07528,143.438,Pg,2016-03-18 23:16:47.530,manual,-1.9,1.43
GS.KAN06.HHZ.01,1.12276,24.394,Pg,2016-03-18 23:16:50.250,manual,-0.1,1.39
OK.OKCFA.HHZ.--,1.1392,134.876,Pg,2016-03-18 23:16:49.760,manual,-0.9,1.37
OK.OKCSW.EHZ.--,1.15384,134.829,Pg,2016-03-18 23:16:49.830,manual,-1.1,1.36
GS.OK033.HHZ.00,1.22874,97.9864,Pn,2016-03-18 23:16:51.700,manual,-0.6,1.24
GS.KAN09.HHZ.01,1.12386,35.7378,Pg,2016-03-18 23:16:49.800,manual,-0.6,1.38
GS.KAN13.HHZ.01,1.10335,44.2519,Pg,2016-03-18 23:16:49.340,manual,-0.6,1.4
GS.KAN11.HHZ.01,1.06665,23.2054,Pg,2016-03-18 23:16:48.890,manual,-0.4,1.44
GS.KAN12.HHZ.01,1.12767,18.2016,Pg,2016-03-18 23:16:49.020,manual,-1.4,1.38
GS.KS20.HHZ.00,1.22951,35.0845,Pn,2016-03-18 23:16:51.640,manual,-0.7,1.24
OK.FNO.HHZ.01,1.28286,138.507,Pn,2016-03-18 23:16:52.450,manual,-0.7,1.23
OK.CHOK.HHZ.--,1.30053,120.213,Pn,2016-03-18 23:16:52.710,manual,-0.6,1.23
GS.OK031.HHZ.00,1.3245,101.345,Pn,2016-03-18 23:16:53.030,manual,-0.6,1.23
GS.OK030.HHZ.00,1.37381,101.975,Pn,2016-03-18 23:16:53.990,manual,-0.4,1.22
OK.QUOK.HHZ.--,1.40171,91.6714,Pn,2016-03-18 23:16:54.350,manual,-0.4,1.21
GS.OK034.HHZ.00,1.41423,98.2042,Pn,2016-03-18 23:16:53.730,manual,-1.2,1.21
US.WMOK.BHZ.10,1.50959,190.723,Pn,2016-03-18 23:16:56.110,manual,-0.1,1.2
TA.TUL1.BHZ.--,2.168,97.5423,Pn,2016-03-18 23:17:05.490,manual,0.2,1.11
OK.LOOK.HHZ.--,2.45511,154.759,Pn,2016-03-18 23:17:09.020,manual,-0.2,1.08
US.AMTX.BHZ.00,2.96209,244.093,Pn,2016-03-18 23:17:16.970,manual,0.7,1.03
OK.X37A.BHZ.--,2.99078,122.173,Pn,2016-03-18 23:17:16.670,manual,0.1,1.02
