#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20005bad
#time = 2016-03-20 20:54:01.100000
#location = 20km W of Perry, Oklahoma
#latitude = 36.2891
#longitude = -97.5215
#depth = 7.6
#magnitude = 3.2
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20005bad
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
ZD.KNG1.EHZ.--,0.210448,222.017,Pg,2016-03-20 20:54:05.500,manual,0.2,3.25
GS.OK029.HHZ.00,0.494429,173.713,Pg,2016-03-20 20:54:10.710,manual,0.0,2.29
OK.CROK.HHZ.--,0.430325,300.138,Pg,2016-03-20 20:54:09.560,manual,0.1,2.45
GS.OK030.HHZ.00,0.697749,120.896,Pg,2016-03-20 20:54:14.490,manual,0.0,1.89
OK.QUOK.HHZ.--,0.668147,99.8848,Pg,2016-03-20 20:54:13.890,manual,-0.1,1.94
GS.OK034.HHZ.00,0.710944,112.808,Pg,2016-03-20 20:54:14.680,manual,-0.1,1.87
OK.BCOK.HHZ.--,0.635078,186.465,Pg,2016-03-20 20:54:13.240,manual,-0.1,2.0
GS.OK041.HHZ.00,0.835183,282.587,Pg,2016-03-20 20:54:16.880,manual,-0.3,1.69
GS.OK025.HHZ.00,0.722048,168.037,Pg,2016-03-20 20:54:14.900,manual,-0.1,1.85
GS.OK032.HHZ.00,0.756058,313.003,Pg,2016-03-20 20:54:15.400,manual,-0.2,1.8
OK.OKCFA.HHZ.--,0.873802,176.243,Pg,2016-03-20 20:54:17.560,manual,-0.3,1.64
GS.KAN13.HHZ.01,0.723245,2.77222,Pg,2016-03-20 20:54:14.960,manual,-0.1,1.85
OK.OKCSW.EHZ.--,0.884328,175.576,Pg,2016-03-20 20:54:17.750,manual,-0.3,1.63
GS.KAN14.HHZ.01,0.755135,332.074,Pg,2016-03-20 20:54:15.490,manual,-0.1,1.8
OK.CHOK.HHZ.--,0.816861,152.654,Pg,2016-03-20 20:54:16.590,manual,-0.2,1.72
OK.GC02.EHZ.--,0.623804,334.231,Pg,2016-03-20 20:54:13.150,manual,0.0,2.02
GS.KAN17.HHZ.01,0.77851,345.519,Pg,2016-03-20 20:54:15.930,manual,-0.1,1.77
GS.OK039.HHZ.00,0.917331,276.116,Pg,2016-03-20 20:54:18.280,manual,-0.4,1.59
