#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20005cn2
#time = 2016-03-25 23:36:38.200000
#location = 21km ENE of Mooreland, Oklahoma
#latitude = 36.5184
#longitude = -98.9873
#depth = 3.5
#magnitude = 2.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20005cn2
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK032.HHZ.00,0.68657,65.2566,Pg,2016-03-25 23:36:51.560,manual,0.7,1.91
OK.CROK.HHZ.--,0.808895,90.6697,Pg,2016-03-25 23:36:53.210,manual,0.1,1.92
GS.OK036.HHZ.00,0.286599,92.409,Pg,2016-03-25 23:36:43.990,manual,0.4,2.92
GS.OK043.HHZ.00,0.212407,113.467,Pg,2016-03-25 23:36:42.640,manual,0.4,3.24
OK.NOKA.HHZ.--,0.124345,20.9991,Pg,2016-03-25 23:36:40.980,manual,0.3,3.73
OK.NOKA.HHE.--,0.124345,20.9991,Sg,2016-03-25 23:36:43.330,manual,0.9,1.37
OK.U32A.BHZ.--,0.139086,184.695,Pg,2016-03-25 23:36:41.370,manual,0.5,3.63
OK.U32A.BHE.--,0.139086,184.695,Sg,2016-03-25 23:36:43.370,manual,0.5,1.36
GS.OK042.HHZ.00,0.170409,132.473,Pg,2016-03-25 23:36:41.770,manual,0.3,3.46
GS.OK042.HH1.00,0.170409,132.473,Sg,2016-03-25 23:36:44.700,manual,0.8,1.34
GS.OK037.HHZ.00,0.195868,92.906,Pg,2016-03-25 23:36:42.190,manual,0.3,3.32
GS.OK037.HH1.00,0.195868,92.906,Sg,2016-03-25 23:36:45.470,manual,0.8,1.33
GS.OK038.HHZ.00,0.201526,101.41,Pg,2016-03-25 23:36:42.480,manual,0.4,3.29
GS.OK038.HH1.00,0.201526,101.41,Sg,2016-03-25 23:36:45.790,manual,1.0,1.32
GS.OK043.HH1.00,0.212407,113.467,Sg,2016-03-25 23:36:46.000,manual,0.8,1.32
GS.OK040.HHZ.00,0.254832,97.8986,Pg,2016-03-25 23:36:43.430,manual,0.4,3.05
GS.OK040.HH1.00,0.254832,97.8986,Sg,2016-03-25 23:36:47.260,manual,0.8,1.29
GS.OK036.HH1.00,0.286599,92.409,Sg,2016-03-25 23:36:48.510,manual,1.0,1.28
GS.OK035.HHZ.00,0.292863,49.6151,Pg,2016-03-25 23:36:44.000,manual,0.3,2.9
GS.OK035.HH1.00,0.292863,49.6151,Sg,2016-03-25 23:36:48.450,manual,0.7,1.27
GS.OK039.HHZ.00,0.302958,116.664,Pg,2016-03-25 23:36:44.210,manual,0.3,2.86
GS.OK039.HH1.00,0.302958,116.664,Sg,2016-03-25 23:36:48.760,manual,0.7,1.27
GS.OK041.HHZ.00,0.369877,97.8052,Pg,2016-03-25 23:36:45.920,manual,0.8,2.63
GS.OK041.HH1.00,0.369877,97.8052,Sg,2016-03-25 23:36:51.050,manual,0.9,1.24
GS.OK032.HH1.00,0.68657,65.2566,Sg,2016-03-25 23:37:00.570,manual,0.5,1.1
OK.CROK.HHE.--,0.808895,90.6697,Sg,2016-03-25 23:37:06.700,manual,2.7,1.06
OK.GORE.HHZ.--,0.877992,72.0078,Pg,2016-03-25 23:36:55.580,manual,1.2,1.88
GS.KAN14.HHZ.01,0.931921,61.6914,Pg,2016-03-25 23:36:55.140,manual,-0.1,2.25
GS.KAN10.HHZ.01,0.93664,49.5829,Pg,2016-03-25 23:36:56.070,manual,0.8,2.25
GS.KAN16.HHZ.01,1.02253,46.0703,Pg,2016-03-25 23:36:57.680,manual,0.9,2.15
ZD.KNG1.EHZ.--,1.11207,109.889,Pg,2016-03-25 23:36:58.640,manual,0.3,2.06
GS.KAN06.HHZ.01,1.16157,50.8393,Pg,2016-03-25 23:37:00.940,manual,1.7,2.02
GS.KAN01.HHZ.01,1.17164,56.8854,Pg,2016-03-25 23:37:00.360,manual,1.0,2.01
GS.KAN09.HHZ.01,1.25961,60.2867,Pg,2016-03-25 23:37:01.280,manual,0.4,1.93
GS.KAN13.HHZ.01,1.30875,67.3946,Pg,2016-03-25 23:37:02.650,manual,0.9,1.89
OK.BCOK.HHZ.--,1.40897,127.204,Pg,2016-03-25 23:37:04.450,manual,1.0,1.81
GS.OK029.HHZ.00,1.43412,119.696,Pg,2016-03-25 23:37:04.650,manual,0.7,1.79
GS.KS20.HHZ.00,1.3507,57.8624,Pg,2016-03-25 23:37:03.090,manual,0.6,1.85
GS.OK025.HHZ.00,1.63136,124.496,Pg,2016-03-25 23:37:07.370,manual,0.1,0.89
OK.CCOK.HHZ.--,1.58447,136.624,Pg,2016-03-25 23:37:06.020,manual,-0.5,0.9
US.WMOK.BHZ.10,1.78458,174.528,Pn,2016-03-25 23:37:10.420,manual,0.8,1.17
